,Sail,,,Race,,,,Total,Less,Final
Quellmalz-Romanus,G6535,RET,61,57,55,DNC,70,445.0,356.0,74
Stoll-Schweig,G6929,72,58,RET,YMP,57,62,445.0,356.0,75
Palvimaki-Palvimaki,L5335,78,RET,RET,67,59,68,474.0,385.0,76
Gregorini-Rathgeb,7081,26,DNC,DNC,DNC,DNC,DNC,477.0,388.0,77
Godet-De Tribolet,Z7220,60,DNC,51,DNC,DNC,DNC,479.0,390.0,78
Marechal-Perrin,"F5,803",67,DNC,DNC,46,DNC,DNC,481.0,392.0,79
Hammer-Antoni,G6942,55,DNC,RET,61,RET,DNC,484.0,395.0,80
Ehrmardt-Weber,"F7,266",RET,DNC,DNC,44,DNC,DNC,495.0,406.0,81
Derestrepo-Beltzung,"F7,117",56,DNC,DNC,DNC,DNC,DNC,507.0,418.0,82
,,,,,,,,,,
NATIONAL CHAMPIONSHIP,,,,,,,,,,
,,,,,,,,Total,,
Helmsman,Sail No,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,with discard,Position,
P. Colclough,K 7327,3,3,%,2,8,3/4,91/2,1,
E. Owen,7004,2,4,86,4,%,2,123/4,2,
P. White,7268,3/4,2,2,3,10,6,1334,3,
P. Milanes,7275,5,10,3,7,11,4,29,4,
J. Loveday,7323,12,89,4,%,6,8,303/4,5,
N. Willmott,7182,13,12,7,6,2,10,37,6,
D. Clark,7106,14,11,10,5,4,12,42,7,
J. Patterson,7110,7,8,9,19,29,17,60,8=,
M. Lingwood,7307,18,6,5,26,5,28,60,8=,
M. Hattemore,7170,50,15,11,10,21,3,60,8=,
R. Trickett,6782,32,3/4,14,12,7,27,603/4,11,
D. White,7277,4,28,8,23,20,7,62,12,
M. Plans,6958,20,9,13,14,17,21,73,13,
C. Jarvis,6977,10,32,17,9,26,14,76,14,
J. Saltonstall,7169,30,20,12,13,13,19,77,15,
D. Pitman,7301,15,16,19,8,23,71,81,16,
J. Hereward,6851,31,5,28,17,14,18,82,17,
,,,,,,,,,,
20 505 Great Britain,,,,,,,,,,
