Nation,Boat No,Helm,Crew,class,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
AUS,8855,Mark Stowell,Scott Bailey,Male,[52],33,29,21,31,47,161,29
AUS,8840,Kevin Cameron,Matt Bowden,Male,19,43,6,(dsq),22,DNS,162,30
AUS,8968,Hansen-Knarhoi,Patrick Atwell,Male,(DNS),32,34,43,34,19,162,31
AUS,8588,Smith,Smith,Mixed,20,35,35,20,52,(DNS),162,32
AUS,8893,Jeffrey Robinson,Bryce Penfold,Male,[45],20,43,33,28,39,163,33
ITA,8097,Giovanbattista Bosio,Marco Superina,Male,25,41,[45],35,35,28,164,34
FRA,8270,Claude Gachet,Kleber Valery,Male,39,39,36,[52],26,35,175,35
GBR,8701,Robert Napier,Malcolm 'Pip' Pearson,Male,(DNS),11,32,25,38,DNS,178,36
FIN,8053,Petri Ebeling,Juhani Heimsch,Male,36,[49],31,41,46,25,179,37
FRA,8748,Franck Agrapart,Franz Agrapart,Mixed,7,37,62,39,39,(DNS),184,38
SUI,8543,Cédric Bart,Marti Ueli,Male,(DNS),6,21,DNS,DNS,15,186,39
ITA,8127,Marco Gambardella,Roberto Candela,Male,22,46,41,36,42,[48],187,40
USA,8904,Hubert Guy,Philip Toth,Male,(DNS),30,49,17,56,38,190,41
ITA,8743,Marco Giraldi,Paolo Corbellini,Male,43,56,47,30,15,(DNS),191,42
POL,8358,Marcin Józefowski,Jacek Barankiewicz,Male,38,47,39,(DNS),43,37,204,43
GBR,8955,Simon Lake,Benjamin Iliffe,Male,(DNS),24,50,42,44,45,205,44
FRA,8949,Jan Florian Faucheux,Laurent Duquesne,Male,29,44,58,47,27,(DNS),205,45
AUS,8501,Finch,Shiner,Male/under 25,44,42,[55],53,40,29,208,46
IRL,8542,Ronan Kenneally,John Dunlea,Male,31,(raf),40,34,DNS,41,218,47
FRA,8847,Michel Boiry,Matthieu Gougeon,Male,27,52,51,48,41,(DNS),219,48
AUS,8682,Richard Hyde,Phil Edney,Male,50,45,46,28,50,(DNS),219,49
GER,8775,Alexander Holzapfel,Carsten Engel,Male,(DNS),DNS,DNS,23,21,34,222,50
USA,8939,John Wyles,Michael Renda,Male,28,57,37,[58],49,52,223,51
POL,8416,Przemek Zagórski,Piotr Juckiewicz,Male,32,[51],48,50,47,46,223,52
GER,8599,Florian Duwe,Marc Helms,Male,(DNS),40,DNS,32,DNS,13,229,53
POL,8130,Jarosław Grabowski,Michał Olko,Male,(DNF),55,44,59,33,40,231,54
AUS,8177,Payne,Edmonston-Fearn,Male,42,54,57,49,(DNS),30,232,55
ITA,8916,Di Feo,Gabriele Natali,Male,35,48,33,44,(DNS),DNS,232,56
IRL,8514,Peter Scannell,Pal O'Sullivan,Male,(DNS),DNS,DNS,31,20,44,239,57
GER,8370,Karsten Stümpel,Ute Stümpel,Mixed,48,[58],54,54,45,49,250,58
GBR,8907,Jim Berry,David Barnes,Male,49,50,59,40,(DNS),55,253,59
GER,8712,Siegfried Labenz,Christian Labenz,Male,53,34,56,(DNS),DNS,53,268,60
GER,8730,Enno Wilts,Thorge Holm,Male,51,[60],52,57,55,54,269,61
GER,8500,Christian Henge,Matthias Fedde,Male,(DNF),53,53,62,51,51,270,62
AUS,8628,Peter Croft,Gary Rushton,Male,41,(raf),DNS,55,54,50,272,63
AUS,8498,Derick Warne,Ian Scholes,Male,47,(DNS),61,51,DNS,42,273,64
USA,8245,Charlie Dore,Christian Pittack,Male,46,61,[64],60,57,56,280,65
AUS,8185,Paul Ridgway,Aaron Ross,Male,(DNS),22,DNS,56,DNS,DNS,294,66
GER,7732,Iris Feldmann,Birgit Hartmann,Female,(DNS),59,63,DNS,53,DNS,319,67
GER,8433,Jürgen Anton,Ulf Denecke,Male,(DNS),DNS,38,DNS,DNS,DNS,326,68
CAN,8910,Alison Janidlo,Tom Janidlo,Mixed,(DNF),DNS,60,61,DNS,DNS,337,69
ITA,8944,Luca Manzi,Alfredo Annese,Male,(DNS),DNS,DNS,DNS,DNS,DNS,360,70
SUI,8613,Gilles Petermann,Laurent Grob,Male,(DNS),DNS,DNS,DNS,DNS,DNS,360,70
