Sail,No.,Skipper,Crew,,St. Raphael,Riva del Garda,Travemünde woche,E.C. Finals - Palermo,Total,Final,Place
FRA,8400,Faucheux Florian,Faucheux Cedric,,41,131 DNS*,131 DNS,45,348,217,43
GER,8433,Anton Jürgen,Deneke Ulf,,131 DNS*,131 DNS,21,68,351,220,44
GER,7732,Feldmann Iris,Hartmann Birgit,,131 DNS*,131 DNS,27,67,356,225,45
GBR,8925,Wedge Martin,Allen Scott,,48,48,131 DNS*,131 DNS,358,227,46
GER,8712,Labenz Siegfried,Labenz Christian,,37,131 DNS*,131 DNS,60,359,228,47
SUI,8079,Nydegger Lorenz,Nydegger Martin,,44,53,131 DNS*,131 DNS,359,228,48
ITA,8671,Loce Roberto,Giacometti Giovanni,,62,58,131 DNS*,131 DNS,382,251,49
GER,8806,Stengel Lutz,Feller Frank,,131 DNS*,131 DNS,2,131 DNS,395,264,50
GER,8957,Hunger Wolfgang,Kleiner Julien,,131 DNS*,2,131 DNS,131 DNS,395,264,51
GER,8721,Christophersen Malte,Salein Sebastian,,4,131 DNS*,131 DNS,131 DNS,397,266,52
GER,8975,Jungclaus Andreas,Jess Holger,,131 DNS*,131 DNS,7,131 DNS,400,269,53
IRL,8961,Barry,Dwyer,,131 DNS*,131 DNS,131 DNS,10,403,272,54
GER,8825,Troch Michael,König Eckart,,131 DNS*,131 DNS,10,131 DNS,403,272,55
FRA,7771,Loyal Bertrand,Detappe Xavier,,131 DNS*,10,131 DNS,131 DNS,403,272,56
FRA,8948,Gall Pierre Jean,Lafortune Geraud,,12,131 DNS*,131 DNS,131 DNS,405,274,57
GER,8720,Lennart Tasche,Frederik Tasche,,131 DNS*,131 DNS,131 DNS,13,406,275,58
GER,8669,Boeger Tim,Muehlbauer Markus,,131 DNS*,13,131 DNS,131 DNS,406,275,59
GER,8940,Thumann Jorg,Stieglitt Oliver,,14,131 DNS*,131 DNS,131 DNS,407,276,60
FRA,8748,Broise Xavier,Carvallo Gilles,,15,131 DNS*,131 DNS,131 DNS,408,277,61
GBR,8935,Russell Short,Andrew Short,,131 DNS*,131 DNS,131 DNS,16,409,278,62
GER,8317,Friederichs Hartwig,Gosch Antje,,131 DNS*,131 DNS,16,131 DNS,409,278,63
GBR,8963,Hodgson Martin,Miles Adrian,,131 DNS*,16,131 DNS,131 DNS,409,278,64
GER,8665,Schlomka Fritz,Urs Wihlfahrt,,131 DNS*,17,131 DNS,131 DNS,410,279,65
DEN,8232,Christiansen Jonas,Bardram Mikkel,,131 DNS*,131 DNS,18,131 DNS,411,280,66
GER,8932,Filimonow Dirk,Stöckmann Lars,,131 DNS*,19,131 DNS,131 DNS,412,281,67
FRA,8705,Dupont Jean Baptiste,Legeai Jerome,,20,131 DNS*,131 DNS,131 DNS,413,282,68
FRA,8895,Devaux Mathieu,Dubuc Philippe,,21,131 DNS*,131 DNS,131 DNS,414,283,69
FRA,8870,Silvestre Christian,Vallaud Christian,,22,131 DNS*,131 DNS,131 DNS,415,284,70
GER,8903,Schweiger Stephan,Koch Thorsten,,131 DNS*,23,131 DNS,131 DNS,416,285,71
GER,8901,Söllner Sophien,Stückl Wolfgang,,131 DNS*,24,131 DNS,131 DNS,417,286,72
GER,8728,Schomaker Meike,Rainer Görge,,24,131 DNS*,131 DNS,131 DNS,417,286,73
GER,8392,Barop Konrad,Mittermayer Georg,,131 DNS*,131 DNS,25,131 DNS,418,287,74
GBR,8945,Kenney Ross,Kenney Adam,,131 DNS*,25,131 DNS,131 DNS,418,287,75
FIN,8057,Lindfors,Halonen,,131 DNS*,131 DNS,131 DNS,26,419,288,76
GER,8798,Konrad-Schmolke Matthias,Schmolke Kathrin,,131 DNS*,131 DNS,26,131 DNS,419,288,77
GER,8956,Forster Jan,Neuss Marcus,,26,131 DNS*,131 DNS,131 DNS,419,288,78
FIN,8768,Nieminen,Lehtonen,,131 DNS*,131 DNS,131 DNS,27,420,289,79
FIN,8924,Raita,Nurmela,,131 DNS*,131 DNS,131 DNS,28,421,290,80
SUI,8613,Gilles Pertermann,Laurent Grob,,131 DNS*,28,131 DNS,131 DNS,421,290,81
FRA,8635,De Kergariou Herve,Camusson Laurent,,28,131 DNS*,131 DNS,131 DNS,421,290,82
GER,8282,Rauner Max,Lempp Christian,,131 DNS*,131 DNS,29,131 DNS,422,291,83
GBR,8906,Briddon Harry,Briddon Simon,,131 DNS*,29,131 DNS,131 DNS,422,291,84
SWE,8389,Mittermayer Felix,Gallo Mejias Pablo,,131 DNS*,131 DNS,30,131 DNS,423,292,85
GER,8642,Greger Thoralf,Klein Christoph,,131 DNS*,31,131 DNS,131 DNS,424,293,86
GBR,8381,Alexander Eavle,Gregg Ian,,131 DNS*,32,131 DNS,131 DNS,425,294,87
FRA,7941,Brenet Veronique,Peter Jean-Pierre,,32,131 DNS*,131 DNS,131 DNS,425,294,88
ITA,8097,Giovanbattista Bosio,Marco Superina,,131 DNS*,131 DNS,131 DNS,34,427,296,89
GER,8519,Wisolek Robert,Farmer Dave,,131 DNS*,34,131 DNS,131 DNS,427,296,90
GER,8862,Hänsgen Dirk,Rupprich Frank,,131 DNS*,35,131 DNS,131 DNS,428,297,91
GBR,8701,Napier,Pearson,,131 DNS*,131 DNS,131 DNS,36,429,298,92
FRA,8508,Plouviet Aurelie,Jungmann Jean-Marc,,36,131 DNS*,131 DNS,131 DNS,429,298,93
FIN,8053,Ebeling,Heimsch,,131 DNS*,131 DNS,131 DNS,37,430,299,94
GER,8580,Roos Ronald,Achterberg Andreas,,131 DNS*,37,131 DNS,131 DNS,430,299,95
FRA,8748,Franck Agrapart,Franz Agrapart,,131 DNS*,131 DNS,131 DNS,38,431,300,96
GBR,8887,Williams Richard,Davies John,,131 DNS*,39,131 DNS,131 DNS,432,301,97
FRA,8716,Martin Aline,Sever Gildas,,39,131 DNS*,131 DNS,131 DNS,432,301,98
FRA,8683,Lafortune Antoine,Lafortune Geraud,,131 DNS*,41,131 DNS,131 DNS,434,303,99
GER,8473,Kraft O.,Goggel Andreas,,42,131 DNS*,131 DNS,131 DNS,435,304,100
GER,8843,Gerdes Reiner,Dehne Lars,,131 DNS*,43,131 DNS,131 DNS,436,305,101
FRA,8321,Nevo Laurent,Bouton Fabrice,,131 DNS*,45,131 DNS,131 DNS,438,307,102
GER,8530,Von Mertens Alexander,Wiesbauer Pia,,45,131 DNS*,131 DNS,131 DNS,438,307,103
IRL,8542,Kenneally,Dunlea,,131 DNS*,131 DNS,131 DNS,47,440,309,104
FRA,8187,Gabriel Leduc,Thibaud Cyril,,131 DNS*,49,131 DNS,131 DNS,442,311,105
GER,8744,Kandzia Lutz,Pieper Thorsten,,49,131 DNS*,131 DNS,131 DNS,442,311,106
GER,8658,Hoell Tina,Wilhelm Alexander,,131 DNS*,50,131 DNS,131 DNS,443,312,107
SUI,8077,Houriet Catherine,Donze Gil,,50,131 DNS*,131 DNS,131 DNS,443,312,108
GER,8579,Rentelmann Hans-Juergen,Wackerbauer Peter,,131 DNS*,51,131 DNS,131 DNS,444,313,109
FRA,904,Markt Philippe,Markt Delphine,,51,131 DNS*,131 DNS,131 DNS,444,313,110
POL,8416,Zagorski,Juckiewicz,,131 DNS*,131 DNS,131 DNS,52,445,314,111
FRA,8943,Delsemme Michel,Delsemme Roland,,53,131 DNS*,131 DNS,131 DNS,446,315,112
POL,8130,Grabowski,Olko,,131 DNS*,131 DNS,131 DNS,54,447,316,113
ITA,8944,Manti Luca,Annese Alfredo,,54,131 DNS*,131 DNS,131 DNS,447,316,114
GER,8527,Weiss Hartmut,Weiss Volker,,131 DNS*,55,131 DNS,131 DNS,448,317,115
FRA,7929,Hermieu Jean Philippe,Mallet Francoise,,55,131 DNS*,131 DNS,131 DNS,448,317,116
GER,8663,Grosskurth Benjaminn,Schederer Hannes,,131 DNS*,56,131 DNS,131 DNS,449,318,117
FRA,6245,Banahan Lawrence,Gastaud Jean Philippe,,56,131 DNS*,131 DNS,131 DNS,449,318,118
IRL,8514,Scannell,O' Sullivan,,131 DNS*,131 DNS,131 DNS,57,450,319,119
GBR,8435,Mcgale Patrick,Von Grey Paul,,131 DNS*,57,131 DNS,131 DNS,450,319,120
FRA,8515,Niddam Yves,Gresle Thierry,,57,131 DNS*,131 DNS,131 DNS,450,319,121
GER,8370,Karsten Stümpel,Ute Stümpel,,131 DNS*,131 DNS,131 DNS,58,451,320,122
FRA,8353,Verplanken Eric,Coubronne Charles,,58,131 DNS*,131 DNS,131 DNS,451,320,123
FRA,771*,Rouanne Dominique,Laurent Virginie,,59,131 DNS*,131 DNS,131 DNS,452,321,124
FRA,8711,Eric Quemard,Dominique Lambard,,60,131 DNS*,131 DNS,131 DNS,453,322,125
FRA,7541,Dieuzy Wenceslas,Butkiewicz Wojciech,,61,131 DNS*,131 DNS,131 DNS,454,323,126
GER,8500,Henge,Fedde,,131 DNS*,131 DNS,131 DNS,62,455,324,127
FRA,4664,David Denis,David Thomas,,63,131 DNS*,131 DNS,131 DNS,456,325,128
FRA,8002,Artielle Jean-Philippe,Auger Virginie,,64,131 DNS*,131 DNS,131 DNS,457,326,129
FRA,8372,Molinier Bertrand,Adrien Surbier,,65,131 DNS*,131 DNS,131 DNS,458,327,130
