Country,Boat,Helmsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
CAN,7458,Phil Cragg,Bob Findlay,,29,18,44,43,39,25,234,184,35
CAN,7039,Robin Brown,Spencer,,17,11,50,38,47,DNF,271,188,36
FRA,7831,Petit,Lefevre,,50,14,34,26,DSQ,34,271,188,37
GER,8330,Tim Boger,Holger Jess,,32,53,25,35,DSO,16,274,191,38
CAN,8011,Norrin,Fornaud,,34,36,35,27,36,32,236,194,39
USA,8085,J.B. Braun,Andrew Goldman,,14,46,24,7,DNS,DNS,281,198,40
CAN,7148,Rick Hewitt,Steve Adolph,,35,43,40,32,35,33,254,205,41
FRA,8062,Michel Rimbert,Bouvier France,,46,51,41,21,45,28,268,211,42
USA,7095,Winberg,Cachoun,,41,47,47,36,26,38,265,212,43
USA,7681,Heng Anthor,Jim Ruskloff,,39,29,36,45,47,44,276,223,44
FRA,8111,Gilbert Vinches,Eyssartif,,42,31,46,46,41,35,277,225,45
USA,8311,Barry Kuehl,Field,,59,54,32,23,52,42,298,233,46
USA,7877,Kalsa,Eichhorn,,47,25,38,DNF,40,55,318,235,47
GBR,8112,Adrian Gibbons,Philip Gibbons,,48,38,37,50,43,41,293,237,48
CAN,7679,Stephen Yates,Mike Agrell,,51,16,48,54,48,47,300,240,49
CAN,8260,Moss,Adams,,38,41,58,52,DNF,48,350,267,50
USA,7685,Graham Alexander,Mike Koenix,,53,33,54,53,49,56,334,272,51
GER,8118,Stefan Schollmayer,Theisen Germany,,49,49,55,49,56,45,339,277,52
CAN,7605,Renka Gesing,Adam Gesing,,40,57,60,59,54,40,346,280,53
USA,7795,Park,MacLean,,55,60,DNF,47,38,51,364,281,54
CAN,8192,Brook Hamilton,Todd Canada,,45,68,57,DNF,34,53,370,287,55
USA,6249,Kai Kaiser,John Badtke,,56,39,59,58,51,57,356,291,56
USA,6821,William Pevear,Barton,,DSO,DSQ,39,57,46,43,375,292,57
GBR,7767,M. Harper,C. Brecknell,,61,61,49,56,53,46,362,295,58
CAN,7198,Henry Schefter,W. Gesing,,60,48,52,DSQ,57,50,380,297,59
CAN,6615,Bill McLaughlin,Bill Coffin,,65,56,51,63,55,52,378,307,60
CAN,7798,Margaret Hurley,Wood,,54,58,62,55,59,54,378,310,61
USA,6203,Mark Reed,Peter Altshul,,63,65,53,DNF,58,62,414,331,62
CAN,8233,Jacques Herbert,Paul Gauthier,,70,55,64,62,60,61,408,332,63
CAN,7858,Cote St,Cyr Canada,,68,52,56,60,70,DSQ,419,336,64
CAN,7687,John Moss,Johns Canada,,58,59,65,65,DNF,59,419,336,65
CAN,7066,Dohan,Bill Beardslee,,57,66,61,66,67,60,413,340,66
SIN,7983,Jeff Leow,Yaen Luke,,DNS,62,DNF,61,63,49,425,342,67
FRA,7913,Verley,Carvallo,,DNS,67,DNF,51,62,58,428,345,68
GER,8334,Martin Kehr,Thorst Trippler,,DSO,71,DNF,48,44,DSQ,430,347,69
CAN,4649,McHattie,Lovshin,,66,72,66,64,65,63,432,354,70
FRA,8076,Feverste,Lombard,,62,63,DNF,68,64,68,438,355,71
CAN,7796,Clarissa Bush,Chris Gillies,,64,64,DNF,DNS,61,65,444,361,72
CAN,7951,Howard Whittaker,Giokas Canada,,69,69,63,DSO,66,66,446,363,73
CAN,7249,Trevor Owen,Dennis Owen,,67,73,67,67,69,67,446,367,74
USA,7857,Jim Tuten,Stetson,,71,70,68,69,68,64,446,369,75
CAN,6270,Owen Bird,John Bird,,72,74,DNF,70,71,69,469,386,76
