,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,DNC 86,DNC 86,24,DNC 86,,69
AUS,9037,Nigel Lott,Bob Franks,RQYS,DNC 86,DNC 86,25,DNC 86,,70
FIN,8927,Kaj Lindfors,Johan Halonen,,DNC 86,DNC 86,28,DNC 86,,71
GER,8958,Nicholas Melzwig,Axel Priegann,LRV,DNC 86,DNC 86,DNC 86,30,,72
RSA,9026,Tina Plattner,Mike Martin,,30,DNC 86,DNC 86,DNC 86,,73
SWE,8923,Lars Hultgren,Axel Hultgren,,DNC 86,DNC 86,34,DNC 86,,74
GER,8373,Jörg Kinder,Volkmar Leitzke,RSV,DNC 86,DNC 86,DNC 86,36,,75
GER,8741,Jürgen Anton,Ulf Denecke,HSC,DNC 86,DNC 86,38,DNC 86,,76
POL,8358,Karol Milewski,Bartosz Milewski,,40,DNC 86,DNC 86,DNC 86,,77
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSAV,41,DNC 86,DNC 86,DNC 86,,78
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,DNC 86,DNC 86,49,DNC 86,,79
SWE,9107,Sven Flood,Daniel Rodhe,,DNC 86,DNC 86,DNC 86,51,,80
FRA,8950,Eric Quemard,Nicolas Picquerey,CVP,DNC 86,DNC 86,DNC 86,53,,81
GER,8966,Julian Dierker,Andreas Schlüter,SLSV,DNC 86,DNC 86,DNC 86,55,,82
SUI,9060,Catherine Houriet,Gil Donze,,DNC 86,DNC 86,57,DNC 86,,83
GER,8550,Martha Hauschild,Michael Heyder,SCS,DNC 86,DNC 86,61,DNC 86,,84
GER,8849,Pedro Bohnenberger,Peter Wolffram,SCIA,DNC 86,DNC 86,63,DNC 86,,85
