#,helm,crew,Club,R1,R2,R3,R4,R5,R6,R7,Σ,Regatta Rank
GER 8940,Kittsteiner,Stieglitz,,60,49,27,45,49,44,DNF 162,274,48
GER 8962,Nicolai Völckner,Andreas Schmidt,,36,42,60,43,81,41,52,274,49
RSA 9063,Largier,Hutton-Squire,,49,31,70,63,52,51,33,279,50
GER 8928,Schweiger,Koch,,58,70,55,55,26,54,39,287,51
FIN 8768,Nieminen,Salonen,,59,DNC 162,38,59,46,35,50,287,52
GER 9029,Hannes Wagner,Heiko Thölmann,,27,52,72,DNC 162,47,49,41,288,53
AUS 9028,Earle Alexander,Matthew Bowden,,71,61,45,40,70,33,51,300,54
FIN 8873,Hyysalo,Kääpä,,DNC 162,48,67,42,50,66,38,311,55
SWE 8945,Ingrid Söderström,Johan Calvert,,64,DPI,62,62,40,50,44,322,56
GBR 9125,Roger Deane,Tommy Nurse,,67,53,99,52,83,31,48,334,57
GBR 9093,Tudor Owen,Kieth Borders,,54,60,31,73,67,52,DNC 162,337,58
GER 8519,Gnadeberg,Tellen,,57,DNC 162,46,86,48,70,46,353,59
SWE 8651,Andersson,Thörnström,,48,DNC 162,39,44,80,71,74,356,60
GER 9113,Stückl,Henning,,44,35,9,25,85,DNS 162,DNC 162,360,61
FIN 8927,Lindfors,Halonen,,61,DNC 162,74,57,57,55,63,367,62
GBR 9085,Chris Lewns,Jarrod Simpson,,19,33,50,54,58,DNC 162,DNC 162,376,63
AUS 8920,Robinson,Penfold,,51,39,59,81,92,65,DNC 162,387,64
GER 9046,Thomas Gosch,Antje Gosch,,63,73,61,58,77,92,56,388,65
SUI 9096,Cédric Bart,René Betschen,,28,26,43,41,DNF 162,DNC 162,DNC 162,395,66
GER 9020,Jörn Wille,Martin Bergmann,,66,69,77,69,76,43,75,398,67
RSA 9026,Hasso Plattner,Peter Alarie,,65,67,52,88,71,83,60,398,68
GER 8903,Kwee,Spötter,,74,54,66,65,74,74,65,398,69
GER 9043,Birkner,Stenger,,68,63,71,85,59,59,80,400,70
GER 9100,Schultz,Oberländer,,62,DNC 162,68,48,66,64,94,402,71
GER 8702,Handel,Böhringer,,69,68,75,61,65,68,DNC 162,406,72
GER 9023,Max Eisenrieder,Dirk Penno,,97,50,78,72,82,87,57,426,73
GER 9000,Martin Bernauer,Enno Wilts,,73,56,81,79,103,80,66,435,74
FRA 9050,De Kergariou,Gèron,,DNC 162,DNC 162,28,50,61,73,62,436,75
GER 8686,Rentelmann,Hintz,,100,71,58,56,79,72,DNF 162,436,76
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,,DNC 162,DNC 162,41,46,51,79,61,440,77
FRA 9031,Philippe Lucienne,Vivien Lucienne,,101,91,103,71,68,53,59,443,78
RSA 8725,Jonathan Ham,Arne Lanatowitz,,77,DNF 162,79,67,73,78,69,443,79
FRA 8677,Nicolas Michel,Laurent Michel,,90,77,94,75,64,76,67,449,80
SUI 8961,Utiger,Heilig,,89,76,108,99,44,61,82,451,81
FRA 8431,Riwanon le Roy,Jean-Claude Ancelot,,88,78,104,90,94,58,70,478,82
GER 8988,Mittermayer,Barteldt,,92,59,85,76,102,98,72,482,83
GER 8825,Michael Troch,Birgit Hartmann,,86,62,119,DNC 162,106,47,64,484,84
GER 8843,Kraft,Heimburger,,102,74,80,66,108,101,76,499,85
AUS 8922,Bowden,Bath,,82,80,88,68,84,104,DNC 162,506,86
GER 8500,Menge,Kühne,,DNC 162,72,84,74,113,75,96,514,87
GER 9102,Walter Steding,Hans-Werner Steding,,96,DNC 162,82,97,75,84,83,517,88
GBR 8881,James McGillivray,Ian McGillivray,,78,81,83,92,114,86,97,517,89
SWE 8837,Lawner,Gustavsson,,103,79,91,82,115,95,93,543,90
AUS 8637,Cronin,Whitbread,,123,65,111,83,104,94,88,545,91
GER 8744,Lutz Kandzia,John Christiansen,,91,DNC 162,100,89,97,82,87,546,92
FRA 8676,Dechauffour,Gendry,,126,DNC 162,65,78,62,DNC 162,55,548,93
GER 8874,Steffen,Giesen,,81,93,120,98,112,67,98,549,94
GER 8964,Iris Anton,Bruno Laudage,,93,87,107,DNC 162,98,81,84,550,95
SWE 7017,Mack,Johannisson,,72,89,112,100,105,93,92,551,96
GER 8741,Anton,Denecke,,85,DNC 162,76,DNC 162,78,89,86,576,97
ITA 8916,Marco Giraldi,John McLean,,124,83,DNC 162,DNC 162,91,57,77,594,98
FRA 8898,Partick Nicolas,Morgan Nicolas,,108,82,117,96,122,96,99,598,99
GER 8437,Davina Schlesiger,Marvin Schlesiger,,99,DNC 162,97,84,90,DNF 162,DNC 162,602,100
AUS 9022,Ian Burford,Christie,,87,DNC 162,90,70,126,DNC 162,68,603,101
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,,76,DNC 162,64,DNC 162,55,88,DNC 162,607,102
GER 8958,Nicholas Melzwig,Axel Priegann,,34,DNC 162,DNC 162,DNC 162,42,46,DNF 162,608,103
POL 8802,Mateusz Jura,Bartosz Chroł,,128,DNC 162,131,91,87,85,91,613,104
FRA 8820,Thibault Di Pede,Fabrice Toupet,,DNC 162,DNC 162,86,DNC 162,69,69,71,619,105
GER 8849,Pedro Bohnenberger,Peter Wolffram,,110,92,116,DNC 162,100,100,110,628,106
GER 8533,Roger Bussenius,Robert Bussenius,,114,86,114,94,119,105,DNC 162,632,107
FRA 9084,Jacques Dechauffour,Sabine Dechaffour,,119,DNC 162,124,87,101,110,104,645,108
FIN 8659,Kira Maisniemi,Matti Dillemuth,,DNC 162,DNC 162,109,77,120,103,85,656,109
GER 9114,Mats Westholm,Thomas Fox,,104,85,DNC 162,DNC 162,96,106,106,659,110
SWE 8923,Lars Hultgren,Axel Hultgren,,98,DNC 162,92,93,117,109,DNS 162,671,111
DEN 8472,Rasmus Andersen,Henrik Andersen,,121,DNC 162,110,102,129,107,112,681,112
GER 8370,Felix Graff,Stephan Graff,,122,DNC 162,125,103,130,113,103,696,113
GER 8720,Tasche,Frederik,,DNC 162,DNC 162,21,29,DNF 162,DNC 162,DNC 162,698,114
FIN 8466,Hannu Pöyry,Juha Pietilä,,DNC 162,DNC 162,96,DSQ 162,95,108,78,701,115
GER 8721,Czeninga,Lietz,,DSQ 162,88,121,DNC 162,133,97,109,710,116
FRA 9024,Kleber Valery,David De Monteil,,75,58,93,DNC 162,DNS 162,DNC 162,DNC 162,712,117
GER 8932,Christian Henge,Katja Henge,,DNC 162,DNC 162,129,95,121,102,107,716,118
GER 9040,Dasenbrook,Meier,,23,47,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,718,119
GER 8619,Dachs,Alberts,,80,DNC 162,DNC 162,DNC 162,89,DNF 162,73,728,120
SWE 8787,Johansson,Ekberg,,109,75,DNC 162,DNC 162,128,DNF 162,95,731,121
GER 8527,Hartmut Weiß,Volker Weiß,,DNC 162,DNC 162,118,DNC 162,109,99,81,731,122
FRA 9086,Neidhart,Matthieu Gougeon,,105,DNC 162,105,DNC 162,111,91,DNF 162,736,123
GBR 8974,Neil Fulcher,Grogin,,70,DNC 162,98,DNC 162,88,DNC 162,DNC 162,742,124
RSA 8948,Anthony Parker,Ferdinand Holm,,DNC 162,DNC 162,133,DNC 162,99,77,111,744,125
GER 8901,Mario Tirre,Frank Wille,,113,90,95,DNC 162,127,DNF 162,DNC 162,749,126
POL 8358,Karol Milewski,Bartosz Milewski,,106,DNC 162,DNC 162,101,110,DNF 162,108,749,127
GER 8531,Anna Hauschild,Hartwig Friedrichs,,83,DNC 162,DNC 162,DNC 162,93,DNC 162,105,767,128
GER 8550,Hauschild,Heyder,,DNC 162,DNC 162,89,DNC 162,123,DNC 162,79,777,129
FIN 8127,Raita,Nurmela,,94,DNC 162,DNC 162,DNC 162,107,90,DNC 162,777,130
FRA 8950,Eric Quémard,Nicolas Picquerey,,130,DNC 162,122,DNC 162,134,117,113,778,131
POL 8665,Marcin Panek,Przemysław Rzepecki,,129,DNC 162,115,DNC 162,DNC 162,112,100,780,132
GBR 9036,Martin Wedge,Scott Allen,,79,DNC 162,DNC 162,DNC 162,60,DNC 162,DNC 162,787,133
GER 8775,Sell,Gewinn,,84,DNC 162,101,DNC 162,116,DNF 162,DNF 162,787,134
AUT 8921,Schmidt,Mayrhofer,,111,DNF 162,106,DNC 162,DNC 162,DNS 162,102,805,135
GER 8480,Marc Köster,Thorben Köster,,112,DNC 162,123,DNF 162,DNC 162,DNC 162,89,810,136
GER 8654,Müller,Eilenstein,,116,DNC 162,DNC 162,DNC 162,118,DNF 162,90,810,137
GER 8373,Jörg Kinder,Volkmar Leitzke,,DNC 162,DNC 162,69,104,RET 162,RET 162,DNF 162,821,138
GER 8999,Söllner,Stümpel,,95,DNC 162,87,DNC 162,DNF 162,DNF 162,DNC 162,830,139
GER 8493,Pösch,Baumann,,127,DNC 162,102,DNF 162,125,DNC 162,DNC 162,840,140
DEN 9109,Genefke,Finn,,DNF 162,DNC 162,126,DNC 162,124,114,DNF 162,850,141
GER 8730,Misbach,Dillmann,,117,DPI,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,857,142
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,,118,DNC 162,128,DNC 162,131,DNC 162,DNC 162,863,143
GER 8777,Peter Woolman,Franscisco Sanguino-Petersen,,115,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,101,864,144
SWE 8848,Bjerke,Reinhold,,107,DNC 162,113,DNC 162,DNF 162,DNC 162,DNC 162,868,145
GER 8473,Christoph Böckle,Timo Böckle,,DNC 162,DNC 162,DNC 162,DNC 162,132,111,DNC 162,891,146
GER 8630,Lankenau,Schipler,,DNF 162,DNF 162,132,DNC 162,DNF 162,115,DNF 162,895,147
GER 8947,Schneidewind,Schürmann,,DNC 162,DNC 162,DNC 162,DNC 162,86,DNF 162,DNC 162,896,148
GER 8966,Julian Dierker,Andreas Schlüter,,DNC 162,DNC 162,DNC 162,DNC 162,136,116,DNC 162,900,149
GER 8505,Peter Wichtrap,Mario Tirre,,120,DNC 162,DNC 162,DNC 162,135,DNC 162,DNC 162,903,150
GER 8622,Hilmer Goedeking,Michael Schoefer,,125,DNF 162,DNF 162,DNC 162,137,DNC 162,DNC 162,910,151
GER 8989,Brinkbäumer,Feuchtenhofer,,DNC 162,DNC 162,127,DNC 162,DNC 162,DNF 162,DNF 162,937,152
GER 8469,Ehlers,Afken,,DNC 162,DNC 162,130,DNC 162,DNC 162,DNC 162,DNC 162,940,153
GER 8052,Feuerhake,Nehrenberg,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
SWE 9107,Flood,Rodhe,,DNC 162,DNC 162,DNF 162,DNC 162,DNF 162,DNC 162,DNC 162,972,NDA
GER 8634,Hofmann,Brix,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
SUI 9060,Houriet,Donzé,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
GER 8670,Theo Kohl,Juliane Kohl,,DNC 162,DNC 162,DNC 162,DNC 162,DNF 162,DNC 162,DNC 162,972,NDA
GER 9129,Plattner,Alarie,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
GER 8956,Rasenack,Brückner,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
GER 8991,Schmidt,Sjuts,,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,DNC 162,972,NDA
