Nationality,Boat Number,Rorsman,Gast,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
SWE,4178,Ray Larsson,Bengt Magnusson,,DNF,74,53,5,43,55,259,55
SWE,4398,Lars Berthén,Tore Andersson,,35,DNF,36,72,40,47,260,56
SWE,3106,Roy Wedin,Peter Sandsjö,,DNF,43,46,70,33,46,268,57
AUS,5081,?,?,,50,64,57,50,42,41,270,58
SUI,4819,Lucien Keller,Edouard Kessi,,44,62,54,45,47,52,272,59
GBR,4421,John Turgoose,B. Broadhurst,,DNF,52,58,36,49,54,279,60
CAN,4012,?,?,,34,40,48,62,DNF,DNF,290,61
SWE,3924,Stefan Eriksson,Sven Karlsson,,37,28,52,69,DNF,DNS,293,62
GBR,4767,John Locke,Antony Pusinelli,,12,57,59,61,DNF,DNS,295,63
NOR,4130,Carl Aaser,Christian Walter,,DNF,35,36,43,DNF,53,295,64
FIN,5134,Jan Lindahl,A. Backman,,48,32,38,40,DNF,DNF,301,65
CAN,5198,J. Dingle,Don McNeil,,54,66,50,75,46,56,302,66
GER,4678,Mathias Dietz,Wolfgang Senghas,,43,72,65,68,37,DNF,315,67
FRA,4825,Leon Brillouet,Jean Desrais,,57,73,64,18,DNF,DNS,319,68
GER,4729,André Zander,Peer Jenssen,,55,65,61,38,DNF,DNF,325,69
RSA,5194,Harry Ellens,Anton Ellens,,DNF,56,19,67,DNF,DNS,329,70
FRA,4701,Hughes Lecerf,Gueulette,,DNF,69,55,73,29,DNF,332,71
MON,5111,François Richard,M. Sachet,,DNF,61,49,44,DNF,DNF,339,72
GBR,5051,Robin Whittle,Gerald Unwin,,DNF,76,DSQ,41,50,DNF,348,73
SWE,4056,Hans Andersson,Kjell Lidman,,DNF,71,38,22,DNS,DNF,352,74
USA,5002,William Grant Pattison,Robert Shenk,,59,70,63,58,DNF,DNF,356,75
FIN,4115,J. Lindgren,J. Jervimaa,,DNF,60,DNF,74,41,DNF,361,76
SWE,4354,Thomas Rudewald,Carl Pettersson,,39,35,DNF,53,DNF,DNF,364,76
GER,4742,Hans Peterson,Wilfrid Gross,,DNF,78,66,71,44,DNF,365,78
GBR,5040,Peter Ballam,Michael Nott,,51,48,DNF,66,39,50,370,79
SIN,4804,Ingemar André,Michael Wood,,DNF,77,DNF,76,DNS,DNF,415,80
GER,4676,Theo Graff,Werner Graff,,DNF,DNS,DNS,DNS,DNS,DNS,425,81
