,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,,,Platz
GER,9020,Tim Böger,Markus Schöner,HSC,DNC,17,10,10,22,21,12,38,26,11,29,12,21,,,21
AUS,9074,Michael Quirk,Simon Reffold,MHYC,19,DNC,19,48,DNC,14,11,5,12,14,25,18,25,,,22
GER,9011,Michael Daisenberger,Jonas Nissen,DTYC,11,26,39,27,33,6,15,30,27,9,20,,23,,,23
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,DNC,32,30,20,36,7,36,36,21,18,4,4,24,,,24
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,6,26,34,11,11,18,31,29,18,31,36,,25,,,25
GBR,9079,Tim Rush,Andrew Short,,40,31,25,34,5,21,44,3,20,21,9,,26,,,26
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,7,16,36,14,34,7,26,18,32,27,41,,27,,,27
GBR,8906,Harry Briddon,Simon Briddon,,29,27,7,6,37,27,14,28,31,34,36,DNC,28,,,28
GER,9043,Nicola Birkner,Angela Stenger,SVaW,15,36,2,9,40,34,34,23,28,25,32,,29,,,29
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,30,DNC,34,19,35,35,31,11,12,33,35,7,30,,,30
DEN,8958,Nikolaj Buhl,Henrik Buhl,,44,35,37,33,12,29,36,3,16,DNC,37,12,DNC,,,31
GBR,9012,Andrew Smith,Tim Needham,,26,25,14,28,DNC,DNC,17,58,45,15,21,38,11,,,32
GBR,8945,Alex Barry,Adam Kenney,,46,32,23,40,DNC,DNC,22,39,21,42,13,11,19,,,33
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,16,30,33,16,40,22,32,39,24,23,44,,34,,,34
FIN,8768,Jukka Nieminen,Kari Lehtonen,,17,34,31,28,37,41,13,33,38,30,26,,35,,,35
GER,8725,Johannes Berggren,Max Mäge,SCLW,37,DNC,12,43,14,15,51,24,34,37,31,48,36,,,36
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,48,12,46,19,23,38,29,14,35,35,47,DNC,37,,,37
SUI,8613,Marti Ueli,Res Schürch,CVN,25,38,29,12,35,23,24,47,40,41,37,,38,,,38
GBR,8701,Rob Napier,Francis Cram,HoL,23,33,30,23,31,27,46,50,46,22,23,,39,,,39
USA,8970,Robert Tennant,Rich Mundell,,41,49,36,44,26,37,27,25,23,33,33,,40,,,40
GBR,8694,Mike Hart,Daniel Hart,Shotley,28,39,48,26,32,44,37,44,15,46,21,,41,,,41
FRA,9024,Claude Gachet,Kleber Valery,YCG,36,52,18,48,28,47,39,28,41,32,15,,42,,,42
GER,9029,Jürgen Waldheim,Thomas Jung,PYC,45,20,43,27,36,38,19,31,27,50,51,,43,,,43
FRA,8870,Christian Silvestre,Nicolas Auberger,CVB,22,37,47,29,28,DSQ,41,52,34,38,34,29,44,,,44
GER,9054,Kilian König,Lars Dehne,,35,11,58,62,15,39,DSQ,59,41,16,26,53,DNC,,,45
GBR,8887,Richard Williams,Paul Davies,,38,17,40,51,26,54,50,26,20,57,54,,46,,,46
GER,8972,Ronald Roos,Morten Roos,SVWu,57,DNC,25,20,38,45,39,57,54,45,42,16,47,,,47
SUI,9060,Catherine Houriet,Gilles Donze,,33,DNC,27,38,51,23,49,55,60,57,44,31,48,,,48
GER,8989,Andreas Jungclaus,Arne Lanatowitz,HSC,39,23,44,47,41,46,42,38,47,24,DNC,DNC,DNF,,,49
GER,9015,Bastian Horstmann,Jan Wiechmann,SVBB,34,50,60,35,43,57,DNC,DNC,40,36,39,37,48,,,50
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,40,31,45,43,47,54,48,54,44,52,39,,51,,,51
GER,8580,Jens Olbrysch,Frank Weigelt,HSC,51,DNC,DSQ,55,45,49,30,56,37,40,52,50,34,,,52
FIN,8678,Eino Laitinen,Thomas Castren,HSS,54,45,50,47,45,44,42,29,49,43,58,,53,,,53
GBR,8881,Roger Deane,Dave Turner,,DNC,56,21,55,42,48,55,58,59,46,51,47,54,,,54
FRA,8899,Alain Karadjan,Geraud Lafortune,,60,47,52,57,53,32,57,43,43,58,40,,55,,,55
GBR,8925,Martin Wedge,Scott Allen,RBYC,49,DNC,33,50,52,57,48,62,33,63,59,46,56,,,56
SUI,8997,Uwe Hoffmann,Yoann Roux,WSVR,61,51,39,56,54,59,33,61,61,52,43,,57,,,57
GER,8874,Steffen Henning,Tilman Giesen,HSC,DSQ,DNC,62,58,57,55,13,46,74,58,60,49,42,,,58
ITA,8743,Marco Giraldi,Luke White,UVM,64,DNC,38,61,58,62,56,40,46,48,55,50,59,,,59
USA,8831,Pierre Jeangirard,Paul Von,,47,45,42,54,49,47,DNC,DNC,49,53,47,DNF,DNF,,,60
GER,8741,Jürgen Anton,Ulf Denecke,HSC,56,42,59,51,48,58,60,53,54,61,55,,61,,,61
ITA,8671,Giacinto Piacquadio,Andrea Messina,,53,DNC,DNC,37,52,67,59,63,63,57,59,54,49,,,62
GBR,8860,Bobbie Johnson,Tony Merry,,54,55,53,41,61,64,49,65,65,60,56,,63,,,63
DEN,8828,Michael Van Wonterghem,Fabiola Van Wonterghem,Soro,65,49,46,61,62,66,60,56,56,62,57,,64,,,64
GBR,9077,Peter Mee,James Mee,,68,53,DNC,DNC,66,50,54,45,0,0,55,45,52,,,65
AUT,8921,Martin Schmidt,Michael Mayrhofer,ASKÖ,DSQ,56,59,63,59,63,61,52,59,55,58,60,66,,,66
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,67,44,64,67,62,56,63,65,64,41,64,DNC,DNC,,,67
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,55,48,66,64,65,68,52,68,69,DNC,68,64,68,,,68
GBR,8907,Jim Berry,David Barnes,CVSC,69,46,65,69,56,60,64,67,DNC,68,71,61,69,,,69
GER,8730,Iris Anton,Birgit Hartmann,HSC,DSQ,DNC,63,70,63,66,66,62,66,61,67,65,59,,,70
