Nation,Sail no,Helm,Crew,,Cannes,Riva del Garda,Kiel,Aarhus,Total,Nett,Rank
DEN,9023,Tom Bøjland,Anders Friis,,(205 DNC),205 DNC,8,14,432,227,25
GER,8669,Florian Kemper,Michael Krause,,(205 DNC),205 DNC,5,18,433,228,26
SUI,8569,Rene Betschen,Lionel Hollinger,,7,17,(205 DNC),205 DNC,434,229,27
USA,9002,Moritz Bohnenberger,Philipp Frisch,,(205 DNC),9,20,205 DNC,439,234,28
GER,8901,Sophie Soellner,Wolfgang Stueckl,,(205 DNC),14,15,205 DNC,439,234,29
GBR,9006,Terry Scutcher,Christian Diebitsch,,(205 DNC),10,205 DNC,22,442,237,30
GER,9028,Stefan Koechlin,Andreas Achterberg,,27,(205 DNC),7,205 DNC,444,239,31
GER,8990,Frieder Achterberg,Arne Lanatowitz,,16,18,(205 DNC),205 DNC,444,239,32
GER,8928,Hendrick Schultz,Ute Oberländer,,14,26,(205 DNC),205 DNC,450,245,33
FRA,8683,Antoine Lafortune,Geraud Lafortune,,22,24,(205 DNC),205 DNC,456,251,34
DEN,8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,(205 DNC),27.5,205 DNC,25,462.5,257.5,35
GER,9026,Hasso Dr.Plattner,Peter Alarie,,(205 DNC),205 DNC,23,30,463,258,36
FRA,8515,Nicolas Croce,Florian Faucheux,,26,30,(205 DNC),205 DNC,466,261,37
GER,8672,Karsten Contag,Guido Von Walter,,31,27.5,(205 DNC),205 DNC,468.5,263.5,38
GER,9029,Jurgen Waldeim,Thomas Jung,,35,(205 DNC),24,205 DNC,469,264,39
GBR,8974,Nicola Birkner,Angela Stenger,,(205 DNC),205 DNC,19,41,470,265,40
FRA,8950,Hervé de Kergariou,Basile Geron,,30,(205 DNC),205 DNC,31,646,266,41
FRA,8895,Mathieu Devaux,Philippe Dubuc,,32,(205 DNC),30,205 DNC,472,267,42
GER,8947,Volker Niediek,Stefan Heising,,(205 DNC),205 DNC,13,50,473,268,43
GER,8874,Nørbert Dasenbrook,Sven Meier,,(205 DNC),205 DNC,18,45,473,268,44
GER,8903,Stephan Schweiger,Thorsten Koch,,(205 DNC),23,205 DNC,52,485,280,45
FRA,8486,Pascal Viaud,Koen Jourquin,,36,40,(205 DNC),205 DNC,486,281,46
FIN,8320,Kaj Lindfors,Tatu Miettinen,,37,42,(205 DNC),205 DNC,489,284,47
GER,8317,Hartwig Friedrichs,Martin Bernauer,,(205 DNC),205 DNC,29,55,494,289,48
GER,8563,Klaus Heeschen,Stefan Schmidt,,(205 DNC),205 DNC,33,53,496,291,49
ITA,8882,Roberto Loce,Antonio Binacchi,,45,41,(205 DNC),205 DNC,496,291,50
FRA,8980,Michel Boiry,Yves Treboz,,-52,46,43,205 DNC,346,294,51
FIN,8873,Ari Peltoniemi,Jussi Kuosa,,56,38,(205 DNC),205 DNC,504,299,52
GER,8972,Ronald Roos,Maren Roos,,(205 DNC),205 DNC,40,54,504,299,53
GER,8741,Jürgen Anton,Ulf Denecke,,(205 DNC),205 DNC,35,60,505,300,54
GER,8775,Jan Sell,Gewinn Wiebke,,(205 DNC),205 DNC,26,73,509,304,55
GBR,8497,Roger Deane,Dennis Cartwright,,(205 DNC),37,205 DNC,65,512,307,56
SWE,8912,Knut Hastenpflug,Toni Hastenpflug,,(205 DNC),205 DNC,45,58,513,308,57
FRA,8729,Yves Niddam,Thierry Gresle,,54,51,(205 DNC),205 DNC,515,310,58
GER,8666,Michael Kurzeja,Julius Jacoby,,67,48,(205 DNC),205 DNC,525,320,59
FRA,9010,Gilles Carvallo,Julien Letissier,,47,(205 DNC),205 DNC,69,526,321,60
FRA,8008,Vincent Dewaele,Rose Marie Savio,,71,54,(205 DNC),205 DNC,535,330,61
FIN,8632,Jari Hamstrom,Tuomas Laurila,,(205 DNC),34,205 DNC,92,536,331,62
GER,9000,Enno Wilts,Jan Wiechmann,,(205 DNC),205 DNC,41,85,536,331,63
GER,8932,Christian Henge,Matthias Fedde,,(205 DNC),205 DNC,39,89,538,333,64
GER,8658,Tina Hoell,Alexander Wilhelm,,(205 DNC),43,205 DNC,95,548,343,65
GER,8730,Iris Feldmann,Birgit Hartmann,,(205 DNC),205 DNC,48,93,551,346,66
GBR,8907,Jim Berry,David Barnes,,(205 DNC),39,205 DNC,108,557,352,67
GER,6817,Ralf Schneidewind,Martin Lietz,,(205 DNC),205 DNC,47,101,558,353,68
GER,7861,Katharina Menge,Henning Ries,,(205 DNC),205 DNC,46,106,562,357,69
FRA,8623,Matthieu Gougeon,Dominique Rouanne,,58,(205 DNC),205 DNC,100,568,363,70
GER,8500,Jens Kühne,Katja Henge,,(205 DNC),205 DNC,50,110,570,365,71
GER,8622,Hilmer Goedeking,Dr. Michael Schäfer,,(205 DNC),205 DNC,51,114,575,370,72
USA,8762,Howard Hamlin,Andy Zinn,,(205 DNC),205 DNC,205 DNC,4,619,414,73
GER,9040,Meike Schömaker,Holger Jess,,(205 DNC),205 DNC,205 DNC,5,620,415,74
IRL,8961,Ewen Barry,Charles Dwyer,,(205 DNC),6,205 DNC,205 DNC,621,416,75
FRA,8908,Bertrand Loyal,Xavier Detappe,,6,(205 DNC),205 DNC,205 DNC,621,416,76
SWE,8926,Ebbe Rosen,Olle Wenrup,,(205 DNC),205 DNC,205 DNC,8,623,418,77
GER,8669,Boris Herrmann,Julien Kleiner,,9,(205 DNC),205 DNC,205 DNC,624,419,78
GER,8901,Micki Daisenberger,Wolfgang Stuckl,,10,(205 DNC),205 DNC,205 DNC,625,420,79
GER,8927,Ulf Plessmann,Hans-Heinrich Rix,,(205 DNC),11,205 DNC,205 DNC,626,421,80
USA,8878,Edward Conrads,Brian Haines,,(205 DNC),205 DNC,205 DNC,12,627,422,81
GER,8927,Jörg Häger,Heini Rix,,(205 DNC),205 DNC,12,205 DNC,627,422,82
GER,8929,Tom Gosch,Rolf Meyer,,(205 DNC),205 DNC,14,205 DNC,629,424,83
AUS,8886,Reffold Quirk,,,(205 DNC),205 DNC,205 DNC,15,630,425,84
GBR,8906,Harry Briddon,Simon Briddon,,(205 DNC),15,205 DNC,205 DNC,630,425,85
USA,9007,Tyler Moore,Geoff Ewenson,,(205 DNC),205 DNC,205 DNC,16,631,426,86
GBR,8963,Martin Hodgson,Adrian Miles,,(205 DNC),16,205 DNC,205 DNC,631,426,87
GER,9020,Tim Böger,Markus Schöner,,(205 DNC),205 DNC,17,205 DNC,632,427,88
FRA,8820,Serge Gubri,Thibault Di Pede,,19,(205 DNC),205 DNC,205 DNC,634,429,89
DEN,8440,Mads Christiansen,Mikkel  Christiansen,,(205 DNC),205 DNC,205 DNC,20,635,430,90
GBR,8945,Alex Barry,Adam Kenney,,(205 DNC),20,205 DNC,205 DNC,635,430,91
FRA,8752,Nicolas Martin,Julien Lafortune,,20,(205 DNC),205 DNC,205 DNC,635,430,92
USA,9002,Mike Holt,Carl Smit,,(205 DNC),205 DNC,205 DNC,21,636,431,93
FRA,7941,Veronique Brenet,Jean-Pierre Peter,,21,(205 DNC),205 DNC,205 DNC,636,431,94
USA,8808,Augie Diaz,Luke Lawrence,,(205 DNC),205 DNC,205 DNC,23,638,433,95
GER,8777,Stefan Schollhauer,Frisco Sanguino,,24,(205 DNC),205 DNC,205 DNC,639,434,96
USA,8772,Macy Nelson,Parry Barclay,,(205 DNC),205 DNC,205 DNC,26,641,436,97
USA,8830,Ramsay Key,Andrew Buttner,,(205 DNC),205 DNC,205 DNC,27,642,437,98
GER,8750,Gunter Peters,Steffen Achenbach,,(205 DNC),205 DNC,27,205 DNC,642,437,99
USA,8930,Ted Ferrarone,Doug Mckeige,,(205 DNC),205 DNC,205 DNC,28,643,438,100
GER,8657,Georg Neulen,Peter Gerdts,,(205 DNC),205 DNC,28,205 DNC,643,438,101
FRA,9024,Claude Gachet,Kleber Valery,,28,(205 DNC),205 DNC,205 DNC,643,438,102
FRA,8509,Robert Ronnback,Jordane Lafortune,,29,(205 DNC),205 DNC,205 DNC,644,439,103
GER,8665,Thomas Tschentscher,Jerome Gaudin,,(205 DNC),205 DNC,31,205 DNC,646,441,104
GER,8519,Robert Wisolek,Clemens Pirker,,(205 DNC),31,205 DNC,205 DNC,646,441,105
DEN,9039,Kim Christensen,Søren Overbeck,,(205 DNC),205 DNC,205 DNC,32,647,442,106
GER,8686,Christian Niefert,Sven Dömges,,(205 DNC),205 DNC,32,205 DNC,647,442,107
FRA,8870,Christian Silvestre,Nicolas Auberger,,33,(205 DNC),205 DNC,205 DNC,648,443,108
GER,8721,Sophie Heyer,Sebastian Salein,,(205 DNC),205 DNC,205 DNC,34,649,444,109
GER,8483,Melanie Kohlhoff-Horstmann,Peter Kohlhoff,,(205 DNC),205 DNC,34,205 DNC,649,444,110
FRA,8899,François de Lisle,Herve Brillaud,,34,(205 DNC),205 DNC,205 DNC,649,444,111
RSA,8481,Peter Funke,Thomas Funke,,(205 DNC),205 DNC,205 DNC,36,651,446,112
IRL,7771,Brian Jones,Gary Frost,,(205 DNC),36,205 DNC,205 DNC,651,446,113
GBR,8701,Rob Napier,Francis Cram,,(205 DNC),205 DNC,205 DNC,38,653,448,114
GER,8999,Karsten Stümpel,Ute Stümpel,,(205 DNC),205 DNC,38,205 DNC,653,448,115
FRA,8402,Morgan Aussel,Frederic Roucayrol,,38,(205 DNC),205 DNC,205 DNC,653,448,116
AUS,8801,Peter Chappell,Graeme Spence,,(205 DNC),205 DNC,205 DNC,39,654,449,117
GER,8473,Olivier Kraft,Frank Heimburger,,39,(205 DNC),205 DNC,205 DNC,654,449,118
FRA,8847,Muriel Jeanne,Franck Agrapart,,40,(205 DNC),205 DNC,205 DNC,655,450,119
SUI,8727,Lorenz Nydegger,Martin Nydegger,,41,(205 DNC),205 DNC,205 DNC,656,451,120
GER,8609,Jörn Wille,Martin Bergmann,,(205 DNC),205 DNC,42,205 DNC,657,452,121
FRA,887,Aline Martin,Loic Brillaud,,42,(205 DNC),205 DNC,205 DNC,657,452,122
SUI,8613,Kevin Cameron,Laurent Grob,,(205 DNC),205 DNC,205 DNC,43,658,453,123
AUS,8840,Kleber Valery,Marcus Cooper,,(205 DNC),205 DNC,205 DNC,44,659,454,124
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,,(205 DNC),205 DNC,44,205 DNC,659,454,125
FRA,8695,Jean-Guy Puissant,Bernard le Guen,,44,(205 DNC),205 DNC,205 DNC,659,454,126
GER,8598,Anna Hoell,Bernd Heinisch,,(205 DNC),45,205 DNC,205 DNC,660,455,127
GER,8849,Pedro Bohnenberger,Volker Böhringer,,46,(205 DNC),205 DNC,205 DNC,661,456,128
GER,8989,Daniel Esdorn,Axel Priegann,,(205 DNC),205 DNC,205 DNC,47,662,457,129
GBR,8955,Simon Lake,,,(205 DNC),47,205 DNC,205 DNC,662,457,130
USA,7875,Jeff Miller,Stuart Park,,(205 DNC),205 DNC,205 DNC,48,663,458,131
FRA,8348,Mathieu Ingrand,Gaetan Finet,,48,(205 DNC),205 DNC,205 DNC,663,458,132
RSA,8520,Rudolph Holm,Ferdinand Holm,,(205 DNC),205 DNC,205 DNC,49,664,459,133
GER,8437,Henning Steffen,Tilman Giesen,,(205 DNC),205 DNC,49,205 DNC,664,459,134
GBR,8867,Patrick Macgale,Paul von Grey,,(205 DNC),49,205 DNC,205 DNC,664,459,135
FRA,8541,Elsa le Formal,Sophie Biecheler-Fiocconi,,49,(205 DNC),205 DNC,205 DNC,664,459,136
GER,8772,Julia Tanner,Lukas Tanner,,(205 DNC),50,205 DNC,205 DNC,665,460,137
BEL,8536,Alain Tosello,Harald Van Exem,,50,(205 DNC),205 DNC,205 DNC,665,460,138
AUS,8921,Nigel Lott,Bob Franks,,(205 DNC),205 DNC,205 DNC,51,666,461,139
FRA,8773,Philippe Markt,Gael Conversy,,51,(205 DNC),205 DNC,205 DNC,666,461,140
GER,8697,Wilfried W. Stuis,Pia Matscheroth-Brodwurm,,(205 DNC),205 DNC,52,205 DNC,667,462,141
CRO,7801,Slobodan Velikic,Nikola Fabijanic,,(205 DNC),52,205 DNC,205 DNC,667,462,142
GER,8392,Konrad Barop,Christina Burger,,(205 DNC),205 DNC,53,205 DNC,668,463,143
FRA,8704,Elisabeth Neidhart,Bertrand Lapeyre,,53,(205 DNC),205 DNC,205 DNC,668,463,144
IRL,8679,Sandy Rimmington,Andrew Welland,,(205 DNC),55,205 DNC,205 DNC,670,465,145
ITA,8944,Luca Manzi,Alfredo Annese,,55,(205 DNC),205 DNC,205 DNC,670,465,146
GER,8317,Eino Laitinen,Antje Gosch,,(205 DNC),205 DNC,205 DNC,56,671,466,147
GER,8204,Ingo Schneider,Sebastian Hoering,,(205 DNC),56,205 DNC,205 DNC,671,466,148
SWE,8848,Johan Calvert,Marcus Haas,,(205 DNC),205 DNC,205 DNC,57,672,467,149
FRA,8949,Philippe Duquesne,Denis David,,57,(205 DNC),205 DNC,205 DNC,672,467,150
GER,8697,Wilfried Stuis,Pia Matscheroth Brodwu,,59,(205 DNC),205 DNC,205 DNC,674,469,151
FRA,9019,Robert Lehmann,Bernard Edel,,60,(205 DNC),205 DNC,205 DNC,675,470,152
GER,8991,Michael Köritz,Tore Schmeling,,(205 DNC),205 DNC,205 DNC,61,676,471,153
GER,8463,Mats Westholm,Jesper Fowelin,,61,(205 DNC),205 DNC,205 DNC,676,471,154
DEN,8232,Jonas Christiansen,Johan Pedersen,,(205 DNC),205 DNC,205 DNC,62,677,472,155
GBR,9039,Tim Bird,Richard Nurse,,(205 DNC),205 DNC,205 DNC,63,678,473,156
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,63,(205 DNC),205 DNC,205 DNC,678,473,157
RSA,8445,Kyle Klaas,Robert Von Gruenewaldt,,(205 DNC),205 DNC,205 DNC,64,679,474,158
GER,8751,Andreas Roller,Maximilian Roller,,64,(205 DNC),205 DNC,205 DNC,679,474,159
FRA,6245,Lawrence Banahan,Nicolas Claustres,,65,(205 DNC),205 DNC,205 DNC,680,475,160
AUS,8781,Earle Alexander,Ian Gregg,,(205 DNC),205 DNC,205 DNC,66,681,476,161
GER,8991,Stefan Schmidt,Horst Sjuts,,66,(205 DNC),205 DNC,205 DNC,681,476,162
USA,8960,Bruce Van Deventer,Jon Henderson,,(205 DNC),205 DNC,205 DNC,67,682,477,163
FIN,8053,Petri Ebeling,Juhani Heimsch,,(205 DNC),205 DNC,205 DNC,68,683,478,164
FRA,8640,Thomas Chartier,Jean-Baptiste Kopecky,,68,(205 DNC),205 DNC,205 DNC,683,478,165
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,,69,(205 DNC),205 DNC,205 DNC,684,479,166
SWE,8787,Lars Bjerke,Tore Reinhold,,(205 DNC),205 DNC,205 DNC,70,685,480,167
FRA,8748,Samuel Carvallo,Sebastien Rauly,,70,(205 DNC),205 DNC,205 DNC,685,480,168
FIN,7784,Thomas Held,Timo Vennonen,,(205 DNC),205 DNC,205 DNC,71,686,481,169
GER,8744,Lutz Kandzia,Martin Deutscher,,(205 DNC),205 DNC,205 DNC,72,687,482,170
GBR,8749,Alastair Milton,Laurence Milton,,(205 DNC),205 DNC,205 DNC,74,689,484,171
GBR,8945,Neil Rabbitts,Adam Kenney,,(205 DNC),205 DNC,205 DNC,75,690,485,172
RSA,8471,Alexander Ham,Warwick Ham,,(205 DNC),205 DNC,205 DNC,76,691,486,173
FIN,8924,Raimo Raita,Juha Nurmela,,(205 DNC),205 DNC,205 DNC,77,692,487,174
GER,8513,Sven Dömges,Andreas Happich,,(205 DNC),205 DNC,205 DNC,78,693,488,175
FIN,8320,Tatu Miettinen,Ville Tarvo,,(205 DNC),205 DNC,205 DNC,80,695,490,176
USA,8841,Edward Tillinghast,William Miller,,(205 DNC),205 DNC,205 DNC,81,696,491,177
FIN,8659,Kira Maisniemi,Matti Dillemuth,,(205 DNC),205 DNC,205 DNC,82,697,492,178
SWE,8257,Peter Andersson,Per-Eric Thörnström,,(205 DNC),205 DNC,205 DNC,83,698,493,179
GER,8619,Steve Kwee,Thorsten Spötter,,(205 DNC),205 DNC,205 DNC,84,699,494,180
DEN,9025,Per Larsen,Bent Lundsager,,(205 DNC),205 DNC,205 DNC,86,701,496,181
SWE,8581,Pa Hallberg,Frank Bach,,(205 DNC),205 DNC,205 DNC,87,702,497,182
SWE,8837,Tord Lawner,Tomas Gustafsson,,(205 DNC),205 DNC,205 DNC,88,703,498,183
AUS,8396,Sam Cronin,Kevin Whitbread,,(205 DNC),205 DNC,205 DNC,90,705,500,184
SUI,8077,Catherine Houriet,Gil Donze,,(205 DNC),205 DNC,205 DNC,91,706,501,185
SWE,8917,Simon Kindt,Jesper Fowelin,,(205 DNC),205 DNC,205 DNC,94,709,504,186
GER,8852,Dirk Hänsgen,Frank Rupprich,,(205 DNC),205 DNC,205 DNC,96,711,506,187
AUS,8710,Brett Bowden,Robert Bath,,(205 DNC),205 DNC,205 DNC,97,712,507,188
DEN,8071,Michael Wonterghem,Fabiola Wonterghem,,(205 DNC),205 DNC,205 DNC,99,714,509,189
GER,8550,Martha Hauschild,Franzi Manko,,(205 DNC),205 DNC,205 DNC,103,718,513,190
RSA,8707,Albrecht Holm,Willem Buhrmann,,(205 DNC),205 DNC,205 DNC,104,719,514,191
AUS,8639,Grahame Tindall,David Johnson,,(205 DNC),205 DNC,205 DNC,105,720,515,192
GER,8966,Walter Steding,Uwe Küntzel,,(205 DNC),205 DNC,205 DNC,107,722,517,193
USA,8951,Christian Rasmussen,Thomas Rasmussen,,(205 DNC),205 DNC,205 DNC,109,724,519,194
GER,8999,Karsten Stuempel,Ute Stuempel,,(205 DNC),205 DNC,205 DNC,111,726,521,195
USA,6931,Stine Cacavas,Bill Mckinney,,(205 DNC),205 DNC,205 DNC,112,727,522,196
GER,8470,Oliver Schürmann,Frauke Schürmann,,(205 DNC),205 DNC,205 DNC,113,728,523,197
GER,7674,Torben Koch,Eric Bellstedt,,(205 DNC),205 DNC,205 DNC,115,730,525,198
SWE,8476,Erik Strandmark,Mats Holmberg,,(205 DNC),205 DNC,205 DNC,116,731,526,199
SWE,7833,Johan Heander,Erika Heander,,(205 DNC),205 DNC,205 DNC,117,732,527,200
SWE,7667,Sven Flood,Niclas Ericsson,,(205 DNC),205 DNC,205 DNC,118,733,528,201
SWE,7507,Karin Storm,Frederick Somerville,,(205 DNC),205 DNC,205 DNC,119,734,529,202
GER,8052,Juergen Feuerhake,Anne Nehrenberg,,(205 DNC),205 DNC,205 DNC,120,735,530,203
