Country Sail No,Owner,Crew,,,,,,,,,Series Points,Series Place
USA 8841,Philippe Kahn,Paul Allen,,103*,103,51,33,67,68,37,359,68
CAN 8696,Deb Ashby,Dave Adams,,77*,56,75,74,47,54,61,367,69
GBR 8745,Chris Pearson,Frank Rainsborough,,54,59,60,67,66,61,78*,367,70
USA 6230,Craig Thompson,JB Turney,,69,103*,79,75,35,70,46,374,71
AUS 8783,Fletcher Kennedy,Ben Greenhough,,103*,63,45,40,94,65,79,386,72
USA 8018,Hauser,Sol Marini,,68,48,72,70,80*,79,60,397,73
USA 8857,Mark Cristensen,Harry Dunning,,103*,103,56,71,44,74,57,405,74
USA 7877,Steve Anderes,Kirk Twardowski,,65,54,68,73,77,82*,71,408,75
USA 8778,Darryl Dietz,Thomas Hurwitch,,76,60,71,63,63,83*,82,415,76
USA 7774,Paul Tara,Kolb,,103*,77,73,76,58,62,72,418,77
GBR 8708,Martin Wedge,Scott Allen,,62,103*,67,69,61,80,103,442,78
CAN 8755,Brian Trainor,Karl Oswald,,82,65,78,83,64,91,77,449,79
USA 6934,Gary Grimes,Adler,,63,103,85,66,50,103*,83,450,80
GBR 8532,Tom Clayton,Schlinter,,72,67,74,78,84,86,81,456,81
USA 6991,Geoff Nelson,Ben Wood,,103*,76,83,84,73,84,80,480,82
FRA 8786,Hubert Guy,Pierre Jean Gallo,,70,57,103*,103,76,75,103,484,83
USA 8593,Andy Walford,Mott,,103*,68,82,86,83,77,89,485,84
AUS 8797,Mark Robertshaw,Morris,,78,103*,62,103,68,72,103,486,85
USA 8821,Katherine Long,Stephen Long,,74,103*,77,79,88,87,84,489,86
USA 7093,Reynolds,Renda,,103*,73,81,103,85,81,69,492,87
GBR 8311,Dave Bradly,Barnes,,103*,75,84,81,89,66,103,498,88
USA 7094,Jennifer Lawson,Soren Jensen,,79,71,92,80,99,89*,88,499,89
USA 6808,Tony DeVita,Mildes,,75,69,87,82,97,99,103*,509,90
USA 8453,Stuart Sinclair,Richard Elstrom,,80,103*,88,85,87,85,85,510,91
GBR 8835,Simon Lake,Cram,,66,103*,103,103,82,56,103,513,92
USA 8577,Bruce Van Deventer,Scott Weiler,,84,103*,94,89,81,90,76,514,93
GBR 8678,Jim Berry,Richard Berry,,103*,103,66,103,92,88,63,515,94
USA 7096,Sanders Allan Staley,Burnard,,81,78,103*,103,90,92,75,519,95
CAN 7099,Davidge,Christian DeChamplain,,103*,72,93,103,86,93,86,533,96
USA 7773,Billings,Billings,,103*,70,89,88,100,97,90,534,97
USA 8647,Don Henry,Mike Zimmerman,,83,103*,90,87,91,98,87,536,98
GBR 8435,Patrick McGale,Tuck,,86,74,86,103*,96,96,103,541,99
USA 7110,Ryan Nelson,Tracy,,103*,103,91,103,93,94,91,575,100
USA 8756,Seiple,Schaefer,,85,103*,103,103,95,95,103,584,101
USA 8732,Snyder,Naylor,,103*,103,95,103,98,100,103,602,102
