Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley,DNC 80,DNC 80,DNC 80,12,7,12,38,309,,43
USA,8660,Donald Sloan,Jeff Nelson,,44,31,52,56,44,73,46,346,,44
USA,7877,Steve Anderes,Kirk Twardowski,,40,39,58,44,48,70,47,346,,45
USA,8411,Bill Jenkins,Dan Merino,,42,25,48,57,62,64,28,326,,46
USA,8731,Thad Lieb,Mike Smith,,37,28,DNC 80,DNC 80,32,60,36,353,,47
USA,8814,Lin Robson,Jorgensen,,DNC 80,32,27,61,DNC 80,38,40,358,,48
USA,8821,Katherine Long,Stephen Long,,48,45,35,52,58,53,55,346,,49
USA,7771,Kevin Taugher,Chuck Tripp,,DNC 80,DNC 80,4,13,DNC 80,2,DNC 80,339,,50
USA,8778,Darryl Dietz,Thomas Hurwitch,,34,38,49,58,51,72,65,367,,51
CAN,8696,Deborah Ashby,David Adams,,45,41,DNC 80,47,35,65,62,375,,52
USA,7771,Andrew Beeckman,Ben Benjamin,,DNC 80,DNC 80,19,2,8,DNC 80,DNC 80,349,,53
GER,8672,Christian Kellner,Martin Schöler,HSC,19,DNC 80,10,DNC 80,DNC 80,4,DNC 80,353,,54
AUS,8280,Michael Quirk,Geoff Lange,MHYC,DNC 80,DNC 80,41,64,29,67,16,377,,55
USA,8018,John Hauser,Solomon Marini,,DNC 80,40,53,51,57,48,60,389,,56
GBR,8311,Jim Bradly,David Barnes,,49,DNC 80,50,50,53,50,67,399,,57
USA,8790,John Wyles,Andrew Chadwick,,55,DNC 80,55,65,56,37,56,404,,58
USA,8453,Kane Sinclair,Richard Elstrom,,53,49,54,54,55,79,72,416,,59
AUS,8781,Earle Alexander,Dustin Carlsson,RQYS,DNC 80,DNC 80,48,34,52,49,66,409,,60
AUS,8696,Carter Jackson,Ian Nicholson,MHYC,DNC 80,DNC 80,DNC 80,DNC 80,34,41,8,403,,61
CAN,8755,Brian Trainor,Richard McDonald,,46,44,61,63,61,76,70,421,,62
AUS,8811,Matthew Hansen,Shane Attwell,,DNC 80,DNC 80,46,38,DNC 80,58,29,411,,63
USA,7096,Allan Staley,Paul Von Grey,,54,48,59,60,60,74,71,426,,64
USA,8593,Andy Walford,Mott,,52,DNC 80,57,59,54,78,53,433,,65
AUS,8798,Mark Stowell,Scott Bailey,,27,DNC 80,44,DNC 80,DNC 80,54,57,422,,66
USA,7094,Jennifer Lawson,Soren Jensen,,51,46,62,66,62,81,75,443,,67
GBR,8555,Charles Walters,Dougal Cram,GWSC,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,3,6,409,,68
AUS,8855,Michael Duffield,Anthony Gaunt,,DNC 80,DNC 80,37,43,DNC 80,61,54,435,,69
GBR,8834,Ian Pinnell,Steven Hunt,GWSC,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,9,10,419,,70
AUS,8506,Mark Robertshaw,Peter Crommelin,,50,DNC 80,60,57,DNC 80,55,68,450,,71
GER,8843,Nicolai Völckner,Lars Dehne,HSC,DNC 80,15,DNC 80,DNC 80,DNC 80,30,DNC 80,445,,72
USA,7093,Garth Reynolds,Renda,,56,47,DNC 80,DNC 80,DNC 80,75,58,476,,73
GBR,8552,Russell Short,Andrew Short,Burton,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,36,37,473,,74
USA,8732,Russell Short,Naylor,,DNC 80,DNC 80,63,67,63,80,74,507,,75
GBR,8419,Stuart Turnbull,Jason Lunn,Burton,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,35,44,479,,76
CAN,7099,Davidge,Christian DeChamplain,,DNC 80,DNC 80,DNC 80,62,59,77,69,507,,77
AUS,8817,Nigel Lott,Ian Gregg,RQYS,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,62,45,507,,78
GBR,8835,Simon Lake,Francis Cram,P.Cambs,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,63,61,524,,79
GBR,8745,Chris Pearson,Frank Rainsborough,QMSC,DNC 80,DNC 80,DNC 80,DNC 80,DNC 80,68,59,527,,80
