Nation,Sail No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Gross Pts,Nett Pts,Place
GBR,7939,P. Diamond,,,32,32,-49,37,32,182,133,36
GBR,8004,Martin Hodgson,,,27,46,-61,45,24,203,142,37
GBR,8141,Simon Pestell,,,37,37,-74,42,30,220,146,38
GBR,8313,Stephen Northeast,,,-51,50,25,41,33,200,149,39
GBR,8212,R. Tew,,,-81,57,30,34,31,233,152,40
GBR,8024,Nigel Summers,,,36,34,-52,38,44,204,152,41
FRA,8326,F. Macheboeuf,,,38,44,-66,31,41,220,154,42
ZIM,7840,J. O'Connor,,,41,41,42,32,-45,201,156,43
GBR,8285,M. Evans,,,35,-66,36,47,40,224,158,44
GBR,8200,S. Corby,,,30,36,-54,54,39,213,159,45
GBR,7805,M. Lucas,,,39,51,32,39,-56,217,161,46
GBR,8122,S. Baygle,,,50,47,18,48,-51,214,163,47
GBR,7692,R. Sims,,,47,45,33,-50,46,50,171,48
GBR,7755,P. Harlow,,,43,-56,40,53,37,229,173,49
GBR,7494,S. Bayliss,,,45,35,-81,49,47,257,176,50
GBR,8157,J. Berry,,,48,42,39,51,-54,234,180,51
GBR,8145,Mike Brooks,,,49,49,27,-61,60,246,185,52
GBR,8048,J. Reynolds,,,-84,33,48,57,48,270,186,53
GBR,8073,J. Hack,,,-60,55,53,44,43,255,195,54
GBR,8130,M. Greenland,,,54,58,28,56,-59,255,196,55
GBR,8070,S. Smith,,,52,48,56,40,-61,257,196,56
GBR,7770,C. Thorne,,,53,53,-76,43,52,277,201,57
GBR,8131,R. Whittle,,,44,38,75,-84,50,291,207,58
GBR,8021,Robert Napier,,,12,26,84,87,-87,296,209,59
GBR,8153,C. Collon,,,55,52,-60,52,55,274,214,60
GBR,7553,N. Burrows,,,-70,54,63,62,42,291,221,61
GBR,7415,E. Hatton,,,84,71,-84,29,38,306,222,62
GBR,7432,P. Herd,,,-84,72,37,55,67,315,231,63
GBR,8160,J. Wallace,,,61,-78,44,70,62,315,237,64
GBR,7680,A. Welch,,,59,-73,57,65,58,312,239,65
GBR,7412,M. Goult,,,57,64,62,-84,57,324,240,66
DEN,7878,G. Olson,,,66,61,-67,67,53,314,247,67
GBR,8213,A. Jones,,,62,63,-69,63,63,320,251,68
GBR,7600,Gordon Jewell,,,58,-79,65,68,66,336,257,69
GBR,7916,C. Evans,,,64,67,70,58,-88,347,259,70
GBR,7450,T. Scarisbrick,,,-84,76,55,60,71,346,262,71
GBR,8234,David Lines,,,65,74,59,64,-75,337,262,72
GBR,7947,D. DeSoltz,,,71,62,72,59,-73,337,264,73
GBR,7213,B. Willoughby,,,63,-80,51,75,77,346,266,74
GBR,8135,D. Parker,,,68,60,71,-73,69,341,268,75
GBR,7849,John Walpole,,,81,59,-84,66,65,355,271,76
GBR,7051,K. Gallagher,,,67,68,-84,69,72,360,276,77
GBR,7302,K. Corver,,,-85,75,64,71,68,363,278,78
GBR,8332,S. Leonard,,,69,-84,73,72,70,368,284,79
GBR,8123,Chris Romans,,,72,-81,78,77,64,372,291,80
GBR,7012,T. Selfe,,,-85,77,68,74,74,378,293,81
GBR,8115,M. Wedge,,,73,70,-77,76,76,372,295,82
GBR,8337,J. Iliffe,,,85,69,58,88,-88,388,300,83
GBR,8295,Peter Thompson,Simon Lake,,46,-88,84,87,87,392,304,84
GBR,7799,C. Needham,,,74,82,-84,78,78,396,312,85
GBR,8168,R. Lee,,,84,65,81,87,-87,404,317,86
GBR,7585,A. Williams,,,81,83,-85,84,79,412,327,87
