Country SailNo,HelmName,CrewName,Total,R1,R2,R3,R4,R5,R6,R7,Nett,Rank
USA 8084,Aaron Ross,Rob Waterman,291,45,50.0*,39,40,33,37,47,241,40
AUS 9036,Mike Quirk,Sam Heritage,335,6,12,26,33,86.0 DNF*,86.0 DNF,86.0 DNF,249,41
AUS 8644,Brett Beyer,Darren Gilbert,350,15,35,29,13,86.0 DNF*,86.0 DNF,86.0 DNS,264,42
AUS 8920,Jeff Robinson,Neville Kerr,350,48,24,46,54,47,45,86.0 DNS*,264,43
AUS 8523,Ayden Menzies,Lachlan Hornsby,350,27,41,34,41,86.0 DNF*,86.0 DNF,35,264,44
AUS 8638,Claus Ejlertsen,Mick Patrick,324,54.0*,49,44,48,50,30,49,270,45
GER 9043,Nicola Birkner,Angela Stenger,357,51,64,38,49,35,34,86.0 DNF*,271,46
AUS 8864,Ed Cox,Cameron McDonald,338,57,47,50,64.0*,21,47,52,274,47
AUS 8893,Ryan Menzies,Joel Castle,361,36,44,54,42,56,43,86.0 DNF*,275,48
GBR 8945,Roger Deane,Adam Kenney,369,35,57,52,65,45,29,86.0 DNF*,283,49
AUS 8968,Matt Hansen,Anthony Dean,369,50,51,48,47,48,86.0 DNF*,39,283,50
AUS 8738,Clint Bowen,Anthony King,349,53,55,45,62.0*,49,39,46,287,51
SWE 8926,Ebbe Rosén,Olle Wenrup,375,55,86.0 DNF*,15,35,12,86.0 DNF,86.0 DNS,289,52
GER 9026,Hasso Plattner,Peter Alarie,382,13,37,51,23,86.0 DNF*,86.0 DNF,86.0 DNF,296,53
AUS 8637,Sam Cronin,Kevin Whitbread,360,61,62.0*,56,57,30,46,48,298,54
CAN 8970,Bob Tennant,Rich Mundel,384,86.0 DNF*,42,86.0 DNF,60,36,36,38,298,55
FRA 9010,Xavier Broise,Gilles Carvallo,385,40,43,59,39,86.0 DNF*,86.0 DNF,32,299,56
AUS 8185,Nathan Rosenberg,Reeve Dunne,377,58,59,62.0*,52,42,48,56,315,57
FRA 9050,Herve Dekegariou,Bernadette Dekegariou,406,63,63,86.0 DNC*,73,52,33,36,320,58
FRA 8683,Antoine Lafortune,Geraud Lafortune,409,65,86.0 DNF*,67,56,32,53,50,323,59
GER 8777,Stefan Schollmeyer,Frisco Sanguino,413,52,54,57,51,27,86.0 DNF*,86.0 DNF,327,60
USA 8904,Hubert Guy,Xavier deTappe,418,46,56,53,45,46,86.0 DNF*,86.0 DNS,332,61
AUS 6819,Ian Taylor,Robin Bath,429,86.0 DNF*,86.0 DNF,60,59,53,40,45,343,62
AUS 9022,Ian Burford,Dave Christie,432,86.0 DNS*,86.0 DNF,86.0 DNS,55,44,31,44,346,63
AUS 8739,John McLean,Dennis Winstanley,431,59,71,65,78.0*,55,52,51,353,64
AUS 8639,Grahame Tindall,David Johnson,451,86.0 DNF*,69,64,70,58,50,54,365,65
AUS 8173,Tom Brewer,Lindsay Whitton,454,70,61,66,61,59,51,86.0 DNF*,368,66
AUS 8395,Tim Jeans,Tom Connell,462,73,67,86.0 DNS*,76,61,41,58,376,67
AUS 8221,Luke Rhodes,Andrew McCole,466,64,72,70,68,62,44,86.0 DNF*,380,68
AUS 8498,Jonathon Ross,Ian Scholes,471,69,86.0 DNF*,86.0 DNS,72,54,49,55,385,69
USA 8792,Carol Buchan,Carl Buchan,474,44,33,86.0 DNF*,53,86.0 DNF,86.0 DNF,86.0 DNF,388,70
AUS 8628,Peter Croft,Gary Rushton,478,72,58,86.0 DNF*,74,60,42,86.0 DNS,392,71
DEN 8958,Nikolaj Buhl,Henrik Buhl,486,86.0 DNF*,27,86.0 DNS,29,86.0 DNF,86.0 DNF,86.0 DNF,400,72
AUS 8710,Brett Bowden,Bradley Greenrod,489,86.0 DNF*,86.0 DNF,55,66,57,86.0 DNF,53,403,73
AUS 8784,Gilbert Ford,James Ford,495,66,60,69,71,86.0 DNF*,86.0 DNF,57,409,74
AUS 8891,Sarah Withall,Robert Gilchrist,507,67,65,61,79,63,86.0 DNF*,86.0 DNF,421,75
AUS 8809,Richie Gallimore,Bryce Penfold,523,47,46,86.0 DNC*,86.0 DNC,86.0 DNF,86.0 DNF,86.0 DNS,437,76
AUS 8759,Steve McConaghy,Nick Johnstone,531,49,52,86.0 DNC*,86.0 DNC,86.0 DNF,86.0 DNF,86.0 DNS,445,77
GER 9000,Enno Wilts,Klaus Heeschen,537,60,86.0 DNF*,58,75,86.0 DNF,86.0 DNF,86.0 DNS,451,78
AUS 8886,John Paterson,Paul Greenwood,538,86.0 DNF*,68,63,63,86.0 DNF,86.0 DNF,86.0 DNF,452,79
AUS 8524,Richard McCulloch,Glen Stewart,543,62,86.0 DNF*,68,69,86.0 DNF,86.0 DNF,86.0 DNS,457,80
USA 8554,AJ Crane,David Parker,545,68,66,86.0 DNS*,67,86.0 DNF,86.0 DNF,86.0 DNF,459,81
USA 8960,Bruce Van Deventer,Scott Weiler,565,74,70,86.0 DNS*,77,86.0 DNF,86.0 DNF,86.0 DNS,479,82
GBR 8867,Patrick McGale,Chris Pearson,587,71,86.0 DNF*,86.0 DNC,86.0 DNC,86.0 DNF,86.0 DNF,86.0 DNS,501,83
USA 7206,Christian Pittack,Annie Fitzpatrick,591,75,86.0 DNF*,86.0 DNC,86.0 DNC,86.0 DNF,86.0 DNF,86.0 DNS,505,84
AUS 8038,Adrian Kiely,Darren Cooney,602,86.0 DNS*,86.0 DNF,86.0 DNC,86.0 DNC,86.0 DNF,86.0 DNF,86.0 DNS,516,85
