Nation,Boat,Helmsman,Crew,,Race 1,Race 2,Race 6,Race 4,Race 5,Points,Place
GBR,7770,Chris Thorne,Mark Owen,,53,62,63,71,42,220,55
GBR,7543,Peter White,Nick Wapshott,,RET,64,68,59,32,223,56=
GBR,7780,P. J. Thompson,R. A. Gillespie,,RET,57,74,36,56,223,56=
GBR,7755,Jonathon Iliffe,David Iliffe,,RET,36,15,66,RET,228,58
GBR,7649,Tim Wells,Geofrey Dufton-Kel,,59,42,RET,82,48,231,59
GBR,7818,Lawrie Smith,Colin Merrett,,8,RET,DNS,6,RET,236,60
GBR,7690,David Wansbrough,Guy Wansbrough,,63,54,71,52,RET,240,61
GBR,7580,Michael Platts,Gareth Thomas,,9,9,DNS,DNS,DNS,244,62
GBR,7141,Richard John,Steve Cottrell,,66,48,81,85,52,247,63=
GBR,7742,Martin Spence,Stephen Carson,,74,59,50,64,RET,247,63=
GBR,7189,Rob Napier,Mathew McLaughlin,,RET,DNS,18,17,RET,257,65
GBR,7735,Chris Dando,Steve Peters,,51,45,DNS,53,RET,260,66
GBR,6558,Graham Neilson,Rob Gatehouse,,68,63,82,75,55,261,67
GBR,6957,Peter Nicholls,Jeffrey Austin,,67,58,79,78,59,262,68
GBR,7642,Colin Fry,Geoff Holden,,RET,20,DNS,21,RET,263,69
GBR,7547,Richard Newnham,Andrew Partridge,,65,56,75,74,RET,270,70
GBR,7802,Peter Fordham,Mark Longstaff,,RET,RET,67,43,54,275,71
GBR,7645,Mike Budd,Pete Spence,,56,RET,59,54,RET,280,72
GBR,7376,Nick Faulkner,Jim Tubby,,RET,53,91,83,58,285,73
GBR,7786,Jonathon Hughes,Tony Dowling,,38,DNS,70,68,RET,287,74
GBR,7783,Steve France,Charles Baynes,,RET,RET,29,38,RET,289,75
GBR,6881,Martin Oliver,Peter Greenwood,,52,RET,90,47,DNS,300,76
GBR,7565,John Derbyshire,Chris Fewtrell,,17,RET,DNS,63,RET,302,77
GBR,7644,G. Thompson,R. Burgess,,RET,RET,49,32,RET,303,78
GBR,7390,P. McLaughlin,K. Urquhart,,70,60,88,87,RET,305,79
GBR,7850,Stephen Tew,Brian Lomas,,DNS,RET,42,49,RET,313,80
GBR,7012,Paul Oakley,Pete Smith,,72,RET,RET,24,RET,318,81=
GBR,7432,Alex Elles,David Sturrock,,RET,55,83,69,RET,318,81=
GBR,7553,Mike Brooks,Tim Brooks,,61,RET,54,92,RET,318,81=
GBR,6794,Wendy Palmerone,Rob Palmerone,,RET,RET,76,77,57,321,84
GBR,6003,Tim Barlow,Richard Bower,,57,RET,DNS,44,RET,323,85
GBR,7848,Dave Parker,Murdon Patterson,,RET,DNS,51,DNS,50,325,86
GBR,6099,David Lines,Peter Dawson,,71,RET,85,RET,60,327,87
GBR,7715,Peter May,Brin Kine,,RET,DNS,77,81,61,330,88
GBR,7506,Michael Harrison,Michael Rabet,,RET,RET,RET,67,51,340,89
GBR,6360,Simon Dowling,Michael Geernaert,,75,65,93,RET,RET,344,90
GBR,7809,Mike Holmes,Adam Bowers,,18,RET,DNS,RET,RET,351,91
GBR,6595,D. Herbert,Chris Griffiths,,RET,RET,92,88,62,353,92=
GBR,7799,Peter Fisher,Mike Robertson,,RET,RET,61,70,RET,353,92=
GBR,7651,Martin Makinson,Gerry Bullard,,RET,RET,60,72,RET,354,94
GBR,7412,John Howlett,Ian Jewrey,,69,RET,89,86,RET,355,95
GBR,7429,Simon Rawlings,Michael Holt,,RET,RET,55,84,RET,361,96=
GBR,7496,John Handslip,Anthony Pearce,,76,RET,84,90,RET,361,96=
GBR,7849,Nigel Cady,Simon Lake,,DNS,DNS,40,DNS,RET,377,98
GBR,7768,David Allen,Peter Casalis,,RET,DNS,69,89,RET,380,99
GBR,7430,Simon Knighton,Neil Robinson,,48,RET,DNS,RET,DNS,383,100
GBR,6785,Martin Patchett,David Patchett,,RET,DNS,80,93,RET,395,101
GBR,6607,Guy Humphrey,Ian McKnight,,RET,DNS,66,RET,RET,399,102
GBR,5669,Simon Fyfe,Wayne Adams,,RET,RET,87,91,RET,400,103
GBR,4878,D. Hemingway,A. Bowler,,RET,DNS,86,94,RET,403,104
GBR,7494,Keith Budgen,Chris Salmon,,73,RET,RET,RET,RET,406,105
GBR,7425,Roger Sutcliffe,Roger Wilkes,,RET,DNS,RET,79,RET,412,106
GBR,5740,Robin Gordon,Colin Fenton,,RET,RET,94,DNS,RET,427,107
GBR,7307,Paul Aldridge,Michael Ball,,DNS,RET,RET,RET,RET,444,108
GBR,6868,Steve Uyge,William Greer,,DNS,RET,DNS,DNS,DNS,450,109=
GBR,7692,Stephen Northeast,,,DNS,DNS,DNS,DNS,RET,450,109=
