Nation,Boat NO,helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,8702,Ph Boite,,,42,19,111 DNF,111 DNC,283,60
USA,8645,Jim Englert,,,38,24,111 DNF,111 DNC,284,61
AUS,8604,I Burford,,,61,52,63,111 DNC,287,62
USA,8024,D Chatham,,,59,58,62,111 DNC,290,63
USA,8263,Al Meller,,,24,44,111 DNF,111 DNC,290,63
GER,8460,Ma Goult,,,45,37,111 DNC,111 DNC,304,65
CAN,8060,A Bookman,,,26,63,111 DNC,111 DNC,311,66
USA,8438,Jo Wyles,,,65,73,74,111 DNC,323,67
GER,8474,Ch Thorne,,,76,79,61,111 DNC,327,68
USA,7685,Graham Alexander,,,77,68,72,111 DNC,328,69
GER,8467,Ch Romans,,,82,74,70,111 DNC,337,70
USA,7796,Ma Ashby,,,81,81,75,111 DNC,348,71
GER,8672,Mi Holmes,,,111 DNC,111 DNC,17,111 DNC,350,72
GER,8704,Ia Barker,,,18,111 DNF,111 DNF,111 DNC,351,73
GER,8678,Ji Berry,,,64,71,111 DNC,111 DNC,357,74
GER,8510,Ma Wedge,,,70,66,111 DNC,111 DNC,358,75
USA,7776,R O'brien,,,63,80,111 DNC,111 DNC,365,76
USA,6987,Lauren Abramson,,,69,75,111 DNC,111 DNC,366,77
GER,8692,He Hirthe,,,80,77,111 DNC,111 DNC,379,78
GER,8634,J Thumann,,,111 DNC,111 DNC,48,111 DNC,381,79
GER,8237,Ri Rowe,,,87,111 DNF,73,111 DNC,382,80
USA,7458,Ga Scott,,,85,82,111 DNC,111 DNC,389,81
USA,7791,Ri Peck,,,84,84,111 DNC,111 DNC,390,82
FRA,8693,Gilles Carvallo,,,111 DNC,69,111 DNC,111 DNC,402,83
GER,8635,Si Lake,,,71,111 DNF,111 DNF,111 DNC,404,84
AUS,8667,Sc Olsen,,,73,111 DNF,111 DNC,111 DNC,406,85
USA,7613,J Keating,,,78,111 DNF,111 DNC,111 DNC,411,86
USA,7792,Ke King,,,79,111 DNC,111 DNC,111 DNC,412,87
GER,8532,T Clayton,,,83,111 DNF,111 DNC,111 DNC,416,88
USA,6931,Shea Thorvaldsen,,,111 DNF,83,111 DNC,111 DNC,416,88
GER,8640,V Ralston,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8311,Ch Yindra,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,6230,P Vongrey,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
GER,8657,Ma Gorge,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8641,Ba Kuehl,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
CAN,8233,François Bertrand,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
GER,8435,Pa Mcgale,,,111 DNC,111 DNF,111 DNC,111 DNC,444,90
CAN,8264,Je Boyd,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
GER,8677,I Pinnell,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
CAN,8360,Saint-Cyr,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
GER,8525,Vi Stopp,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8643,Ba Harris,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
CAN,8410,Cl Bush,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8190,Larry Rosenfield,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8689,Ni Grey,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,7876,Br Charif,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,7877,S Anderes,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
USA,8698,C Linehan,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
CAN,7959,Sc Salter,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
SWE,8012,He Amthor,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
AUS,8547,Williams,,,111 DNC,111 DNC,111 DNC,111 DNC,444,90
