Country,Sail Nb.,Name,,,Cavalaire,Riva,Kalovig,Nieuwpoort,Hayling Island,Cavalaire Points,Riva Points,Kalovig Points,Nieuwpoort Points,Hayling Island Points,,,,,,
SUI,8003,Mesli Christian,,,63,34,,,,18,17,0,0,0,,,2,,35,96
GER,8621,Filimonow Dirk,,,47,,,,,34,0,0,0,0,,,1,,34,97
SWE,8619,Ahrbom Mikael,,,,,18,,,0,0,33,0,0,,,1,,33,98
FRA,8352,Noclain Philippe,,,,,,19,,0,0,0,32,0,,,1,,32,99
GBR,8694,Williams,,,,,,,19,0,0,0,0,32,,,1,,32,100
SWE,8585,Eriksson Jan,,,,,19,,,0,0,32,0,0,,,1,,32,101
SUI,8196,Chapatte Florent,,,50,,,,,31,0,0,0,0,,,1,,31,102
DEN,7017,Jespersen,,,,,21,,,0,0,30,0,0,,,1,,30,103
SUI,8544,Christoph Renker,,,51,,,,,30,0,0,0,0,,,1,,30,104
GER,8562,Seifert Wolfgang,,,,22,,,,0,29,0,0,0,,,1,,29,105
GER,8691,Bockle Gunter,,,73,30,,,,8,21,0,0,0,,,2,,29,106
GBR,8009,Chalkley Dave,,,,,,,23,0,0,0,0,28,,,1,,28,107
GER,8470,Dasenbrock Norbert,,,,23,,,,0,28,0,0,0,,,1,,28,108
DEN,8566,Thiberge Olivier,,,53,,,,,28,0,0,0,0,,,1,,28,109
GBR,8464,Martin Lee,,,,,,,24,0,0,0,0,27,,,1,,27,110
FRA,8683,Tilly Gerard,,,,,,24,,0,0,0,27,0,,,1,,27,111
DEN,7934,Mollevang Christoffer,,,,,24,,,0,0,27,0,0,,,1,,27,112
GER,8607,Kowalzig Bernd,,,,24,,,,0,27,0,0,0,,,1,,27,113
FRA,8008,Dousselin Marc,,,54,,,,,27,0,0,0,0,,,1,,27,114
GBR,8380,Stainsby Martin,,,,,,,25,0,0,0,0,26,,,1,,26,115
DEN,8364,Lundsager Bent,,,,,25,,,0,0,26,0,0,,,1,,26,116
GER,8507,Eisman Armin,,,,,,,26,0,0,0,0,25,,,1,,25,117
GER,8651,Oetken Joachim,,,,,,26,,0,0,0,25,0,,,1,,25,118
SWE,,Thews Jan,,,,,26,,,0,0,25,0,0,,,1,,25,119
FRA,8372,Vinches Gilbert,,,56,,,,,25,0,0,0,0,,,1,,25,120
GBR,8467,Romans Chris,,,,,,,27,0,0,0,0,24,,,1,,24,121
SUI,8345,Haitz Dominik,,,,27,,,,0,24,0,0,0,,,1,,24,122
FRA,8687,Fischer Francois,,,57,,,,,24,0,0,0,0,,,1,,24,123
GBR,8408,Sherwood Roger,,,,,,,28,0,0,0,0,23,,,1,,23,124
FRA,8459,Terrasson Jerome,,,,,,28,,0,0,0,23,0,,,1,,23,125
GER,8510,Martin Wedge,,,,28,,,,0,23,0,0,0,,,1,,23,126
FRA,8541,Doerenbecher  Francis,,,58,,,,,23,0,0,0,0,,,1,,23,127
GER,8413,Eckel Martin,,,,29,,,,0,22,0,0,0,,,1,,22,128
GER,8259,Knop Uwe,,,59,,,,,22,0,0,0,0,,,1,,22,129
GBR,8635,Herre,,,,,,,30,0,0,0,0,21,,,1,,21,130
FRA,8321,Rimbert Michel,,,60,,,,,21,0,0,0,0,,,1,,21,131
GBR,8625,Newmann Mell,,,,,,,31,0,0,0,0,20,,,1,,20,132
GER,7930,Hessel Christoph,,,,31,,,,0,20,0,0,0,,,1,,20,133
GER,8376,Niedick Volker,,,61,,,,,20,0,0,0,0,,,1,,20,134
GBR,8678,Merry Tim,,,,,,32,,0,0,0,19,0,,,1,,19,135
GBR,8474,Thorne Chris,,,,,,,32,0,0,0,0,19,,,1,,19,136
