Boat,Helm,Crew,Club,1,2,3,4,5,final,n°
GBR 8591,David Bell,Peter Ward,,117,108,115,105,119,469,121
FRA 8184,Damien Zucconi,Lauren Camusson,,119,106,116,DSQ,108,473,122
FRA 8063,Dominic Gaultier,Frede Mistral,,94,104,124,146,129,475,123
FRA 8382,Patrice Hue,Gautier Destombes,,101,120,122,145,109,476,124
FRA 8521,Jean Philippe Chartier,Matthieu Guibbal,,116,137,96,132,120,488,125
FRA 8688,Robert Lehmann,Daniel Wagner,,120,117,145,128,102,491,126
GBR 8304,Chris Pearson,Fra Rainsborough,,123,126,129,133,93,495,127
GBR 8510,Andrew Thorp,Nick Thorp,,122,131,111,125,116,498,128
FRA 8509,Patrice Michel,Domi Keraudrenv,,132,99,137,107,DNF,499,129
GER 8674,Rainer Kremkow,Matthias Retzlaff,,124,105,126,123,125,501,130
FRA 7929,Jerome Demoment,Pierre Souben,,143,118,121,142,111,516,131
FRA 6126,Francois Cuny,Eric Cuny,,121,132,135,118,123,518,132
FRA 7192,Philippe Claraz,Pascal Jullian,,125,130,139,136,105,520,133
GBR 8435,Patrick McGale,Michael Nolan,,138,147,138,115,112,527,134
GBR 8095,Peter Burwood,Stephen Burwood,,147,101,117,140,DNC,529,135
GBR 7931,Chris Thorne,Régis Viateur,,135,119,125,129,133,530,136
FRA 8716,Christian Silvestre,Silvestre,,136,135,128,130,114,531,137
FRA 8302,Claude Got,Stephane Aggeri,,129,107,149,124,DNC,533,138
FRA 8301,Bernard Blondy,Jerome Bourgoin,,148,136,DNF,121,113,542,139
FRA 8359,Frederic Dalle,Laure Dalle,,127,142,140,131,126,548,140
FRA 8157,Bernard Dugrip,Pierre Bories,,130,133,134,141,132,553,141
BEL 7979,Frederic Dignef,Luc D Herde,,141,139,131,126,137,557,142
FRA 8062,Guillaume Brossillon,L Porcher,,144,146,130,139,122,559,143
FRA 8427,Jamonieres Nicolas Des,Lasnier,,139,129,136,150,131,559,144
FRA 6340,Bernard Peiffert,Didier Peiffert,,134,144,DNC,134,124,560,145
GBR 8490,Alex Jackson,Howard Breckell,,140,127,DNC,127,DNC,576,146
BEL 8106,Benoit Raucent,Phili Chevalier,,149,143,132,138,141,578,147
FRA 8002,Dominique Rouanne,Jean Blache,,146,141,141,143,130,579,148
FRA 8139,Stephane Cerbelle,Jean Gaspard,,142,148,133,147,134,580,149
FRA 8436,Samuel Carvallo,Clair Carvallo,,DNF,150,142,144,127,587,150
BEL 7015,Pierre Van de Poel,Vincent Zimmermann,,137,DNC,146,148,140,595,151
FRA 5923,Pierre Ducos,Her Lecharpentier,,153,140,151,DNC,128,596,152
BEL 8350,Bruno Vaniekaut,Philippe Wirtz,,150,DND,143,137,136,598,153
FRA 8366,Philippe Millet,Antoine Millet,,151,138,144,149,DNC,606,154
FRA 6448,Nicolas Cendron,Vincent Sorel,,155,145,150,DNF,135,609,155
FRA 7647,Philippe Chantraine,Will Froux,,152,151,147,151,138,611,156
FRA 6501,Jean-Marie Luthringer,Nougayre,,154,149,148,152,139,612,157
