Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,8717,Jacob-Antoine Lortat,P Chervet,,DNC,DNC,44,30,203,67
FRA,8062,Guillaume Brossillon,L Porcher,,66,56,DNC,64,204,68
FRA,8436,Samuel Carvallo,Clair Carvallo,,65,57,64,68,204,69
AUS,8644,David Porter,Peter Holden,,34,DNC,DNC ZPG,,205,70
FRA,8215,Hegarat Yann Le,Thier Leullier,,67,58,69,66,209,71
FRA,8688,Robert Lehmann,Daniel Wagner,,DNC,DNC,47,50,226,72
FIN,7784,Held Thomas,Gustafsson Robin,,DNC,DNC,45,57,231,73
FRA,8359,Frederic Dalle,Laure Dalle,,59,52,DSQ,DNC,240,74
GBR,8481,Simon Payne,Bill Mastermau,,DNC,DNC,9,DNC,249,75
FRA,8139,Stephane Cerbelle,Oliv Milcent,,DNC,DNC,68,60,257,76
FRA,5923,Pierre Ducos,Her Lecharpentier,,DNC,DNC,61,69,259,77
GBR,8705,Terry Scutcher,Simon Lake,,DNC,DNC,20,DNC,260,78
FRA,8188,Pierre Soulier,Phillipe Lenorment,,DNC,DNC,DNC,28,268,79
FRA,6448,Nicolas Cendron,Vincent Sorel,,DNC,DNC,70,70,269,80
FRA,8007,Yann Brotschi,Xavier Brotschi,,DNC,DNC,DNC,37,277,81
GBR,8694,Andy Williams,Steve Hunt,,38,DNC,DNC,DNC,278,82
GBR,8306,Chris Robinson,Tom Phillips,,DNC,DNC,DNC,46,286,83
RSA,8121,Albrecht Holm,Dietmar Holm,,DNC,DNC,48,DNC,288,84
FRA,8521,Jean Philippe Chartier,Guibbal,,DNC,DNC,DNC,49,289,85
SUI,7953,Adrian Zaugg,Yves Reinacher,,DNC,DNC,49,DNC,289,86
BEL,8536,Bart Meynendonckx,Chr Lehouckx,,DNC,DNC,DNC,51,291,87
FRA,7647,Philippe Chantraine,Will Froux,,DNC,DNC,DNC,71,311,88
GER,8580,Achterberg Frieder,Achterberg,,DNC,DNC,DNC,DNC,351,DNA
GBR,7931,Thorne Chris,Denis Burroughs,,DNC,DNC,DNC,DNC,351,DNA
FRA,6953,Verdiere Philippe,Br Boishardy,,DNC,DNC,DNC,DNC,351,DNA
GER,8642,Schollmayer Stephen,F Sanguino,,DNC,DNC,DNC,DNC,351,DNA
GBR,8458,Hayhurst Jack,Adrian Coates,,DNC,DNC,DNC,DNC,351,DNA
AUS,8696,Jackson Carter,Adam Malling,,DNC,DNC,DNC,DNC,351,DNA
GER,8621,Filimonow Dirk,Lars Stockmann,,DNC,DNC,DNC,DNC,351,DNA
FRA,8684,Gallo Pierre Jean,Fabri Toupet,,DNC,DNC,DNC,DNC,351,DNA
GBR,8555,Smithlohite David,Paul Young,,DNC,DNC,DNC,DNC,351,DNA
DEN,8656,Muller Jan,Jacob Bojsen-Moller,,DNC,DNC,DNC,DNC,351,DNA
GBR,8526,Tim Bird,Arthur George,,DNC,DNC,DNC,DNC,351,DNA
FRA,5363,Roucayrol Frederic,Rob Fossard,,DNC,DNC,DNC,DNC,351,DNA
FRA,8090,Bleuez Loic,Michel Bonnet,,DNC,DNC,DNC,DNC,351,DNA
FRA,6126,Cuny Francois,Eric Cuny,,DNC,DNC,DNC,DNC,351,DNA
GER,8670,Goerge Martin,Rainer Goerge,,DNC,DNC,DNC,DNC,351,DNA
FRA,8008,Dousselin Marc,Alain Beltzung,,DNC,DNC,DNC,DNC,351,DNA
GER,8634,Thumann Joig,Franco Weichel,,DNC,DNC,DNC,DNC,351,DNA
SUI,8016,Chapatte Florent,Ma Froidevaux,,DNC,DNC,DNC,DNC,351,DNA
GBR,8435,Mac Gale Patrick,Michael Nolan,,DNC,DNC,DNC,DNC,351,DNA
BEL,8106,Raucent Benoit,Phili Chevalier,,DNC,DNC,DNC,DNC,351,DNA
GBR,8304,Pearson Chris,Fra Rainsburough,,DNC,DNC,DNC,DNC,351,DNA
GBR,8510,Thorp Andrew,Nick Thorp,,DNC,DNC,DNC_,DNC,351,DNA
