Nat Helm Name,Crew Name,Division,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,Boat,Nett,Rank
GBR 8970,Penny Clark,Russ Clark,Mixed,18.0,12.0,(23.0),3.0,22.0,22.0,23.0,10.0,22.0,(35.0),190.0,RNSA,132.0,20
GER 9070,Stefan Koechlin,Andreas Achterberg,,33.0,8.0,2.0,33.0,(42.0),(45.0),10.0,24.0,25.0,6.0,228.0,TBA,141.0,21
RSA 9063,James Largier,Richard Hutton-Squire,,(90.0 DNC),24.0,22.0,(35.0),26.0,10.0,16.0,11.0,2.0,30.0,266.0,Iris,141.0,22
AUS 9115,Dean Souter,Bradley Clarke,,30.0,26.0,(90.0 DNF),7.0,18.0,14.0,(33.0),20.0,26.0,16.0,280.0,Sailingbits.com,157.0,23
GER 9035,Timon Treichel,Morten Roos,Youth,(47.0),25.0,13.0,9.0,24.0,16.0,(37.0),23.0,34.0,22.0,250.0,TM-Racing,166.0,24
AUS 8794,Michael Babbage,James McAllister,,(49.0),31.0,16.0,17.0,12.0,15.0,19.0,(40.0),32.0,28.0,259.0,Alvin Rides Again,170.0,25
RSA 8725,Alexander Ham,Jonathan Ham,Youth,24.0,10.0,28.0,34.0,(37.0),(90.0 DNC),18.0,17.0,24.0,17.0,299.0,Little Blue Ringed Octopus,172.0,26
USA 9102,Douglas Hagan,Paul Von Grey,,21.0,(30.0),12.0,(28.0),25.0,25.0,27.0,28.0,11.0,26.0,233.0,Panic,175.0,27
GER 9169,Tim Boger,Finn Boger,,11.0,16.0,(42.0),26.0,(46.0),28.0,22.0,35.0,17.0,25.0,268.0,gehalt.de,180.0,28
AUS 9167,Nigel Lott,Bob Franks,,(32.0),22.0,27.0,29.0,29.0,24.0,25.0,21.0,18.0,(36.0),263.0,Soaked,195.0,29
GBR 9124,Terry Scutcher,Christian Diebitsch,Master Crew,42.0,14.0,33.0,20.0,(90.0 DNC),(90.0 DNC),26.0,33.0,16.0,12.0,376.0,TBA,196.0,30
GER 9182,Alexander Holzapfel,Aron Tellen,,12.0,19.0,18.0,(37.0),23.0,29.0,35.0,(47.0),31.0,33.0,284.0,Le vent/vin nous portera,200.0,31
RSA 9094,Peter Funke,Thomas Funke,,(36.0),34.0,(90.0 DNF),31.0,28.0,17.0,28.0,18.0,27.0,23.0,332.0,LELO,206.0,32
USA 9082,Jeff Miller,Pat Diola,,20.0,36.0,19.0,(42.0),15.0,36.0,36.0,(42.0),33.0,19.0,298.0,Miracle,214.0,33
GER 9133,Lena Stueckl,Wolfgang Stueckl,Mixed,31.0,29.0,(54.0),32.0,(45.0),32.0,29.0,32.0,20.0,27.0,331.0,Rammel IV,232.0,34
AUS 9192,Mark Stowell,Conall Hansford,,13.0,20.0,(43.0),41.0,35.0,34.0,40.0,30.0,38.0,(43.0),337.0,Prawnbroker,251.0,35
AUS 8817,Michael Duffield,Anthony Gaunt,,51.0,41.0,(90.0 RET),22.0,34.0,11.0,(68.0),29.0,35.0,29.0,410.0,Tensing Norgay,252.0,36
SWE 8974,Malin Broberg,Johan Rook,Mixed,35.0,32.0,32.0,(68.0),(44.0),26.0,31.0,37.0,42.0,39.0,386.0,Magic Marine,274.0,37
AUS 8893,Ryan Menzies,Lachlan Hornsby,,23.0,38.0,34.0,40.0,36.0,41.0,44.0,46.0,(51.0),(47.0),400.0,Yeah Buddy,302.0,38
AUS 8644,Ayden Menzies,Grant Rose,,38.0,(49.0),31.0,(58.0),40.0,40.0,45.0,41.0,19.0,49.0,410.0,KRAKEN,303.0,39
AUS 8920,Jeffrey Robinson,Adam Wyatt,,53.0,(67.0),25.0,23.0,39.0,21.0,(71.0),50.0,53.0,40.0,442.0,ASAP,304.0,40
AUS 8855,Nicholas Mariani,Alex Thomson,,14.0,40.0,(47.0),46.0,47.0,47.0,39.0,39.0,44.0,(55.0),418.0,Epileptic Octopus,316.0,41
POL 9118,Jakub Pawluk,Marcin Józefowski,,34.0,37.0,50.0,39.0,(54.0),(90.0 RET),34.0,38.0,43.0,42.0,461.0,Legia Warszawa / Spojnia Warszawa,317.0,42
AUS 8811,Matthew Hansen,Chris Whyte,,40.0,43.0,40.0,48.0,(61.0),38.0,32.0,(53.0),39.0,41.0,435.0,Crimson Autograph,321.0,43
GER 9197,Nicola Birkner,Angela Stenger,Female,19.0,(90.0 DSQ),53.0,51.0,(58.0),43.0,41.0,43.0,29.0,52.0,479.0,Bikini Atoll 2,331.0,44
AUS 9047,Noah Taylor,David Mole,Youth,55.0,(73.0),41.0,43.0,(60.0),35.0,48.0,34.0,46.0,31.0,466.0,Doob,333.0,45
RSA 8789,Ryan Robinson,Warwick Ham,,28.0,(69.0),65.0,49.0,(73.0),65.0 TLE,21.0,45.0,36.0,45.0,496.0,7 of 9,354.0,46
GBR 9158,Tom Stivano,Paddy Lewis,,45.0,48.0,(90.0 DNF),50.0,52.0,42.0,42.0,(55.0),49.0,37.0,510.0,No name,365.0,47
AUS 9049,Murray Smith,David Gibson,,41.0,44.0,(62.0),52.0,31.0,(90.0 DNF),50.0,44.0,58.0,46.0,518.0,Manta,366.0,48
GBR 9125,Roger Deane,Jonathan Ward,Master Crew,57.0,54.0,30.0,45.0,(90.0 DNF),37.0,61.0,(76.0),56.0,34.0,540.0,Rock Beat,374.0,49
GBR 9105,James McGillivray,John Mclean,,56.0,(70.0),36.0,60.0,56.0,44.0,(64.0),31.0,40.0,53.0,510.0,Duck Duck Duck!,376.0,50
AUS 8781,Chris Gregg,Ian Gregg,Master Crew,63.0,42.0,60.0,27.0,(67.0),(90.0 DNC),46.0,58.0,41.0,44.0,538.0,Team Primate,381.0,51
AUS 8890,Martin Pike,Brian Jones,,(71.0),52.0,37.0,59.0,30.0,46.0,(62.0),36.0,62.0,60.0,515.0,Groove Train,382.0,52
AUS 8796,Adam Brenz-Verca,Matt Merchant,,(68.0),66.0,39.0,24.0,48.0,52.0,60.0,(71.0),37.0,58.0,523.0,TBA,384.0,53
GBR 9126,Stuart Turnbull,Mike Priddle,Master Helm; Master Crew,43.0,39.0,56.0,(66.0),49.0,39.0 RDG,51.0,52.0,(59.0),57.0,511.0,Serendipity,386.0,54
SWE 8547,Galen Mack,Wilhelm Johannisson,Classic,48.0,27.0,(90.0 RET),(64.0),55.0,51.0,49.0,49.0,52.0,56.0,541.0,Angry Dragon,387.0,55
USA 8937,Tim Murphy,Andrew Sutton,,(75.0),(68.0),68.0,36.0,56.0 SCP,27.0,56.0,60.0,55.0,38.0,539.0,None,396.0,56
AUS 8785,James Ryssenbeek,Andrew McCole,,52.0,(63.0),51.0,44.0,43.0,48.0,52.0,51.0,(67.0),59.0,530.0,Card Sharks,400.0,57
AUS 9022,Ian Burford,David Christie,,50.0,55.0,(90.0 RET),56.0,(70.0),31.0,65.0,56.0,50.0,51.0,574.0,Hit the Jackpot,414.0,58
AUS 8968,Andrew Cawley,Patrick Atwell,,46.0,45.0,58.0,(82.0),57.0,56.0,47.0,(68.0),65.0,50.0,574.0,Devils Haircut,424.0,59
AUS 8638,Maggie Bowden,Matt Bowden,Mixed,39.0,50.0,(90.0 DNC),72.0,(76.0 TLE),58.0,59.0,63.0,45.0,48.0,600.0,Farcical Aquatic Ceremony,434.0,60
USA 9083,Aaron Ross,Rob Waterman,Master Crew,59.0,51.0,(90.0 DNF),53.0,38.0,(90.0 DSQ),54.0,64.0,61.0,62.0,622.0,Cosmic Thing,442.0,61
AUS 8886,Ben Schulz,Dave Clayton,,78.0,(81.0),35.0,55.0,32.0,(90.0 DNC),69.0,54.0,57.0,63.0,614.0,Thunderstruck,443.0,62
AUS 8173,Brian Pike,Riley Pike,Classic,(70.0),61.0,49.0,57.0,64.0,49.0,(67.0),48.0,63.0,61.0,589.0,Bad Habits,452.0,63
AUS 9074,Earle Alexander,Rasmus Görge,Master Helm,65.0,47.0,45.0,69.0,(90.0 DNF),(90.0 DNC),72.0,57.0,48.0,90.0 DNC,673.0,Earle Grey 2,493.0,64
FRA 9150,Herve de Kergariou,Guillaume de Kergariou,,44.0,60.0,72.0 TLE,65.0,72.0,53.0,(82.0),61.0,(80.0),71.0,660.0,KE ATAO IV,498.0,65
AUS 8557,Neil Long,Dave Atwell,Classic,64.0,58.0,46.0,70.0,(90.0 DNF),(90.0 DNC),43.0,90.0 RET,64.0,69.0,684.0,The Weekend,504.0,66
AUS 8894,Tim Walker,Matt Summers,,62.0,56.0,66.0,47.0,59.0,(90.0 DNC),66.0,59.0,(90.0 DNC),90.0 DNC,685.0,Black Boat,505.0,67
AUS 9018,Brett Bowden,TBA,Master Helm,66.0,62.0,67.0,(75.0),68.0,57.0,57.0,62.0,66.0,(70.0),650.0,Eighteen,505.0,68
RSA 8406,Bronwen Klaas,Kobus Holtzhausen,Classic,77.0,65.0,55.0,71.0,51.0,(90.0 DNF),(83.0),75.0,60.0,54.0,681.0,Dirty Old Scoundrel,508.0,69
AUS 9205,Sam (GA) Cronin,Kevin Whitbread,,(79.0),53.0,48.0,62.0,69.0,61.0,70.0,(82.0),68.0,78.0,670.0,Jo,509.0,70
AUS 8739,Steve Howden,Tom Stuchbery,,60.0,46.0,38.0,79.0,50.0,(90.0 DNF),(90.0 DNF),90.0 DNC,81.0,67.0,691.0,Dance Don't Walk,511.0,71
AUS 8973,Riley Skipworth,Edmond Repsevicius,Master Crew,(83.0),59.0,52.0,(84.0),63.0,59.0,55.0,80.0,78.0,65.0,678.0,Numeraire,511.0,72
GBR 9196,David Smithwhite,Neil Fulcher,,58.0,64.0,57.0,63.0,41.0,(90.0 DNC),58.0,(90.0 DNF),90.0 DNC,90.0 DNC,701.0,Old Timers,521.0,73
AUS 8891,Sarah Cooper,David Ottaway,Mixed,72.0,(85.0),63.0,73.0,66.0,50.0,(86.0),73.0,73.0,66.0,707.0,The Surly Mermaid,536.0,74
AUS 9071,Richard Hyde,Lindsey Gilbert,Master Helm,73.0,77.0,69.0,61.0,53.0,65.0 TLE,77.0,65.0,(90.0 DNC),(79.0),709.0,Red Baron,540.0,75
AUT 8783,Adam Smith,Julian Jobstl,,54.0,(90.0 DSQ),(90.0 DNC),77.0,76.0 TLE,54.0,63.0,72.0,69.0,77.0,722.0,LucyFurr,542.0,76
POL 9132,Przemek Zagórski,Michal Olko,,81.0,57.0,(90.0 DNC),54.0,(90.0 DNC),90.0 DNF,53.0,67.0,54.0,90.0 DNF,726.0,White Wood Sailing Team,546.0,77
AUS 8667,Grant Abbott,Matthew Till,,(80.0),71.0,59.0,78.0,(90.0 DNC),55.0,74.0,70.0,72.0,72.0,721.0,Swing Shift,551.0,78
AUS 9017,Roger Pell,Byron Mavrick,,67.0,74.0,64.0,76.0,76.0 TLE,60.0,(80.0),74.0,(77.0),68.0,716.0,String Theory,559.0,79
GER 9037,Anna Hauschild,Julia Achterberg,Female,61.0,72.0,70.0,67.0,62.0,(90.0 DNC),78.0,77.0,(82.0),74.0,733.0,TBA,561.0,80
AUS 9048,Robert Fleming,Marcel Vos,,69.0,76.0,(90.0 RET),81.0,65.0,65.0 TLE,75.0,66.0,70.0,(90.0 DNC),747.0,Shore Thing,567.0,81
AUS 8840,Michael Gallagher,Matt Brooman,,76.0,82.0,44.0,(90.0 DNF),(90.0 DSQ),90.0 DNC,76.0,69.0,79.0,64.0,760.0,Manalive,580.0,82
AUS 8626,Scott Lidgett,Tony Wood,,(88.0),86.0,61.0,74.0,71.0,(90.0 DNF),73.0,78.0,76.0,73.0,770.0,ZigZag,592.0,83
AUS 8797,Xavier Agnew,Michael Cook,,74.0,75.0,(90.0 DNF),86.0,76.0 TLE,65.0 TLE,79.0,(90.0 DNC),75.0,75.0,785.0,Bolt,605.0,84
GER 9123,Enno Wilts,Martin Lietz,,82.0,79.0,(90.0 DNC),87.0,(90.0 DNC),90.0 DNC,84.0,81.0,71.0,76.0,830.0,Sophist,650.0,85
GER 8988,Katharina Menge,Georg Mittermayer,Master Crew; Mixed,84.0,78.0,(90.0 RET),80.0,76.0 TLE,65.0 TLE,88.0,(90.0 RET),90.0 DNC,90.0 DNC,831.0,Larissa,651.0,86
AUS 984,Murray Makin,Danielle Makin,Classic; Mixed,86.0,84.0,72.0 TLE,83.0,76.0 TLE,(90.0 DNF),87.0,(90.0 DNF),84.0,81.0,833.0,Alice,653.0,87
AUS 8810,Max Hayman,Christopher Pearson,,85.0,80.0,(90.0 DNC),(90.0 DNS),90.0 DNC,90.0 DNF,85.0,79.0,74.0,80.0,843.0,Go,663.0,88
GBR 8867,Patrick McGale,Paul Pihl,,87.0,83.0,(90.0 DNC),85.0,(90.0 DNC),90.0 DNC,81.0,83.0,83.0,90.0 DNC,862.0,0,682.0,89
