Nat SailNo,Helm Name,Crew Name,Division,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Bow Number,Boat,,Nett,Rank
AUS 9074,Earle Alexander,Rasmus Görge,Master Helm,52,54,31,-57,34,228,60,Earle Grey 2,,171,43
GER 9197,Nicola Birkner,Angela Stenger,Female,47,46,34,44,90.0 DNC*,261,63,Bikini Atoll 2,,171,44
AUS 8968,Andrew Cawley,Patrick Atwell,,44,50,32,-55,48,229,10,Devils Haircut,,174,45
AUS 8781,Chris Gregg,Ian Gregg,Master Crew,36,57,90.0 DNC*,47,41,271,23,Team Primate,,181,46
AUS 9022,Ian Burford,David Christie,,53,49,35,-64,51,252,39,Hit the Jackpot,,188,47
GBR 9126,Stuart Turnbull,Mike Priddle,Master Helm; Master Crew,54,43,90.0 DNF*,45,46,278,46,Serendipity,,188,48
AUS 8173,Brian Pike,Riley Pike,Classic,-58,53,37,58,42,248,93,Bad Habits,,190,49
FRA 9150,Herve de Kergariou,Guillaume de Kergariou,,45,52,41,-61,52,251,50,KE ATAO IV,,190,50
AUS 8811,Matthew Hansen,Chris Whyte,,90.0 DNC*,42,24,90.0 DNC,38,284,8,Crimson Autograph,,194,51
AUS 8894,Tim Walker,Matt Summers,,77,51,29,37,90.0 DNC*,284,30,Black Boat,,194,52
AUS 8785,James Ryssenbeek,Andrew McCole,,61,66,33,-70,39,269,26,Card Sharks,,199,53
AUS 9071,Richard Hyde,Lindsey Gilbert,Master Helm,51,-61,42,59,47,260,24,Red Baron,,199,54
AUS 8817,Michael Duffield,Anthony Gaunt,,41.5,90.0 DNF*,90.0 DNC,32,36,289.5,15,Tensing Norgay,,199.5,55
GER 9133,Lena Stueckl,Wolfgang Stueckl,Mixed,46,32,90.0 DNC*,90.0 DNF,32,290,28,Rammel IV,,200,56
AUS 8638,Maggie Bowden,Matt Bowden,Mixed,63,56,45,42,90.0 DNC*,296,84,Farcical Aquatic Ceremony,,206,57
AUT 8783,Adam Smith,Julian Jobstl,,57,-64,43,54,62,280,85,LucyFurr,,216,58
AUS 9205,Sam (GA) Cronin,Kevin Whitbread,,60,60,47,-66,54,287,4,Jo,,221,59
AUS 8797,Xavier Agnew,Michael Cook,,66,-71,50,60,50,297,45,Bolt,,226,60
AUS 8796,Adam Brenz-Verca,Matt Merchant,,64,44,90.0 DNC*,35,90.0 DNC,323,64,TBA,,233,61
DEN 9209,Jan Saugmann,[AUS] Marcus Cooper,,32,22,90.0 DNC*,90.0 DNC,90.0 DNC,324,1,TBA,,234,62
GER 8988,Katharina Menge,Georg Mittermayer,Master Crew; Mixed,67,-69,46,63,64,309,35,Larissa,,240,63
AUS 9018,Brett Bowden,TBA,Master Helm,71,63,49,62,90.0 DNC*,335,21,Eighteen,,245,64
AUS 9017,Roger Pell,Byron Maverick,,50,70,90.0 DNF*,68,61,339,13,String Theory,,249,65
AUS 8891,Sarah Cooper,David Ottaway,Mixed,65,62,90.0 DNC*,69,58,344,67,The Surly Mermaid,,254,66
USA 8937,Tim Murphy,Andrew Sutton,,90.0 DNC*,90.0 DNC,90.0 DNC,48,31,349,29,None,,259,67
GER 9037,Anna Hauschild,Julia Achterberg,Female,72,68,48,73,90.0 DNC*,351,12,TBA,,261,68
AUS 8840,Michael Gallagher,Matt Brooman,,62,65,90.0 DNC*,90.0 DNC,49,356,68,Manalive,,266,69
GER 9123,Enno Wilts,Martin Lietz,,68,55,90.0 RET*,90.0 DNC,59,362,52,Sophist,,272,70
RSA 8406,Bronwen Klaas,Kobus Holtzhausen,Classic,69,58,90.0 DNC*,56,90.0 DNC,363,90,Dirty Old Scoundrel,,273,71
AUS 8667,Grant Abbott,Matthew Till,,73,67,44,90.0 DNF*,90.0 DNC,364,76,Swing Shift,,274,72
AUS 9048,Robert Fleming,Marcel Vos,,70,59,90.0 DNC*,90.0 DNC,60,369,40,Shore Thing,,279,73
AUS 8739,Steve Howden,Tom Stuchbery,,56,90.0 DNF*,90.0 DNC,46,90.0 DNC,372,74,Dance Don't Walk,,282,74
AUS 984,Murray Makin,Danielle Makin,Classic; Mixed,76,72,90.0 DNC*,71,65,374,92,Alice,,284,75
AUS 8973,Riley Skipworth,Edmond Repsevicius,Master Crew,90.0 DNC*,90.0 DNC,90.0 DNC,67,40,377,51,Numeraire,,287,76
SWE 8547,Galen Mack,Wilhelm Johannisson,Classic,59,73,66.0 RDGb,90.0 DNC*,90.0 DNC,378,91,Angry Dragon,,288,77
AUS 8557,Neil Long,Dave Atwell,Classic,90.0 RET*,90.0 DNC,90.0 DNC,65,56,391,94,No Name,,301,78
USA 9083,Aaron Ross,Rob Waterman,Master Crew,90.0 DNC*,90.0 DNF,90.0 DNC,33,90.0 DNC,393,55,Cosmic Thing,,303,79
POL 9118,Jakub Pawluk,Marcin Józefowski,,90.0 DNC*,90.0 DNC,90.0 DNC,34,90.0 DNF,394,57,Legia Warszawa / Spojnia Warszawa,,304,80
AUS 9047,Noah Taylor,David Muel,,49,90.0 DNC*,90.0 DNC,90.0 DNC,90.0 DNC,409,87,Doob,,319,81
AUS 8886,Ben Schulz,Dave Clayton,,90.0 RET*,90.0 DNC,90.0 DNC,50,90.0 RET,410,70,Thunderstruck,,320,82
AUS 9049,Murray Smith,TBA,,55,90.0 DNF*,90.0 DNC,90.0 DNC,90.0 DNC,415,62,No Name,,325,83
AUS 8626,Scott Lidgett,Tony Wood,,75,90.0 DNC*,90.0 DNC,72,90.0 DNC,417,31,ZigZag,,327,84
POL 9132,Przemek Zagórski,Michał Olko,,74,90.0 DNC*,90.0 DNC,90.0 DNC,90.0 DNC,434,7,White Wood Sailing Team,,344,85
GBR 8867,Patrick McGale,Paul Pihl,,90.0 DNC*,90.0 DNC,90.0 DNC,90.0 DNC,90.0 DNC,450,47,0,,360,86
AUS 8810,Max Hayman,Christopher Pearson,,90.0 DNC*,90.0 DNC,90.0 DNC,90.0 DNC,90.0 DNC,450,77,Go,,360,86
USA 9082,Jeff Miller,Pat Diola,,90.0 RET*,90.0 DNC,90.0 DNC,90.0 DNC,90.0 DNC,450,82,Miracle,,360,86
GBR 9196,David Smithwhite,Neil Fulcher,,90.0 DNC*,90.0 DNC,90.0 DNC,90.0 DNC,90.0 DNC,450,56,Old Timers,,360,86
