,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,,,Platz
FRA,9068,Francois De Lisle,Herve Brillaud,CVP,40,28,34,20,38,41,36,DNC,DNC,DNC,DNC,,41
GER,9000,Enno Wilts,Doreen Jäschke,SVBB,45,43,DNC,43,41,42,37,39,DNC,41,37,,42
GER,8807,Maximilian Weiß,Bastian Henning,DTYC,24,32,DNC,24,DNC,28,DNC,DNC,DNC,DNC,DNC,,43
GER,8669,Nils Dageförde,Jens Lücke,TSVS,DNC,DNC,DNC,22,20,43,25,DNC,DNC,DNC,DNC,,44
GER,8392,Konrad Barop,Dirk Barteldt,RSV,46,DNC,DNC,42,DNC,DNC,39,40,DNC,40,36,,45
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSAV,41,DNC,DNC,DNC,DNC,DNC,28,34,DNC,DNC,DNC,,46
GER,6817,Ralf Schneidewind,Oliver Schürmann,KSC,DNC,DNC,DNC,44,DNC,DNC,DNC,DNC,DNC,39,38,,47
GER,8777,Jens Olbrysch,Francisco Sanguino,HSC,43,35,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,48
GER,9026,Hasso Plattner,Peter Alarie,KYC,32,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,49
GER,9029,Jürgen Waldheim,Klaus Heeschen,PYC,38,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,50
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,47,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,51
