Natonality,Sail#,Name,,,Riva,Koge,Kieler Woche,Nieuwpoort,Hayling Isl.,,done,,Riva Pts.,Koge Pts.,Kieler Woche Pts.,Nieuwpoort Pts.,Hayling Isl. Pts.,,Pts.,Place
GER,8633,Jens Hartwig,,,20,DNS,DNS,DNS,DNS,,1,,31,0,0,0,0,,31,84
GBR,8650,Ian Montague,,,DNS,DNS,DNS,DNS,20,,1,,0,0,0,0,31,,31,85
DEN,8364,Bent Lundsager,,,DNS,20,DNS,DNS,DNS,,1,,0,31,0,0,0,,31,86
SUI,8426,Marcell Plüss,,,22,DNS,DNS,DNS,DNS,,1,,29,0,0,0,0,,29,87
GBR,8489,John Webster,,,DNS,DNS,DNS,DNS,23,,1,,0,0,0,0,28,,28,88
GBR,8508,Sam Neal,,,DNS,DNS,DNS,DNS,24,,1,,0,0,0,0,27,,27,89
SUI,8486,Simone Zünd,,,25,DNS,DNS,DNS,DNS,,1,,26,0,0,0,0,,26,90
GBR,8726,Martin Stainsby,,,DNS,DNS,DNS,DNS,25,,1,,0,0,0,0,26,,26,91
GER,8513,Hauke Rathjens,,,DNS,DNS,25,DNS,DNS,,1,,0,0,26,0,0,,26,92
GER,8517,Felix Ismar,,,DNS,DNS,26,DNS,DNS,,1,,0,0,25,0,0,,25,93
GBR,8494,Peter Andreae,,,DNS,DNS,DNS,DNS,27,,1,,0,0,0,0,24,,24,94
GBR,8306,Chris Robinson,,,DNS,DNS,DNS,DNS,28,,1,,0,0,0,0,23,,23,95
GBR,8705,Mark Longstaff,,,28,DNS,DNS,DNS,DNS,,1,,23,0,0,0,0,,23,96
GER,8621,Dirk Filimonow,,,DNS,DNS,29,DNS,DNS,,1,,0,0,22,0,0,,22,97
GBR,8483,Simon Sydenham,,,DNS,DNS,DNS,DNS,29,,1,,0,0,0,0,22,,22,98
GBR,8408,Roger Sherwood,,,DNS,DNS,DNS,DNS,30,,1,,0,0,0,0,21,,21,99
GER,8256,Lukas Tanner,,,DNS,DNS,30,DNS,DNS,,1,,0,0,21,0,0,,21,100
GER,7035,Michael Köritz,,,DNS,DNS,31,DNS,DNS,,1,,0,0,20,0,0,,20,101
GBR,8291,Richard Sims,,,DNS,DNS,DNS,DNS,31,,1,,0,0,0,0,20,,20,102
GER,8430,Klaus Heeschen,,,DNS,DNS,32,DNS,DNS,,1,,0,0,19,0,0,,19,103
FRA,8353,Robert Fossard,,,32,DNS,DNS,DNS,DNS,,1,,19,0,0,0,0,,19,104
GBR,8307,Paul Foddy,,,DNS,DNS,DNS,DNS,32,,1,,0,0,0,0,19,,19,105
GER,8507,Armin Eismann,,,DNS,DNS,33,DNS,DNS,,1,,0,0,18,0,0,,18,106
GBR,8305,Andrew Short,,,DNS,DNS,DNS,DNS,33,,1,,0,0,0,0,18,,18,107
GBR,8705,Richard Lord,,,DNS,DNS,DNS,DNS,34,,1,,0,0,0,0,17,,17,108
GER,8222,Christian Koch,,,DNS,DNS,34,DNS,DNS,,1,,0,0,17,0,0,,17,109
GBR,8678,Jim Berry,,,DNS,DNS,DNS,DNS,35,,1,,0,0,0,0,16,,16,110
GER,8657,Georg Neulen,,,DNS,DNS,35,DNS,DNS,,1,,0,0,16,0,0,,16,111
GER,8413,Martin Eckel,,,35,DNS,DNS,DNS,DNS,,1,,16,0,0,0,0,,16,112
GER,7747,Till Supan,,,DNS,DNS,36,DNS,DNS,,1,,0,0,15,0,0,,15,113
SUI,8096,Alain Brasey,,,36,DNS,DNS,DNS,DNS,,1,,15,0,0,0,0,,15,114
GER,8472,Kai Löblein,,,37,DNS,DNS,DNS,DNS,,1,,14,0,0,0,0,,14,115
GBR,7894,J. Walker,,,DNS,DNS,DNS,DNS,37,,1,,0,0,0,0,14,,14,116
GBR,8672,Miles Odell,,,DNS,DNS,DNS,DNS,38,,1,,0,0,0,0,13,,13,117
GER,8404,Hans-Christian Schwieger,,,DNS,DNS,38,DNS,DNS,,1,,0,0,13,0,0,,13,118
DEN,8581,Jon Andersen,,,39,DNS,DNS,DNS,DNS,,1,,12,0,0,0,0,,12,119
GBR,8625,Melvyn Newman,,,DNS,DNS,DNS,DNS,39,,1,,0,0,0,0,12,,12,120
GER,8634,Jörgen Thumann,,,DNS,DNS,39,DNS,DNS,,1,,0,0,12,0,0,,12,121
GBR,8423,Martin Wright,,,DNS,DNS,DNS,DNS,40,,1,,0,0,0,0,11,,11,122
GER,8388,Andreas Klein,,,DNS,DNS,40,DNS,DNS,,1,,0,0,11,0,0,,11,123
GER,8601,Jürgen Feuerhake,,,DNS,DNS,41,DNS,DNS,,1,,0,0,10,0,0,,10,124
GBR,8304,Chris Pearson,,,DNS,DNS,DNS,DNS,41,,1,,0,0,0,0,10,,10,125
FRA,8090,Loïc Bleuez,,,41,DNS,DNS,DNS,DNS,,1,,10,0,0,0,0,,10,126
GBR,8690,Ian Gould,,,DNS,DNS,DNS,DNS,42,,1,,0,0,0,0,9,,9,127
GER,8098,Albrecht Maisch,,,DNS,DNS,42,DNS,DNS,,1,,0,0,9,0,0,,9,128
GBR,8474,Chris Thorne,,,DNS,DNS,DNS,DNS,43,,1,,0,0,0,0,8,,8,129
GER,8065,Konrad Barop,,,DNS,DNS,43,DNS,DNS,,1,,0,0,8,0,0,,8,130
GER,8691,Günter Bökle,,,43,DNS,DNS,DNS,DNS,,1,,8,0,0,0,0,,8,131
GER,8047,Grietje Therkorn,,,DNS,DNS,44,DNS,DNS,,1,,0,0,7,0,0,,7,132
GBR,848*,Tom Wain,,,DNS,DNS,DNS,DNS,44,,1,,0,0,0,0,7,,7,133
SUI,8586,Markus Gericke,,,44,DNS,DNS,DNS,DNS,,1,,7,0,0,0,0,,7,134
GBR,8217,Adrian Lane,,,DNS,DNS,DNS,DNS,45,,1,,0,0,0,0,6,,6,135
SUI,7953,Adrian Zaugg,,,45,DNS,DNS,DNS,DNS,,1,,6,0,0,0,0,,6,136
GER,8473,Oliver Kraft,,,46,DNS,DNS,DNS,DNS,,1,,5,0,0,0,0,,5,137
GBR,8234,David Lines,,,DNS,DNS,DNS,DNS,46,,1,,0,0,0,0,5,,5,138
GBR,8679,Neil Connelly,,,DNS,DNS,DNS,DNS,47,,1,,0,0,0,0,4,,4,139
SUI,8485,Raphael Vogel,,,47,DNS,DNS,DNS,DNS,,1,,4,0,0,0,0,,4,140
FRA,7888,Eric Gubourge,,,48,DNS,DNS,DNS,DNS,,1,,3,0,0,0,0,,3,141
GBR,8532,Tom Clayton,,,DNS,DNS,DNS,DNS,48,,1,,0,0,0,0,3,,3,142
GER,8598,Klaus Riedl,,,49,DNS,DNS,DNS,DNS,,1,,2,0,0,0,0,,2,143
GBR,8138,Andrew Draper,,,DNS,DNS,DNS,DNS,49,,1,,0,0,0,0,2,,2,144
GBR,8380,Dick Rowe,,,DNS,DNS,DNS,DNS,50,,1,,0,0,0,0,1,,1,145
