Platz,Nat,Nunner,Punkte,Ha,nns,cha,f,t,Verein,1,2,3,4,5,6
58,SUI,8003,274,AnjaJobinll'lartiUeli,SCI'I,58,sB,39,31,60,sB,,,,
59,GER,8204,286,Rona,d Roos,K i rsten Roos,SVll,60,77,48,6,66,DNS,,
60,SUI,8479,293,Ph i,1,i ppe Grun ig,Urs Kappe,ler,8T,50,57,53,63,54,49
61,GBR,8291,296,Sam Nea,,Peter Bunvood,Graf,l{S,53,62,s5,66,42,s4,
62,SWE,8485,301,Johan Arvedson,Johan Stenqu i st,GKS,S,46,52,66,79,52,55,,
63,GER,8424,301,8rigitte Preug,Rolf Bertenrath,DSV,77,47,s9,s2,62,51,,,
64,GER,8254,304,Jan Stö,ken,Hatth i as Briih I,ASC,54,60,43,69,48,DNF,,
65,SWE,7498,317,Jakob Lindval,I Kal le Byrenius,KSS,S,37,64,72,76,58,56,,
66,DEN,8211,325,Jan Saugmann,Sören Rohde,Hel l.Sei,45,53,60,46,DNS,DNS,,,
67,RSA,7212,330,Rob Hancock,Alan Franklin,HHYC,7,T,80,57,62,s7,53,,
68,SWE,8057,331,Ludwig Hoberg,Thqnas Jönsson,KSS,S,67,71,52,68,DNF,43,,
69,GER,8370,335,Ka i I'lares,Jan Hares,SCB T7,44,62,DNF,DNS,DNS,,,,
70,FRA,8124,337,A,fred Grosheny,8ertrand Grosheny,YCStrasb,78,66,74,42,64,61,,
71,GER,8472,341,Hans Nöldeke,Hichael Cam,SVE,49,69,67,59,67,DNF,,,
72,GER,8421,345,Dieter Cordes,ralPh zecher,sc4,66,48,38,72,DNF,DNS,,,
73,FRA,8301,379,Ant. Lortat Jacob,H ichel Bouvier,c.v.P.,75,68,85,82,61,63,,,
74,SUI,8487,385,Samlel Zubler,Reto Zubler,SCH,74,67,63,60,DNS,DNS,,,
75,FRA,8491,385,Serge Delhoune IDomin. Keraudren,CN V Ch BO,70,83,80,65,60,,,,,
76,RSA,7683,386,Dietmar Holm,Albrecht Holm,TYC,DNS,81,75,65,70,65,,,
77,GER,8178,390,Jörg Detmold,Andreas Krecek,SCH,76,DNF,70,84,68,62,,,
78,AUT,7551,399,Rudi Birkel,Fr. Schweinberger,YCH,79,84,76,81,69,64,,,
79,DEN,8256,407,8rigitte Sögard,Carsten Barlebo,GSK,70,75,58,83,DNS,DNF,,,
80,FRA,7955,413,Albert Blattner lDenis Blattner,ACAL,64,78,79,7,I,DNS,DNS,,,
81,GER,8166,415,Jiirgen Feuerhake,Dorle Hilbert,YCSb,72,82,82,58,DNS,DNS,,,
82,DEN,8030,422,Jacob K. Andersen,Sören Arleth,AY,68,76,80,77,DNS,DNS,,,
83,GER,8324,427,l{ils v.d. Heide lGötz v.d. Heide,SV}IU,81,83,81,61,DNS,DNS,,,,
84,GBR,8120,432,Cl ive R. Davis,Lawrie Doyle,l{el l.YC,83,72,78,78,DNF,DNS,,,
85,GER,8428,433,Jens Hartwig,l{olfgang Stlickl,TSC,59,DNF,7,L,DNF,DNS,DNS,,
86,GER,8413,436,Franc i sco Sangu i no,Robert l{ i so,ek,SC IA,73,7,4,77,DNS,DNS,DNS,
87,FRA,8002,440,Jacques Bochu,Christophe Bochu,YC CAVAI,82,79,84,7,4,DNS,DNS,,
88,FRA,8321,485,Herve l{att i nne,Lou i s t'l i che,Ces,S. N. La P,DNS,DNS,DNS,DNS,DNS,DNS,,
89,FRA,8402,485,Philippe Boite,I. Huzellec,C.V.M.,DNS,DNS,DNS,DNS,DNS,DNS,,,
90,HKG,8,485,Diam. Tai Man Chiu lCh.Chan Kay Chung,HKI,DNS,DNS,DNS,DNS,DNS,DNS,,,,
