Country,Sail NO,Helm,Crew,Club,,Series,,Position
FRA,,Herfort,Mandoff,CVE St Quentin,,2me,,32
FRA,,Le Glohaec,Baron,CV Paris,,2me,,33
FRA,,Riche,Riche,SR Dives,,2me,,34
FRA,,Jacques Armengaud,Philippe Hoffmann,YC Triel,,2me,,35
FRA,,Boyer,Robert Leibovitch,YC Draveil,,2me,,36
FRA,,Pierre Bretèche,Tassin,SN Ouest-Nantes,,2me,,37
FRA,,Preel,Thierry Moreau-Defarges,CN La Baule,,2me,,38
FRA,,Lefebvre,Lefebvre,CN Touquet,,2me,,39
FRA,,Banel,Latrace,CV Paris,,2me,,40
FRA,,Danielou,Gillet,CV Paris,,2me,,41
FRA,,Collaert,Chevallier,CV Paris,,2me,,42
FRA,,Pillon,Pillon,CV Centre,,2me,,43
FRA,,Oeuvrard,Lepennec,YC Carnac,,2me,,44
FRA,,Guyot,Jacoutet,CVE St Quentin,,2me,,45
FRA,,Lapalu,Grivelet,Cannet Plage,,2me,,46
FRA,,Alain Doloy,Lazennec,CV Paris,,2me,,47
FRA,,Patric Haegeli,Brodard,CV Paris,,2me,,48
FRA,,Brengard,Hoffmann,CV Mulhouse,,2me,,49
FRA,,Heymann,Heymann,YC Nancy,,2me,,50
FRA,,Falempin,Daudier,YC Boulogne sMer,,2me,,51
FRA,,Thibault Di Pede,Pascal,CV Seine-Port,,2me,,52
FRA,4431,Christian Hauvette,Nicolas Vasseur,CV Paris,,2me,,53
FRA,,Galvez,Galvez,ACAL Strasbourg,,2me,,54
FRA,,Vaucanson,Plisson,CV Centre,,2me,,55
FRA,,Creton,Legrand,YC Quend Plage,,2me,,56
FRA,,Harinckou,Delivertoux,CV Paris,,2me,,57
FRA,,Clerc,Clerc,CV Le Creusot,,2me,,58
FRA,,Fayen,Chailloux,CV Paris,,2me,,59
FRA,,Baillet,Berger,CYV Moselle,,2me,,60
FRA,,Lallemand,Lallemand,YCIF,,2me,,61
FRA,,Duhaut,Gardahaut,CNCRO,,2me,,62
FRA,,Thobie,Ricci,CN La Baule,,2me,,63
FRA,,Ollier,Ollier,CV Le Creusot,,2me,,64
FRA,,Gérard Derché,Alain Derché,CN La Baule,,2me,,65
FRA,,Marras,Marras,YC Chalon,,2me,,66
FRA,,Jacques Raguet,Ulrike Raguet,YC Aubigny,,2me,,67
MAR,,Georges le Troquer,Wladimir Dombrowski,YC Maroc,,2me,,68
FRA,,Champeau,Ducourtieux,CV Centre,,2me,,69
FRA,,Vuillaume,Nelaton,CV Belfort,,2me,,70
FRA,,Lacaza,Menanteau,Cannet-Plage,,2me,,71
FRA,,Boissiere,Laclau,CV Bordeaux,,2me,,72
FRA,,Poumeyrol,Poumeyrol,CV Arcachon,,2me,,73
FRA,,Bracq,Bracq,CN Touquet,,2me,,74
FRA,,Duchemin,Serane,YC Cherbourg,,2me,,75
FRA,,Godefroy,Godefroy,YC Aubigny,,2me,,76
FRA,,Noël (Mme),Noël,AC Boulogne Billancourt,,2me,,77
FRA,,Claudel,Claudel,,,3me,,78
FRA,,Lévesque (X.),Lepage,SN Ouest-Nantes,,3me,,79
FRA,,Malbo,Malbo,CV Centre,,3me,,80
FRA,,Gaudry,Baguet,SSYAM,,3me,,81
FRA,,Lange,Berteau Guezou,CV Tours,,3me,,82
FRA,,Roland Jouandeau,,CN Viry-Chatillon,,3me,,83
FRA,,Delpierre,Delpierre,CN Wimereux,,3me,,84
FRA,,Chaffaux,Chaffaux,YC Aubigny,,3me,,85
FRA,,Maraut,Frileux,CV Paris,,3me,,86
FRA,,Graesel,Hittinger,YC Nancy,,3me,,87
FRA,,Follenfant,Follenfant,CV Angers,,3me,,88
FRA,,Gallinet,Gallinet,CV M,,3me,,89
FRA,,Fenouil,Angel,CN Viry-Chatillon,,3me,,90
FRA,,Vauthier,Vauthier,CV Montesson Sartrouville,,3me,,91
FRA,,Léon Brillouet,Marais,SR La Rochelle,,3me,,92
FRA,,Ducos,Leclercq,SV N,,3me,,93
FRA,,Cheret,Boite,CV Meaux,,3me,,94
FRA,,Vizade,Vizade,CVE St Quentin,,3me,,95
FRA,,Pillon,Pillon,CV Centre,,3me,,96
FRA,,Pinson,Schmitt,CN Rhin,,3me,,97
FRA,,Michaud,Pouzou,CV Bordeaux,,3me,,98
FRA,,Carozzi,Ober,CV Mulhouse,,3me,,99
FRA,,Ohayon (Melle),Ohayon,CYV Dammarie,,3me,,100
FRA,,Galet,Galet,CV Meaux,,3me,,101
FRA,,André Gerbet,Darles,CV Chalain,,3me,,102
FRA,,Loth,Mageux,CV Paris,,3me,,103
FRA,,Tixador,Lavaud,CN Canet,,3me,,104
FRA,,Cuvelier,,YC Aubigny,,3me,,105
FRA,,Fischer,Evenat,CV Paris,,3me,,106
FRA,,Brulel,Brunel,Grenoble UC,,3me,,107
FRA,,Ponchelet,Ponchelet,CN E,,3me,,108
FRA,,Laly,Desmoulins,CN Viry Chatillon,,3me,,109
FRA,,Blanchard,Lebrun,CV Paris,,3me,,110
FRA,,Chovelon,Dineur,AS Berre,,3me,,111
FRA,,Negrier,Negrier,CV Bordeaux,,3me,,112
FRA,,Lallemont,Lallemont,CV Centre,,3me,,113
FRA,,Gaillard,Peyramond,CV Lyon,,3me,,114
FRA,,Lepoivre,Lepoivre,SN St Raphael,,3me,,115
FRA,,De Mesmay,Caillet,YC Chalon,,3me,,116
FRA,,Michon,Markt,YC Chalon,,3me,,117
FRA,,Bruce Hobday,Hobday,YC P,,3me,,118
FRA,,Bouchet,Morandy,CV Bordeaux,,3me,,119
FRA,,Dantard,Dulhoste,CYV Dammarie,,3me,,120
FRA,,Buquet,Chaffaux,CSNAL,,3me,,121
FRA,,Massu,Halpern,YCIF,,3me,,122
FRA,,Schaedelin,Fabri,CYV Moselle,,3me,,123
FRA,,Foures,Foures,CV Arcachon,,3me,,124
FRA,,Nony,Crozier,SA Lyon,,3me,,125
FRA,,Christian Maréchal,André Gerbet,CVL Chalain,,3me,,126
FRA,,Michel Christ,Cordonnier,YCIF,,3me,,127
FRA,,Massouty,Guillou,YC Le Creusot,,3me,,128
FRA,,Castagnier,Gleizes,,,3me,,129
FRA,,Conesa,Py,,,3me,,130
FRA,,Pierre Sadoc,Follenfant,CNAR,,3me,,131
FRA,,Baillet,Baillet,YCIF,,3me,,132
FRA,,Luthringer,Luthringer,CV Dennemont,,3me,,133
FRA,,Huyart,Huyart,CN Touquet,,3me,,134
FRA,,Dubus,Boulanger,CN Touquet,,3me,,135
FRA,,Gay (Mme),Vedrine,YC Chalon,,3me,,136
FRA,,Marchand,Marchand,YC Chalon,,3me,,137
FRA,,Verroust,Gomie,YC Brie,,3me,,138
FRA,,Ronssaray,Tourgis,YC Brie,,3me,,139
FRA,,Plisson,Beleteste,CV Centre,,3me,,140
FRA,,Coin,Perard,,,3me,,141
FRA,,Bahuad,Chepaux,SN Ouest-Nantes,,3me,,142
FRA,,Grossman,Bollack,CN Ile d Ouest,,3me,,143
FRA,,Comte de Maury,,YC Le Pecq,,3me,,144
FRA,,Jacques Chouraki,Alliot,SRC Ouistreham,,3me,,145
FRA,,Habrard,Marginedes,CV Valence,,3me,,146
FRA,,Ardouin,,CVE St Quentin,,3me,,147
FRA,,Desfaits,Lesarre,CV Le Creusot,,3me,,148
FRA,,Simon,Leclere,CV Belfort,,3me,,149
FRA,,Fagourd,Dardel,YC Basque,,3me,,150
FRA,,de Sentenac (Mme),de Sentenac,SV Poissy,,3me,,151
FRA,,Sellier,Peiffer,CYV Moselle,,3me,,152
FRA,,Lemenager,Lemenager,SRC Ouistreham,,3me,,153
FRA,,Bonnel,Doisneau,YC Le Pecq,,3me,,154
FRA,,Kriez,Meyer,CV Mulhouse,,3me,,155
FRA,,Kohli,Tournie,ARC,,3me,,156
FRA,,Michel Grossain,Dussautois,CN St Jean de Monts,,3me,,157
FRA,,Breard de Rycke,,SN Ouest-Nantes,,3me,,158
FRA,,Danre,Boschev,CN O,,3me,,159
FRA,,Krieser,Krieser,CV Paris,,3me,,160
FRA,,Schutz,Schutz,YC Nancy,,3me,,161
FRA,,Hertel,Hertel,CV Seine-Port,,3me,,162
FRA,,Malherbe,Robin,CV L,,4me,,163
FRA,,Kocher,Bermond,CVLC,,4me,,164
FRA,,Chamoreau,Huguet,,,4me,,165
FRA,,Blat,Zundel,CV Paris,,4me,,166
FRA,,Pascal,Leifer,CV Seine-Port,,4me,,167
FRA,,Philippe Buck,Lallemand,YCIF,,4me,,168
FRA,,Boisvin,Gourdeau,HCBB,,4me,,169
FRA,,Philadelphe,Gautier,CYV Dammarie,,4me,,170
FRA,,Sinno,Thomas,YC Cannes,,4me,,171
FRA,,Judic,Judic,CNG,,4me,,172
FRA,,Gilbert Vinches,François Padovani,CV Dennemont,,4me,,173
FRA,,Jamin,Levasseur,CV Paris,,4me,,174
FRA,,Schondorf,Auger,ACAL,,4me,,175
FRA,,Hittinger,Hittinger,YC Nancy,,4me,,176
FRA,,Faisandier,Faisandier,CYVL,,4me,,177
FRA,,Westphal,Westphal,CV Seine-Port,,4me,,178
FRA,,Hoo,,Paris,,4me,,179
FRA,,Legond,,CVE St Quentin,,4me,,180
FRA,,Michaud,Foucher,CN P,,4me,,181
FRA,,Espinnet,Naud,,,4me,,182
FRA,,Rimbert,Laugerotte,YC Der,,4me,,183
FRA,,Gault,Gault,CV Centre,,4me,,184
FRA,,Leuvaux,Caillet,YCC,,4me,,185
FRA,,Mehl,Gindre,CVL Chalain,,4me,,186
FRA,,Damon,Dahu,SNO,,4me,,187
FRA,,Pfaadt,Ziegelmeier,ACAL,,4me,,188
FRA,,Boudier,Boudier,YCIF,,4me,,189
FRA,,Gravier,Ollagnier,CV Dennemont,,4me,,190
FRA,,Herteman,de Bournonville,CVS St Quentin,,4me,,191
FRA,,Champion,Ganem,CNB,,4me,,192
FRA,,Pruvost,Mazuc,CNT,,4me,,193
FRA,,Labrusse,Carvalo,YCO,,4me,,194
FRA,,Jourde,Gadenne,CYVL,,4me,,195
FRA,,Mageux,Grimbert,CV P,,4me,,196
FRA,,Goutard,Reibel,CVMS,,4me,,197
FRA,,Desemerie,Bois,CVMS,,4me,,198
FRA,,Porcher,Porcher,CYVM,,4me,,199
FRA,,Gauthier,Gauthier,CYVD,,4me,,200
FRA,,Carrasco,Carrasco,CVE St Quentin,,4me,,201
FRA,,Duval,,,,4me,,202
FRA,,Mace,Cousin,CVMS,,4me,,203
FRA,,Weckel,Fober,YCN,,4me,,204
FRA,,Bermond,Kocher,CVLC,,4me,,205
FRA,,Mouton,Jouhanneaud,,,4me,,206
FRA,,Piboteau,,,,4me,,207
FRA,,Bellade,Collin,YCN,,4me,,208
FRA,,Goldfarb,Hedoin,CNVC,,4me,,209
FRA,,Faure,Carvaux,Dassault,,4me,,210
FRA,,Dantan,,CVESQ,,4me,,211
FRA,,Courtois,Faure,CVSP,,4me,,212
FRA,,Beaugard,Michaud,CVV,,4me,,213
FRA,,Beauvais,Rougier,YCDraveil,,4me,,214
FRA,,Cauvy,,,,4me,,215
FRA,,Schnebelen,Drouot,CYV 3 Frontieres,,4me,,216
FRA,,Delonca,Laout,,,4me,,217
FRA,,Cassou,,,,4me,,218
FRA,,Mermod,Epailly,CVLC,,4me,,219
FRA,,Marocco,Joffroy,CVESQ,,4me,,220
FRA,,Bouviere,,YCD,,4me,,221
FRA,,Aubertin,Aubertin,CYVM,,4me,,222
FRA,,Di Domenico,Clement,CVESQ,,4me,,223
FRA,,Meyer,Sonnembruck,CV Belfort,,4me,,224
FRA,,Hive,Augeareau,SNH,,4me,,225
FRA,,Granger,Wacquez,CVB,,4me,,226
FRA,,Coulvier,Genestre,,,4me,,227
FRA,,Blanquet,Sesbue,,,4me,,228
FRA,,Paintex,Champeau,,,4me,,229
FRA,,Picard,,CVSEQ,,4me,,230
FRA,,Mertens,Mertens,CNCF,,4me,,231
FRA,,Bestier,Bastier,CNT,,4me,,232
FRA,,Vedrine,Gay,YCC,,4me,,233
FRA,,Pelissier,,CVESQ,,4me,,234
FRA,,Bongiorno,Drap,SN St Raphael,,4me,,235
FRA,,Bastian,Bastian,YCS,,4me,,236
FRA,,Baron,Delastre,CVC,,4me,,237
FRA,,Laout,,,,4me,,238
FRA,,Favre,Favre,,,4me,,239
FRA,,Drouot,Doerenbecher,CYVIF,,4me,,240
FRA,,Giordano,Giordano,,,4me,,241
FRA,,Pillon,Prudhomme,CVESQ,,4me,,242
FRA,,Garat,,CVESQ,,4me,,243
FRA,,Marie,Dupuy,CV Paris,,4me,,244
FRA,,Domain,,CVESQ,,4me,,245
FRA,,Delorme,Bouchonnet,SRCO,,4me,,246
FRA,,Ceste,Woltz,CVP,,4me,,247
FRA,,Frileux,Verneuil,CVP,,4me,,248
FRA,,Costa,Valls,CVP,,4me,,249
FRA,,Pamtex,Viaud,VLL,,4me,,250
FRA,,Ribadeau Dumas,Chabanat,YCIF,,4me,,251
FRA,,Lefranc,Faure,ASAE,,4me,,252
FRA,,Mermet,,CVESQ,,4me,,253
FRA,,Valentin,,CVESQ,,4me,,254
FRA,,Pecaud (Mme),Pecaud,CCV,,4me,,255
FRA,,Audren,Audren,SRCO,,4me,,256
FRA,,Anstett,Courtois,CVSP,,4me,,257
FRA,,Barbier,Barbier,,,4me,,258
FRA,,Bastard,Chamoreau,YCO,,4me,,259
FRA,,Boucher,,,,4me,,260
FRA,,Chabeau,,CVA,,4me,,261
FRA,,Chaneac,Chaneac,CNBP,,4me,,262
FRA,,Chapelain,Jette,,,4me,,263
FRA,,Chepeaux,Bahuad,,,4me,,264
FRA,,Courtois,Panicaud,ASDE,,4me,,265
FRA,,Craveira,,,,4me,,266
FRA,,Delannet,Rouve,,,4me,,267
FRA,,Derachinois,Derachinois,SVP,,4me,,268
FRA,,Drianne,Moville,SNO,,4me,,269
FRA,,Fromont,Malinvaud,ASRM,,4me,,270
FRA,,Gilbert,,,,4me,,271
FRA,,Guiheneuf,Guiheneuf,CNQ,,4me,,272
FRA,,Heitz,Wantz,CYVGL,,4me,,273
FRA,,Hubert,,,,4me,,274
FRA,,Jouanny,Camel,TOAC,,4me,,275
FRA,,Lacarriere (Melle),Bailleul,CVP,,4me,,276
FRA,,Le Borgne,Dubois,PAL,,4me,,277
FRA,,Leroy,Leruste,,,4me,,278
FRA,,Leinard,Lebret,CVC,,4me,,279
FRA,,Mayoux,Mayoux,CVP,,4me,,280
FRA,,Mehl,Gindre,CVLC,,4me,,281
FRA,,Menu,Caris,SRR,,4me,,282
FRA,,Pez,Kauffman,SAL,,4me,,283
FRA,,Picco,Lemartret,,,4me,,284
FRA,,Pillet,Moussay,CNQ,,4me,,285
FRA,,Plante,Plante,SRCO,,4me,,286
FRA,,Salles,Mariaud,SVP,,4me,,287
FRA,,Sezet G (Mme),Sezet,SVP,,4me,,288
FRA,,Sezt R (Mme),Sezet,SVP,,4me,,289
FRA,,Tanguy,Tanguy,YCSL,,4me,,290
FRA,,Tetard,Nivelte,,,4me,,291
FRA,,Tourgis,Fallon,YCB,,4me,,292
FRA,,Virot,Virot,CNB,,4me,,293
