Nation,Sail NONo.,Helmsman,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
SUI,6385,T Scheiss,,,53,26,42,36,21,17,142,29
GBR,6518,David Revill,,Ogston,42,27,46,33,25,23,150,30
GBR,6513,D Clark,,Stokes Bay,45,12,36,30,27,50,152,31
GBR,6145,S Lambourne,,Worthing,13,22=,50,51,42,31,158,32
GBR,6121,M Wincer,,Felixstowe,27,37,23,42,34,52,163,33
GBR,6502,H Sixsmith,,Lowton,78,17,31,31,45,41,165,34
GBR,6563,V Ralston,,Essex,36,28,34,37,31,47,166,35
USA,6446,J Ingram,,Grafham Water,8,42,37,35,56,48,168,36
GBR,6689,N Alexander,,Lymington Town,22,34,118R,41,38,36,171,37
ZIM,6603,J O'Connor,,Rhodesia,19,46,43,26,113R,51,185,38
GBR,6096,C Britton,,Worthing,28,6,116R,43,35,74,186,39
GBR,6656,I Henry,,Weston,60,40,57,22,40,28,187,40
GBR,6435,I Atkins,,Weston,41,70,33,48,39,29,19,41
GBR,6642,Derek Farrant,,Hastings,7,31,35,5,113R,118R,191,42
GBR,5938,N Young,,Queen Mary,49,04/04/20,38,54,22,45,198,43
GBR,6284,S Weeks,,The Chase,73,38,24,60,18,108R,213,44
GBR,6440,D Chisholm,,Lowton,23,49,51,50,113R,54,227,45
GBR,6444,L Everitt,,Queen Mary,59,54,44,38,113R,35,230,46
GBR,4952,M Elkington,,Draycote Water,37,43,55,56,49,46,230,47
GBR,6125,M Evans,,Felixstowe,1188,50,48,45,29,62,234,48
GBR,6522,B Watson,,Retford,25,60,62,44,57,49,235,49
GBR,6648,R Whittle,,Queen Mary,68,62,28,117R,47,32,237,50
GBR,6113,P Gaunce,,Hayling Island,55,63,68,46,37,38,240,51
GBR,6606,J Barter,,Queen Mary,47,69,56,78,36,33,241,52
GBR,6562,B Bullen,,Blackpool,46,57,49,57,50,44,246,53
GBR,65643*,S Tew,,Ogston,10,32,32,49,118N,26,249,54
GBR,6363,A Moore,,Felixstowe,62,88,19,55,113R,27,251,55
GBR,5641,C Brown,,Grapham Water,76,52,53,47,66,34,252,56
GBR,6515,R Lee,,Hayling Island,57,53,64,69,44,42,260,57
GBR,4746,M Coulson,,Datchet Water,52,55,116R,62,43,56,269,58
GBR,6264,C Streatfield,,Rutland,51,56,65,117R,33,65,210,59
GBR,6089,D Wansborough,,Chew Valley,61,61,63,52,51,53,278,60
GBR,6063,J Murphy,,Lowton,87,63,41,59,113R,37,287,61
GBR,6548,R Paddey,,Stokes Bay,32,67,60,70,70,61,290,62
GBR,6407,J Hitchin,,Grafham Water,72,58,77,40,55,66,291,63
GBR,6639,R Bartholomew,,Ogston,40,48,52,63,113R,93,296,64
GBR,6417,P Wills,,Weston,44,68,71,58,113R,55,296,65
GER,5652,R Wiedemann,,Stutgart,67,41,116R,67,63,118N,297,66
GBR,6462,R Rowan,,Lary s,50,66,40,72,113R,79,307,67
GBR,6687,Jim Berry,,Portishead,80,101,61,53,46,72,312,68
GBR,5669,W Ingram,,Grafham Water,82,59,54,91,62,71,328,69
GBR,6649,D Sallis,,Grafham Water,56,74,69,71,58,118N,328,70
GBR,6701,A Thomas,,West Cheshire,48,72,67,76,79,67,330,71
GBR,6001,T Marlow,,Hastings,65,15,116R,24,113R,118N,333,72
IRL,5308,C McErvel,,Royal N. of Ireland,111,95,47,117R,32,58,343,73
GBR,6359,P Northeast,,Rutland,70,91,75,74,48,80,347,74
GBR,6357,G Fairhall,,Stokes Bay,64,39,116R,34,118N,118N,371,75
GBR,5880,T Scarisbrick,,Stewartby,98,71,81,117R,60,64,374,76
GBR,5736,P Hope,,Ogston,77,65,87,82,74,76,374,77
IRL,6604,Denis O’Sullivan,,Monkstown Cork,100,110,66,84,54,73,377,78
GBR,6676,Roger Deane,,Ogston,90,118R,89,64,77,,378,79
GBR,5934,P Jones,,Queen Mary,58,103,70,129D,77,70,378,80
GBR,6542,J Drakeford,,Ogston,63,84,86,65,113R,84,382,81
GBR,6161,R Longworth,,Lowton,91,79,45,61,113R,108R,384,82
GBR,6346,J Hinchcliffe,,Lowton,84,83,76,75,68,87,386,83
GBR,4271,D Swale,,Marconi,89,94,82,88,69,63,391,84
GBR,6692,T Carr,,Great Yarmouth,99,98,59,68,113R,68,392,85
GBR,6424,J Willcox,,Draycote Water,75,75,105,87,81,78,396,86
GBR,6283,R Cohen,,Hayling Island,83,104,83,73,67,86,397,87
GBR,6049,J Tubby,,Great Yarmouth,118R,89,78,64,59,108R,398,88
GBR,6207,N Faulkner,,Great Yarmouth,103,118R,96,92,53,57,401,89
GBR,6438,J Mitchell,,Lawton,81,93,72=,85,71,108R,402,90
GBR,5455,D Wilkes,,Lowton,74,78,88,93,75,91 =,406,91
GBR,6514,D Bell,,Lowton,109,87,85,96,72,69,409,92
SUI,6670,M Ingold,,,94,47,92,66,113R,118N,412,93
FRA,5574,P Hue,,C.V. Post Brillet,69,106,100,81,113R,60,416,94
GBR,5863,S M-Adams,,Retford,85,77,72=,80,118N,101,416,95
GBR,4527,J Chorley,,Stokes Bay,106,109,79,90,65,81,421,96
GBR,5716,Tony Smith,,Northampton,71,73,91,117R,113R,75,423,97
GBR,4481,G Smith,,Felixstowe,92,81,95,83,73,118N,424,98
GBR,6637,M Nott,,Lymington Town,54,85,118N,117R,113R,59,429,99
GBR,4497,G Mee,,West Cheshire,96,76,90,79,113R,88,420,100
GBR,6696,C Thorne,,Chew Valley,107,80,98,95,78,89,440,101
GBR,6567,B Gilliham,,Stone,86,105,84,86,113R,82,443,102
GBR,5030,W Culshaw,,West Cheshire,108,82,116R,99,61,98,448,103
GBR,5940,J Naylor,,Kessingland Sea,83,90,97,77,113R,108R,455,104
GBR,6681,J Bardly,,Grafham Water,97,86,74,117R,86,118N,461,105
GBR,4671,A Pettit,,Hastings,79,97,102,97,118N,94,469,106
GBR,6452,R England,,Rutland,110,100,94,103,76,100,473,107
GBR,5375,R Barnes,,Stone,104,99,99,94,113R,83,479,108
GBR,5264,G Trout,,Retford,95,107,104,101,84,85,479,109
GBR,6547,R Moss,,Stokes Bay,114,108,89,117R,80,91=,482,110
GBR,8285,P Fisher,,West Cheshire,115,111,93,102,83,95,484,111
GBR,4669,P Farrands,,Chew Magna,112,102,116R,98,87,90,489,112
SIN,6271,P Baskerville,,Felixstowe,105,118R,101,100,85,99,490,113
GBR,6703,J Whyte,,Hastings,93,112,116R,117R,88,97,506,114
GBR,5678,A Draper,,Felixstowe,113,118R,116R,104,82,96,511,115
GBR,6217,D Pendleton,,Hayling Island,101,96,103,117R,113R,108R,521,116
GBR,6426,I Coleman,,Felixstowe,118R,92,80,117R,118N,118N,526,117
GBR,5454,P Bowen,,Queen Mary,102,118R,106,105,113R,118N,544,118
