Sail No,Boat,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,Points,Place
FRA,8677,Serge Gubri,Thibault Di Pède,,38,27,22,46,46,62*,47,226,40
AUS,8498,Peter Hewson,Dear Williams,,37,47,21,59*,42,47,41,235,41
USA,8616,David Chatham,Matt McQueen,,27,28,37,56*,47,46,54,239,42
SWE,8719,Jakob Lindvall,Kalle Byrenius,,65*,44,59,32,43,38,25,241,43
USA,8731,Thad Lieb,Rob Waterman,,24,43,66*,58,33,52,32,242,44
GBR,8460,Martin Goult,Gordon Russell,,16,45,57,106*,40,27,61,246,45
GER,8747,Jörgen Thumann,Oliver Stieglitz,,106*,35,33,39,27,55,63,252,46
USA,8012,Henry Amthor,Mike Smith,,22,54,49,66*,53,28,50,256,47
GER,8590,Stefan Köchlin,Axel Priegann,,43,71*,12,31,61,58,53,258,48
AUS,8755,Matthew Hansen,Anthony Dean,,30,40,48,65*,24,53,65,260,49
GBR,8555,David Smithwhite,Neil Fulcher,,106*,37,56,25,60,35,48,261,50
GBR,8694,Andy Williams,Andy Edmonds,,23,55,52,28,72,40,106*,270,51
GER,8772,Ronald Roos,Andréas Achterberg,,31,38,78,14,69,42,106*,272,52
BEL,8553,Paul Gorremans,Pierre-Jean Gallo,,48,60*,46,55,39,54,31,273,53
GBR,8787,Fredrik Karlsson,Christian Diebitsch,,57,46,62,33,63*,41,34,273,54
RSA,8340,Graeme Willcox,Alan Haylett,,50,59*,50,43,48,43,45,279,55
GBR,8535,Francis Cram,Dougal Cram,,111*,57,60,52,50,19,42,280,56
GER,8750,Christian Müllejans,Thomas Jung,,62*,58,28,54,59,57,38,294,57
GBR,8495,David Peacock,Chris Hewkin,,71,51,16,68,38,59,106*,303,58
GBR,8701,Robert Napier,Jonathan Rennie,,59,54,34,65*,APA54,17,57,314,59
GBR,8708,Martin Wedge,Andy Williams,,32,62,36,44,73,75*,72,319,60
RSA,8537,Robert Crisp,Brett von Budenbrock,,34,63,58,72*,71,69,39,334,61
GBR,8705,Ian Dunn,Simon Lake,,59,42,67,67,80*,80,30,345,62
AUS,8589,Sandra Barber,Mark Barber,,69,56,106*,24,62,79,58,348,63
GER,8661,Diethardt Freye,Michael Klügel,,54,77,44,51,56,67,106*,349,64
GBR,8685,Michael Sims,Richard Sims,,66,61,106*,48,74,76,33,358,65
GBR,8552,Russell Short,Andrew Short,,45,72,80*,75,52,70,49,363,66
GBR,8672,Miles Odell,Andrew Streeter,,72,78*,71,60,70,48,52,373,67
FRA,8695,Jean-Guy Puissant,Etienne Seguelas,,47,65,63,74*,67,68,68,378,68
GBR,8291,Sam Neal,Peter Burwood,,67,79*,74,63,55,77,51,387,69
USA,8790,John Wyles,Andrew Chadwick,,70,60,APA67,17,82*,53,75,388,70
GBR,8678,Jim Berry,Richard Berry,,71,53,APA70,33,64,62,85,404,71
FRA,8683,Gérard Tilly,Xavier Tilly,,106*,64,86,36,77,83,66,412,72
FIN,8056,Raimo Raita,Antti Raita,,106*,69,77,77,58,64,67,412,73
ZIM,8748,Patrick McCosh,Gilles Carvallo,,111*,77,69,73,64,78,56,417,74
GBR,8745,Chris Pearson,Frank Rainsborough,,106*,81,59,70,79,65,64,418,75
AUS,8280,Michael Quirk,Kane Sinclair,,17,53,106*,106,32,106,106,420,76
USA,8411,Paul von Grey,Tony DeVita,,77,63,APA73,5,75,64,88*,426,77
GER,8424,Peter Gerdts,Karsten Lahrs,,106*,81,72,71,68,61,76,429,78
AUS,8506,Mark Robertshaw,John Rayner,,55,84*,61,83,81,74,77,431,79
GER,8692,Nicolai Völckner,Arnd Howar,,116*,80,43,69,106,106,36,440,80
GBR,8510,Andrew Thorp,Nick Thorp,,68,70,76,78,76,72,81*,440,81
USA,8593,Evert Meyer,Graham Shelter,,70,75,106*,76,66,73,85,445,82
FIN,8136,Kare Tikka,Matti Dillemuth,,61,66,95*,79,83,90,78,457,83
AUS,8781,Earle Alexander,Ken Lockenby,,106*,68,83,87,96,66,62,462,84
FRA,8603,Jean-Philippe Chartier,Alain Chartier,,106*,92,73,82,97,63,79,486,85
GBR,8474,Chris Thorne,Andy Tyas,,106*,94,70,80,78,81,87,490,86
POR,8175,Mario Matos Rosa,Pedro Vozone,,111*,88,88,89,82,96,55,498,87
RSA,8789,Tony Murray,Angela Stenger,,106*,87,90,95,84,85,60,501,88
FRA,8352,Philippe Noclain,Jean-Pierre Noclain,,106*,79,92,90,65,89,88,503,89
AUS,8547,Anthony Gaunt,Michael Duffield,,106*,73,81,84,99,86,86,509,90
GBR,8305,Tony Power,Richard Kerry,,106*,95,85,85,87,92,71,515,91
GBR,8467,Chris Romans,Brenda Romans,,106*,106,68,106,94,71,74,519,92
FRA,8623,Eric Brun,Dominique Rouanne,,106*,86,84,92,92,84,82,520,93
FIN,8582,Antti Jore,Lauri Parviainen,,106*,90,91,86,90,87,84,528,94
GER,8450,Jürgen Feuerhake,Kerstin Jung,,111*,83,93,94,86,97,80,533,95
GER,8412,Antje Paulsen,Björn Schaar,,106*,82,89,96,95,94,90,546,96
GBR,8532,Tom Clayton,Dennis Hyatt,,106*,91,96,91,93,106,75,552,97
GER,8413,Martin Eckel,Alexander von Mertens,,106*,93,94,81,89,91,106,554,98
IRL,8309,James O'Brien,Dion Barrett,,111*,97,97,93,96,95,83,561,99
IRL,8123,Michael O'Brien,Kieran O'Leary,,111*,98,98,88,101,98,89,572,100
AUS,8711,John Bagshaw,Richard Gorrell,,111*,96,87,106,98,93,106,586,101
IRL,8269,Michael M'Donnell,Brendan O'Rielly,,111*,100,100,106,100,99,92,597,102
GBR,8435,Patrick McGale,Lucy Hemming,,106*,99,99,106,106,106,91,607,103
POR,8176,Pedro Andrade,Vicente Pinheiro Mello,,106*,106,79,106,106,106,106,609,104
POR,8036,Jose Bello,Jorge Ferlov,,106*,106,106,106,106,106,106,636,105
