Nat Sail no.,HelmName,CrewName,,R1,R2,R3,R4,R5,R6,R7,R8,R9,Nett,Rank
USA 7875,Jeff Miller,Stuart Park,,126 DNC*,126 DNC*,126 DNC,19,60,52,14,11,16,298,49
RSA 8520,Rudolph Holm,Ferdinand Holm,,54,126 DNF*,126 DNS*,47,47,25,35,60,33 DPI,301,50
GER 8947,Volker Niediek,Stefan Heising,,20,126 DNF*,39,27,126 DSQ*,39 DPI,126 DNS,7,47,305,51
AUS 8921,Nigel Lott,Bob Franks,,126 DNC*,28,28,126 DNC*,126 DNC,49,31,32,14,308,52
GER 8903,Stephan Schweiger,Thorsten Koch,,126 DNF*,126 DNC*,37,40,29,26,126 DSQ,43,21,322,53
GER 8563,Klaus Heeschen,Stefan Schmidt,,36,23,33,62,51,89*,84*,54,66,325,54
GER 8972,Ronald Roos,Kirsten Roos,,51,43,65,73*,38,74*,60,53,29,339,55
GER 8317,Hartwig Friederichs,Antje Gosch,,55 DPI,126 DNC*,86*,51,23,73,58,44,39,343,56
FIN 8678,Eino Laitinen,Thomas Castren,,39,126 DNC*,51,70,76*,28,41,66,51,346,57
SWE 8848,Johan Calvert,Marcus Haas,,41,35 RDG,58,68,64,32,71*,126 DNF*,65,363,58
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,,45,44,61,80*,82*,68,37,64,59,378,59
FIN 8768,Jukka Nieminen,Kari Lehtonen,,49,39,79*,53,58,75*,66,59,72,396,60
GER 8741,Juergen Anton,Ulf Denecke,,126 DNF*,126 DNC*,74,63,69,45,45,42,58,396,61
GER 8991,Michael Köritz,Tore Schmeling,,126 DNC*,34 DPI,93,61,34,63,51,126 DNF*,63,399,62
DEN 8232,Jonas Christiansen,Johan Pedersen,,35,126 DNC*,49 DPI,64,72,92*,63 RDG,52,64,399,63
GBR 9039,Tim Bird,Richard Nurse,,47,126 DNF*,126 DNC*,43,59,76,59,72,55,411,64
RSA 8445,Kyle Klaas,Robert von Gruenewaldt,,126 DNC*,126 DNC*,70,25,77,54,61,56,71,414,65
GBR 8497,Roger Deane,Dennis Cartwright,,55,36,77,74,87*,47,73,58,84*,420,66
AUS 8781,Earle Alexander,Ian Gregg,,126 DNC*,126 DNC*,45,55,91,101,38,46,45,421,67
USA 8960,Bruce Van Deventer,Jon Henderson,,126 DNF*,126 DNC*,60,59,94,71,54,49,43,430,68
FIN 8053,Petri Ebeling,Juhani Heimsch,,56,47,75,106*,62,72,68,61,80*,441,69
FRA 9010,Gilles Carvallo,Bastian Lemorvan,,126 DNC*,126 DNC*,73,79,55,44,69,74,61,455,70
SWE 8787,Lars Bjerke,Tore Reinhold,,126 DNC*,126 DNC*,50,57,61,79,81,70,57,455,71
FIN 7784,Thomas Held,Timo Vennonen,,126 DNC*,43 DPI,126 DNC*,75,66,77,76,68,62,467,72
GER 8744,Lutz Kandzia,Martin Deutscher,,53,41,52,95 DPI,97 DPI*,87,75,73,126 DNC*,476,73
GER 8775,Jan Sell,Wiebke Gewinn,,126 DNC*,126 DNC*,78,52,53,61,70,126 DNF,38,478,74
GBR 8749,Alastair Milton,Laurence Milton,,38,126 DNF*,49,93*,90,67,86,76,87,493,75
GBR 8945,Neil Rabbitts,Adam Kenney,,126 DNF*,126 DNC*,56,82,86,59,47,45,126 DNF,501,76
RSA 8471,Alexander Ham,Warwick Ham,,126 DNF*,45,73 DPI,87,101*,86,72,77,79,519,77
FIN 8924,Raimo Raita,Juha Nurmela,,126 DNC*,126 DNC*,81.5,65,24,62 DPI,39 DPI,126 DSQ,126 DNF,523.5,78
GER 8513,Sven Dömges,Andreas Happich,,126 DNC*,126 DNC*,87,56,97,91,67,65,70,533,79
FRA 8948,Nicolas Guillou,Bertrand Lapeyre,,49 DPI,47 DPI,126 DNC*,107*,104,95,80,78,83 DPI,536,80
FIN 8320,Tatu Miettinen,Ville Tarvo,,126 DNC*,40,80,69,98,78,83,126 DNC*,89,537,81
USA 8841,Edward Tillinghast,William Miller,,126 DNC*,126 DNC*,88,71,73,60,126 DNC,69,56,543,82
FIN 8659,Kira Maisniemi,Matti Dillemuth,,126 DNF*,126 DNC*,55,72,63,81,77,126 DNF,76,550,83
SWE 8257,Peter Andersson,Per-Eric Thörnström,,126 DNF*,126 DNC*,85,88,85,65,82,67,81,553,84
GER 8619,Steve Kwee,Thorsten Spötter,,126 DNC*,126 DNC*,94 DPI,76,57,80,94,79,74,554,85
GER 9000,Enno Wilts,Jan Wiechmann,,51 DPI,126 DNC*,76,67,99,70,104,126 DNF*,96,563,86
DEN 9025,Per Larsen,Bent Lundsager,,126 DNC*,126 DNC*,57,66,14,58,126 DNC,126 DNC,126 DNC,573,87
SWE 8581,PA Hallberg,Frank Bach,,126 DNC*,126 DNC*,59 DPI,85,103,90,78,81,91,587,88
SWE 8837,Tord Lawner,Tomas Gustafsson,,52,126 DNC*,63,97,100,104,100,126 DNF*,88,604,89
GER 8932,Christian Henge,Nicholas Melzwig,,126 DNF*,126 DNC*,126 DNC,86,70,56,79,126 DNF,68,611,90
AUS 8396,Sam Cronin,Kevin Whitbread,,43,126 DNC*,126 DNF*,101,80,85,91,126 DNF,94,620,91
SUI 8077,Catherine Houriet,Gil Donze,,126 DNC*,126 DNC*,91,94,49,99,93,126 DNF,69,621,92
FIN 8632,Jari Hamström,Tuomas Laurila,,126 DNF*,126 DNC*,74 DPI,102,83,100,74,63,126 DNC,622,93
GER 8730,Iris Feldmann,Birgit Hartmann,,126 DNC*,126 DNC*,126 DNF,103,78,62,85,126 DNF,67,647,94
SWE 8917,Simon Kindt,Jesper Fowelin,,126 DNC*,126 DNC*,126 DNC,105 DPI,76 DPI,69,95,75,102,648,95
GER 8658,Christina Hoell,Alexander Wilhelm,,126 DNC*,126 DNC*,83,95,68,93,96,126 DNF,95,656,96
GER 8862,Dirk Hänsgen,Frank Rupprich,,126 DNC*,126 DNC*,126 DNC,84,79,82,65,126 DNF,100,662,97
AUS 8710,Brett Bowden,Robert Bath,,126 DNF*,126 DNC*,64,89,81,102,97,126 DNF,104,663,98
ITA 8743,Marco Giraldi,David Avital,,126 DNC*,126 DNC*,126 DNC,81,89,105,64,126 DNC,73,664,99
DEN 8071,Michael Wonterghem,Fabiola Wonterghem,,126 DNC*,126 DNC*,72,91,111,103,88,126 DNF,75,666,100
FRA 8623,Matthieu Gougeon,Dominique Rouanne,,126 DNC*,126 DNC*,81.5,98,75,106,108,126 DNF,82,676.5,101
GER 6817,Ralf Schneidewind,Martin Lietz,,126 DNC*,126 DNC*,126 DNC,78,84,107,90,126 DNC,77,688,102
GER 9021,Georg Geyer,Claudia Conrads,,126 DNC*,126 DNC*,84,83,106,99 DPI,108 DPI,126 DNF,83,689,103
GER 8550,Martha Hauschild,Franzi Manko,,126 DNC*,126 DNC*,95,110,93,83,102,126 DNF,90,699,104
RSA 8707,Albrecht Holm,Willem Buhrmann,,126 DNF*,126 DNC*,126 DNS,92,96,84,98,126 DNC,85,707,105
AUS 8639,Grahame Tindall,David Johnson,,126 DNC*,126 DNC*,92,108,105,98,106,80,126 DNC,715,106
GER 7861,Katharina Menge,Henning Ries,,126 DNF*,126 DNC*,126 DNF,96,102,88,92,126 DNF,93,723,107
GER 8966,Walter Steding,Uwe Küntzel,,126 DNF*,126 DNC*,90,99,95,96,99,126 DNF,126 DNC,731,108
GBR 8907,Jim Berry,David Barnes,,126 DNC*,126 DNC*,126 DNC,126 DNC,126 DNC,102 DPI,94 DPI,62,103,739,109
USA 8951,Christian Rasmussen,Thomas Rasmussen,,126 DNC*,126 DNC*,94,105,107,112,105,126 DNF,99,748,110
GER 8500,Jens Kühne,Katja Henge,,126 DNC*,126 DNC*,126 DNF,117 DPI,93 DPI,108,111,126 DNF,86,767,111
GER 8999,Karsten Stuempel,Ute Stuempel,,126 DNC*,126 DNC*,126 DNC,77,126 DNF,109,87,126 DNC,126 DNC,777,112
USA 6931,Stine Cacavas,Bill McKinney,,126 DNC*,126 DNC*,126 DNC,104,113,113,101,126 DNC,101,784,113
GER 8470,Oliver Schürmann,Frauke Schürmann,,126 DNC*,126 DNC*,126 DNC,113,110,111,109,126 DNC,98,793,114
GER 8622,Hilmer Goedeking,Michael Schöefer,,126 DNC*,126 DNC*,126 DNC,116,109,110,113,126 DNF,97,797,115
GER 7674,Torben Koch,Eric Bellstedt,,126 DNC*,126 DNC*,126 DNC,114,112,114,112,126 DNC,105,809,116
SWE 8476,Erik Strandmark,Mats Holmberg,,126 DNC*,126 DNC*,126 DNF,111,126 DSQ,126 DNC,107,126 DNC,92,814,117
SWE 7833,Johan Heander,Erika Heander,,126 DNC*,126 DNC*,126 DNC,117,114,117,114,126 DNC,106,820,118
SWE 7667,Sven Flood,Niclas Ericsson,,126 DNC*,126 DNC*,126 DNF,109,108,115,110,126 DNF,126 DNC,820,119
SWE 7507,Karin Storm,Frederick Somerville,,126 DNF*,126 DNC*,126 DNC,115,115,116,126 DNF,126 DNC,126 DNC,850,120
GER 8052,Juergen Feuerhake,Anne Nehrenberg,,126 DNC*,126 DNC*,96,126 DNF,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,852,121
GER 8335,Helmut Madeheim,Thomas Osterholz,,126 DNC*,126 DNC*,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,882,122
FRA 8515,Nicolas Croce,Florian Faucheux,,126 DNF*,126 DNC*,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,882,122
SWE 7453,Magnus Ryde,Louis Wrede,,126 DNC*,126 DNC*,126 DNC,126 DNF,126 DNF,126 DNF,126 DNC,126 DNC,126 DNC,882,122
GER 9028,Stefan Koechlin,Andreas Achterberg,,126 DNC*,126 DNC*,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,126 DNC,882,122
