Nation,SEGELNR,Helm,Crew,CLUB,PL(1.Wf),PL(2.Wf),PL(3.Wf),PL(4.Wf),PL(5.Wf),PL(6.Wf),PL(7.Wf),PL(8.Wf),PL(9.Wf),G-PKTE,G-PL
GER,8843,Völckner Nicolai,Dehne Lars,HSC SVH,[DNS],8,7,10,21,4,21,37,[DNF],108,17
USA,8842,Ivey Mark,Illdge Shane,HHYC RQYS,13,[25],16,14,18,14,[23],23,10,108,18
GER,8747,Thumann Jörg,Stieglitz Dr. Oliver,WSU HSC,15,13,12,17,16,[43],[41],9,39,121,19
GER,8725,Gosch Tom,Gosch Antje,ENSFR,14,35,[DNF],15,5,17,19,[43],18,123,20
GER,8675,Görge Volker,Morf Karsten,TSVS CKA,20,17,21,22,7,23,28,[49],[38],138,21
GER,8466,Niediek Volker,Heising Stefan,BSV BSV,[DNS],9,24,26,34,[DNS],17,25,13,148,22
GER,8702,Handel Martin,Klöpfer Felix,SGK SCE,22,27,26,23,[46],[36],20,13,17,148,23
GER,8686,Niefert Christian,Weber Thomas,BSV`79 BSV`79,25,22,14,21,26,25,[44],[39],32,165,24
GER,8609,Holzapfel Alexander,Eckart König/Dirk Ipach,PSVK,[DNS],12,30,35,20,24,18,[48],28,167,25
GER,8663,Dasenbrook Norbert,Meier Sven,KSW SKBUe,9,28,19,24,29,29,[42],34,[36],172,26
GER,8775,Engel Carsten,Neumeyer Tobias,PSVK PSVK,23,26,22,19,30,[33],24,29,[47],173,27
GER,8662,Stoelken Jan,Bruehl Matthias,SCU BSC,17,24,28,[DSQ],[51],15,26,44,31,185,28
GER,8772,Roos Ronald,Roos Kirsten,SVWu SVWu,32,[DNF],25,[39],10,34,32,27,26,186,29
GER,8563,Heschen Klaus,Schmidt Stefan,TSVS SVSS,[DNS],23,17,28,22,27,47,[52],35,199,30
GER,8711,Maisenbacher Markus,Wilfahrt Urs,WVH KYC,29,30,33,32,[40],18,29,[50],29,200,31
GER,8127,König Kristine,Thilo König,BSV BSV,31,32,[DNF],44,[54],49,27,11,22,216,32
GER,8522,Lehning Hannes,Fuchs Christoph,SWE SWE,41,36,35,38,23,[42],[43],20,23,216,33
GER,8825,Eismann Armin,Kaiser Dirk,SCA SSV,21,39,[DNF],37,43,21,[56],32,24,217,34
GER,8441,Gerdes Rainer,Stenger Falk,SSCK SLRV,27,41,34,[42],[45],39,33,24,21,219,35
GBR,8885,Lake Simon,Illiffe Ben,GWSC RYA,33,21,[DNF],31,33,31,30,40,[DNS],219,36
GER,8625,Cross Alex,Braun Falko,SCR SCR,[DNS],34,[DNF],29,39,30,22,46,20,220,37
FRA,8693,Daisenberger Michael,Lautenschläger Florian,DTYC DTYC,19,[DNF],[DNF],30,13,26,25,DNF,40,221,38
GER,8874,Waldheim Jürgen,Maal Martin,PYC/YcLa BSV 06,37,38,27,40,35,[DNS],[46],16,33,226,39
GER,8751,Oestergaard Melanie,Stenger Angela,HSC MYC,[DNS],[49],32,33,47,28,39,26,37,242,40
GER,8385,Bernauer Martin,Ulf Geißler,CNFT CNFT,[DNS],[42],29,41,37,41,35,36,27,246,41
GER,8712,Labenz Siegfried,Labenz Christian,SVWu SVWu,30,29,[DNF],34,42,35,49,35,[56],254,42
GER,8657,Neulen Georg,Weiß Kai-Uwe,WYCA BSV,35,33,31,[43],36,38,[48],42,42,257,43
GER,8414,Worm Stefan,Pfeiffer Wolf,SCR,[DNS],31,23,36,48,[52],40,47,34,259,44
GER,8788,Lahrs Karsten,Gerdts Peter,HYC SVC,[DNS],[DNF],DNF,25,41,32,38,53,7,264,45
GER,8806,Forster Jan,Wehden Daniel,DJC DJC,[DNS],[DNF],DNF,27,60,47,31,14,30,277,46
GER,8664,Unkelbach Franziska,Bogacki Wolfgang,KYC DYC,24,[DNF],[DNF],48,49,48,37,30,43,279,47
GER,8730,Hufnagel Jens,Schöner Markus,SLRV HSC,34,[DNF],[DNF],54,28,37,34,51,48,286,48
GER,8530,Von Mertens Alexander,Wiesbauer Pia,BsV 07 MRSV,26,40,[DNF],45,31,54,50,[55],50,296,49
GER,8607,Paulsen Antje,Schaar Björn,BSV-HH BSV-HH,36,45,37,[DSQ],32,51,52,54,[55],307,50
GER,8769,Friedrich Nathalie,Zeiler Claudius,SCLW SGR,[DSQ],[DNF],DNF,49,56,40,36,21,41,311,51
GER,8105,Contag Karsten,Schönbach Christian,SCLW HSC,44,50,38,[58],[59],53,51,38,45,319,52
GER,8533,Bussenius Roger,Bussenius Robert,SCOH SCOH,38,48,[DNF],[56],52,45,55,33,54,325,53
GER,8538,Metzner Lars,Thaeter Enno,SVN SVN,40,47,[DNF],46,[61],56,53,41,51,334,54
GER,8418,Sell Jan,Gewinn Wiebke,TuSF SWE,[DNS],37,[DNF],50,50,44,57,57,44,339,55
GER,8560,Giefers Christiane,Krause Jens,SVPB SVPB,[DNS],46,[DNF],57,53,55,58,28,49,346,56
POL,7037,Gorski Jaroslaw,Zoltowski Piotr,SKZ SKZ,42,43,36,55,55,57,[62],58,[DNF],346,57
GER,8528,Tirre Andre,Wille Frank,ZSK ZSK,[DNS],44,[DNF],51,38,50,54,61,52,350,58
GER,8365,Lehmann Andreas,Hanke Robert,VSW B 113,39,[DNF],[DNF],47,44,46,DNS,DNS,DNS,380,59
GER,7900,Heibeck Felix,Isler Axel,KSW KSW,45,[DNF],[DNF],53,58,58,61,56,DNF,399,60
GER,8370,Stümpel Karsten,Wilts Enno,HSC/Transocean,43,[DNF],[DNF],52,57,DNS,59,60,DNS,407,61
GER,8470,Steinke Roberto,Zschieschang Frank,WYC WYC,[DNS],[DNF],DNF,DNS,DNS,DNS,45,45,46,408,62
GER,8108,Holm Thorge,Strahl Rebecca,BOH-YC BOH-YC,46,[DNF],[DNF],DNS,DNS,DNS,60,59,53,422,63
GBR,7566,Schluter Olav,Schlueter Andreas,DWSC SLSV,[DNS],[DNF],DNF,DNS,DNS,DNS,DNS,DNS,DNS,476,64
GER,8880,Fischer Helen,Rothe Robert,BYC BYC,[RAF],[RAF],RAF,DNS,DNS,RAF,DNC,DNS,DNS,476,64
GER,8669,Böger Tim,Jung Thomas,HSC WSCW,[DNS],[DNF],DNF,DNS,DNS,DNS,DNS,DNS,DNS,476,64
GER,8580,Muehlbauer Markus,Achterberg Andreas,DTYC DTYC,[DNS],[DNF],DNF,DNS,DNS,DNS,DNS,DNS,DNS,476,64
