Nation,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
AUS,7016,Bruce Burford,,,69,56,24,56,RET,65,391,300,60
AUS,5837,I. J. Townsend,,,52,76,66,59,30,64,383,301,61
AUS,7332,D. Porter,,,32,21,50,DNS,DNS,DNS,394,303,62
AUS,7157,Robert Hook,,,53,49,64,27,RET,DNS,393,308,63
AUS,7511,Bruce Blatchford,,,17,29,62,DNS,DNS,DNS,399,308,64
IRL,7440,Denis O'Sullivan,,,77,79,70,57,39,39,397,312,65
AUS,6764,Philip Wise,,,66,78,44,68,49,58,399,315,66
GBR,7504,Ian Andrew,,,22,77,58,DSO,45,RET,408,371,67
HNG,6755,Mark Houghton,,,75,60,68,66,37,56,398,317,68
AUS,6344,P. Willoughby,,,70,70,60,DNS,53,42,416,325,69
AUS,7281,Robert Pendleton,,,65,63,46,89,52,DNS,416,325,70
AUS,5911,J. Brown,,,68,74,28,67,DNS,59,417,326,71
AUS,7531,Gary Smith,,,71,33,RET,24,DNS,DNS,419,328,72
HNG,7236,Russ Canning,,,72,67,55,71,RET,47,433,342,73
AUS,7530,B. A. Bowden,,,81,69,RET,64,51,54,440,349,74
AUS,7250,Richard Gallimore,,,14,54,DNS,DNS,DNS,DNS,444,353,75
AUS,6820,Steven Stenta,,,56,53,53,DNS,DNS,DNS,453,362,76
AUS,7282,Phil Bowden,,,74,YMP,72,73,55,66,444,364,77
AUS,5583,John Rushton,,,76,72,74,72,54,67,451,369,78
AUS,5591,Ken Lockwood,,,82,93,71,74,44,DNF,472,381,79
AUS,7513,John Greenless,,,60,37,DNS,DNS,DNS,DNS,473,382,80
AUS,7409,R. McCrossin,,,78,73,73,76,RET,57,478,387,81
AUS,5253,David Young,,,60,81,75,75,RET,69,501,410,82
AUS,7408,D. Ketteridge,,,DNC,DNC,DNC,DNC,DNC,DNC,546,455,83
AUS,7514,Roger Down,,,RET,DNS,DNS,DNS,DNS,DNS,546,455,84
