Nation,Sail No,Helmsman,Crew,Cub,Race1,Race2,Race3,Race4,Race5,Race6,with discard,Position
GBR,6980,,,,28,74,70,78,66,56,294,71
GBR,6520,,,,52,80,69,51,66,57,295,72
GBR,7293,P. Bainbridge,,,8,21,100,100,100,71,300,73
GBR,7353,N. Cady,,,27,89,65,78,66,71,307,74
GBR,7308,,,,60,72,86,57,66,54,309,75
GBR,7211,K. Pitts,,,59,84,83,62,46,68,318,76
GBR,6435,Kobylanski,,,99,25,29,100,66,100,319,77
GBR,6890,R. Wilson,,,73,52,76,61,63,71,320,78
GBR,7328,C. Thome,,,67,76,44,78,66,71,324,79
GBR,7376,,,,83,81,63,70,49,63,326,80=
GBR,6283,,,,68,50,73,69,66,100,326,80=
GBR,6444,L. Everitt,,,63,75,81,43,66,100,328,82
GBR,6432,W. Mills,,,79,53,86,78,48,71,329,83
GBR,7314,S. Oliver,,,99,98,25,78,66,65,332,84=
GBR,6113,R. Wells,,,74,79,57,71,59,71,332,84=
GBR,6070,John Woodhouse,,,71,89,84,60,66,60,341,86
GBR,5996,C. Fryer,,,76,82,75,68,54,71,344,87
GBR,6462,G. Smith,,,89,83,54,76,65,67,345,88
GBR,6701,,,,85,85,74,75,66,49,349,89
GBR,6082,,,,78,67,80,78,66,62,351,90
GBR,5740,,,,99,86,59,77,62,71,355,91
GBR,7270,I. Coleman,,,47,57,86,100,100,71,361,92
GBR,4683,R. Robb,,,88,98,60,78,66,71,363,93
GBR,5934,P. Jones,,,87,78,78,74,60,79,369,94
BEL,7008,,,,77,89,77,100,66,69,378,95
GBR,6563,J. Doble,,,82,87,82,78,100,71,400,96
GBR,6839,,,,90,100,95,86,64,79,414,97
GBR,6104,G. Sone,,,80,71,86,78,100,100,415,98
GBR,4918,G. Evans,,,86,89,85,100,66,100,426,99
GBR,6513,S. Costain,,,84,88,86,78,100,100,436,100
