SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Nett,Rank
USA 8083,Martin Tipton,Adam Wolnikowski,Yale Corinthian Yacht club,(31.0),(31.0),20.0,31.0,28.0,21.0,27.0,6.0,25.0,26.0,246.0,184.0,25th
CAN 8735,Brent Beninger,Martin Hicks,NSC,21.0,32.5,23.0,28.0,16.0,(33.0),(40.0 DNC),14.0,20.0,32.0,259.5,186.5,26th
CAN 8696,Debbie Ashby,Dave Adams,Nepean Sailing Club,23.0,(30.0),27.0,29.0,12.0,27.0,15.0,29.0,(33.0),27.0,252.0,189.0,27th
USA 8850,Douglas Watson,Peter Hale,Outer Harbour Centreboard Club,25.0,25.0,28.0,25.0,26.0,30.0,(31.0),(39.0),23.0,24.0,276.0,206.0,28th
USA 8819,Kyle Pfrang,Christopher Pfrang,Hampton Yacht Club,30.0,26.0,26.0,27.0,18.0,32.0,26.0,28.0,(34.0),(40.0 DSQ),287.0,213.0,29th
USA 8439,Anne Fitzpatrick,Christian Pittack,CYC Seattle,(33.0),23.0,30.0,26.0,23.0,(34.0),24.0,31.0,30.0,29.0,283.0,216.0,30th
CAN 8410,Clarissa Bush,Chris Gillies,Nepean Sailing Club,29.0,24.0,32.0,(40.0 DNC),36.0,28.0,29.0,27.0,21.0,(40.0 DNC),306.0,226.0,31st
USA 9084,Kaila Pfrang,Anna Patterson,Hampton Yacht Club,36.0,(39.0),36.0,35.0,35.0,16.0,12.0,24.0,(39.0),36.0,308.0,230.0,32nd
CAN 920,Marie Gendron,Dave Brown,Nepean Sailing Club,(40.0 DSQ),27.0,37.0,(40.0 DNF),30.0,25.0,35.0,32.0,29.0,25.0,320.0,240.0,33rd
USA 8838,Sterling Spruill,Steve Taylor,Hampton YC,34.0,32.5,31.0,33.0,20.0,(36.0),32.0,(38.0),35.0,34.0,325.5,251.5,34th
CAN 8587,Paul Place,Samuel Place,Nepean Sailing Club,35.0,(38.0),34.0,(40.0 DNF),27.0,29.0,28.0,33.0,36.0,31.0,331.0,253.0,35th
CAN 8610,Shona Weldon,Michael Wonnacott,Nepean Sailing Club,27.0,(35.0),33.0,30.0,33.0,(38.0),33.0,35.0,31.0,33.0,328.0,255.0,36th
CAN 9028,Kyber Lovshin,Devlin Lovshin,Nepean Sailing Club,32.0,34.0,(40.0 DNF),(40.0 DNC),37.0,35.0,36.0,34.0,32.0,30.0,350.0,270.0,37th
USA 7773,Michele Loewen,Imbaw Storer,Britannia Yacht Club,(38.0),36.0,35.0,34.0,34.0,37.0,34.0,37.0,(38.0),35.0,358.0,282.0,38th
USA 8018,Grace Olsen,Mike Hull,Cottage Park Yacht Club,37.0,37.0,(38.0),32.0,32.0,(39.0),38.0,36.0,37.0,37.0,363.0,286,39th
