Nation,Båtnr,Rorsman,Gast,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,SUM,Place
GBR,7807,Robin Whittle,Tim Whittle,,27,58,DNF,68,67,244,62
SWE,8033,Per Oskarsson,Lars Edström,St505,62,68,34,56,DNS,244,63
FIN,6803,Jari Makela,Tero Lahti,,51,62,43,66,68,246,64
FIN,7467,Jaakko Saarela,Juha Alitalo,,60,63,DNF,57,45,249,65
FIN,7049,Uttu Kuusi,Per Stromman,,44,70,DNF,63,53,254,66
FIN,7657,Mats Spary,Anders Spary,,58,59,DNF,61,60,262,67
FRA,7529,Antoine Lortat-Jacob,Rene Lagree,,57,64,DNF,69,64,278,68
GER,7942,Martin Kehr,Michael Jaeschke,,64,67,DNF,55,69,279,69
GER,7541,Ewald Brzoska,Hanno Barth,,55,DSQ,DNF,65,62,284,70
GER,7957,Ralf Stoll,Martin Eckel,,56,71,DNF,67,66,284,71
FIN,6133,Tom Nase,Heikki Hohtari,,65,72,DNF,70,65,296,72
SWE,7296,Björn Gustafsson,Jan Jäberg,HKK,DNF,66,DNS,DNS,DNS,324,73
IRL,7768,Neil Davison,Patrick Meharg,,DNF,69,DNF,DNS,DNF,327,74
FRA,7560,March Beauvalet,Germain Gillet,,DNS,DNS,DNS,DNS,DNS,336,DNA
FRA,7734,Francis Macheboeuf,Jean Michel Chabout,,DNS,DNS,DNS,DNS,DNS,336,DNA
SUI,7014,Brasey,Naegele,,DNS,DNS,DNS,DNS,DNS,336,DNA
