Country Sail,Skipper,Crew,,1,2,3,4,5,6,7,8,9,Total Points,Pos
GER 8992,Claas Lehmann,Leon Oehme,,42*,27,40,23,32,43*,12,29,38,201,34
USA 8851,Keith Davids,Jesse Falsone,,48*,38,99 DNF*,37,33,11,43,12,30,204,35
AUS 8817,Nick Davis,Michael Duffield,,35,23,41*,45*,40,30,16,33,40,217,36
GER 8965,Hasso Plattner,Peter Alarie,,28,99 DNF*,19,46,21,63*,50,36,22,222,37
AUS 8395,Paul Mitchell,Dale Mitchell,,26,28,28,29,99 DNF*,48,48,57*,26,233,38
AUS 8796,Nick Deussen,Jonno Bannister,,30,19,45*,34,99 DNF*,44,34,43,33,237,39
AUS 8920,Michael Quirk,Simon Reffold,,99 DNS*,99 DNS*,14,14,11,42,18,41,99 DNS,239,40
USA 8919,Ted Ferrarone,Doug McKeige,,53,99 DNF*,99 DNF*,48,31,46,13,17,31,239,41
USA 8813,Steve Kleha,Mathias Kennerknecht,,16,22,58*,53*,28,47,37,53,37,240,42
GER 8990,Frieder Achterberg,Arne Lanatowitz,,29,99 DNF*,39,40,39,62*,30,45,25,247,43
USA 8830,Ramsay Key,Andrew Buttner,,34,99 DNS*,51*,26,49,35,41,37,29,251,44
GBR 8963,Martin Hodgson,Adrian Miles,,40,40,34,44*,30,38,44*,44,32,258,45
AUS 8886,Norman Rydge,Jordan Spencer,,39,26,99 DNF*,38,23,39,58,38,99 DNS*,261,46
USA 9004,Douglas Hagan,Robert Woelful,,51,32,99 DNS*,39,44,18,55*,42,42,268,47
AUS 8557,Neil Long,Mick Odonnel,,99 DNS*,99 DNS*,27,32,27,55,42,47,50,280,48
USA 8970,Robert Tennant,Rich Mundell,,33,51,42,75*,46,16,45,60,99 DNS*,293,49
USA 7611,John Turney,Ned Turney,,27,35,44,50,42,52*,47,55*,48,293,50
USA 8017,Derek Campbell,Jon Henderson,,23,99 DNS*,43,31,47,56,49,99 DNS*,55,304,51
USA 8831,Pierre Jeangirard,Paul Von Grey,,57,49,54,49,99 DNF*,60*,32,34,39,314,52
USA 7346,John Loe,Craig Thompson,,45,34,47,52*,37,50,52,49,57*,314,53
CAN 8192,Philip Cragg,Reto Corfu,,99 DNS*,46,33,51,58,34,99 DNS*,61,46,329,54
AUS 8781,Earle Alexander,Ian Gregg,,21,99 DNF*,66,99 DNF*,99 DNF,68,23,26,47,350,55
AUS 8524,Richard Gallimore,Tom Woods,,80*,43,30,54,50,77,65,46,99 DNF*,365,56
USA 8808,Evert Meyer,Peter Funke,,56,99 DNF*,53,56,43,66*,53,56,53,370,57
USA 7156,Aaron Ross,Rob Waterman,,54,39,38,99 DNF*,99 DNF*,72,57,59,52,371,58
GER 8747,Martin Kittsteiner,Oliver Stieglitz,,62,41,52,58,55,51,71*,65*,62,381,59
AUS 8893,Jeffrey Robinson,Bryce Penfold,,43,37,50,99 DNF*,56,67,77*,74,59,386,60
AUS 8968,Matt Hansen,Anthony Dean,,64,47,56,67,99 DNF*,45,59,58,99 DNS*,396,61
USA 8266,John Gray,David Rasmussen,,55,45,61,55,59,78*,75*,63,63,401,62
AUS 8855,Marcos Vivian,Luke Payne,,59,99 DNF*,99 DNF*,62,51,59,63,54,54,402,63
USA 8904,Hubert Guy,Xavier Detappe,,68,48,46,61,63,76*,69,51,71*,406,64
USA 8731,Thad Lieb,Pat Diola,,60,99 DNF*,48,63,57,53,73*,68,64,413,65
USA 8411,Bill Jenkins,Dan Merino,,77*,99 DNF*,55,59,45,73,61,72,49,414,66
USA 8558,Angus Brackett,Colin Orsini,,32,99 DNF*,99 DNS*,99 DNS,99 DNS,54,54,39,43,420,67
BER 9005,Douglas De Couto,Gareth Williams,,67,99 DNF*,59,77,99 DNF*,41,79,52,45,420,68
GER 8720,Lennart Tasche,Frederik Tasche,,44,99 DNS*,99 DNF*,60,53,99 DNS,66,62,41,425,69
AUS 9022,Ian Burford,David Christie,,66,42,57,66,99 DNF*,61,67,75*,67,426,70
AUS 8840,Kevin Cameron,Matt Bowden,,37,36,99 DNF*,64,99 DNF*,58,40,99 DNS,99 DNS,433,71
USA 8647,Andrew Watters,Tripp Burd,,63,44,99 DNF*,69,52,79*,74,76,68,446,72
USA 8967,Philippe Kahn,Peter Spaulding,,70,50,67,83*,65,71,62,78*,61,446,73
USA 8821,Katherine Long,Stephen Long,,71,99 DNF*,62,71,61,64,78*,66,60,455,74
AUS 8973,Brett Sharpe,Anthony Gaunt,,65,99 DNF*,99 DNF*,68,54,49,56,71,99 DNS,462,75
USA 8441,Olav Schluter,Mike Renda,,78,99 DNS*,99 DNF*,65,62,65,70,67,56,463,76
AUS 8783,Sarah Withall,Marcus Cooper,,69,99 DNF*,99 DNS*,57,60,70,72,69,66,463,77
USA 8939,John Wyles,Gareth Fletcher,,58,99 DNS*,99 DNS*,72,66,69,64,73,65,467,78
USA 7068,Mike Coe,Russell Miller,,73,99 DNS*,60,70,99 DNF*,99 RAF,68,64,58,492,79
USA 8888,Mark Christensen,Arthur Kinsolving,,50,99 DNF*,49,99 DNS*,99 DNS,99 DNS,99 DNS,50,51,497,80
GER 8775,Jan Sell,Wiebke Gewinn,,74,99 DNS*,65,76,99 DNF*,80,80,70,99 DNF,544,81
USA 7093,Charles Fulmer,Steve Gay,,84,52,99 DNS*,73,99 DNF*,85,76,99 DNS,99 DNF,568,82
USA 6984,Antoine Laussu,Alexandre Laussu,,92 MAN(1),99 DNF*,68,99 DNF*,99 DNS,83,85,83,73,583,83
AUS 8277,John McLean,Jack McLean,,82,99 DNF*,64,81,99 DNF*,82,81,99 DNS,99 DNF,588,84
GER 8049,Matthias Tellen,Moritz Luether,,76,99 DNF*,99 DNF*,80,99 DNF,84,83,77,99 DNF,598,85
USA 8645,Ryan Staszko,Thomas Hurwitch,,88,99 DNS*,99 DNS*,74,99 DNF,75,86,84,99 DNS,605,86
USA 8245,Charlie Dore,Joe Requa,,83,99 DNF*,99 DNF*,84,67,88,87,99 DNF,99 DNS,607,87
USA 7877,Kirk Twardowski,Steve Anderes,,75,99 DNS*,63,79,99 DNF*,99 DNS,99 DNS,99 DNS,99 DNS,613,88
USA 8842,Tom Kassberg,Guy Rittger,,99 DNS*,99 DNS*,99 DNF,78,99 DNF,99 DNS,99 DNS,79,70,623,89
USA 7201,John Billings,Bill McKinney,,99 DNS*,99 DNS*,99 DNS,99 DNF,99 DNS,74,99 DNS,99 DNS,72,641,90
USA 7062,Peter Scott,Jonny Moseley,,85,99 DNF*,99 DNS*,99 DNF,99 DNF,81,99 DNS,80,99 DNS,642,91
USA 7110,Jesse Corlett,Ryan Nelson,,99 DNS*,99 DNS*,99 DNS,99 DNF,99 DNS,99 DNS,99 DNS,81,69,645,92
USA 7094,Jennifer Lawson,Soren Jensen,,81,99 DNS*,99 DNF*,99 DNS,99 DNS,87,82,99 DNS,99 DNF,646,93
USA 5281,Michael Lazzaro,Mark Lazzaro,,99 DNS*,99 DNS*,99 DNF,82,99 DNF,86,84,99 DNS,99 DNF,648,94
CAN 7099,Christian Dechamplain,Alistair Boyle,,89,99 DNF*,99 DNS*,85,99 DNF,99 DNS,99 DNS,82,99 DNF,652,95
FRA 9010,Gilles Carvallo,Jean-Yves,,79,99 DNF*,99 DNF*,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,673,96
GBR 8867,Patrick McGale,Jonathan Ross,,86,99 DNF*,99 DNS*,99 DNF,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,680,97
SWE 7453,Louis Wrede,Magnus Ryde,,99 DNS*,99 DNS*,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,99 DNS,693,98
