Nation,Sail no.,Helsman,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
RSA,8725,Jonathan Ham,Warwick Ham,Pretoria Sailing Club,25.0,27.0,26.0,22.0,24.0,(37.0),21.0,182.0,145.0,25th
SWE,8655,Kalle Nilsson,Christian Madsen,SS Kaparen,24.0,20.0,30.0,28.0,(35.0),11.0,33.0,181.0,146.0,26th
GER,9141,Konrad Otto,Lietz Martin,Segelsportgemeinschaft Seeburg eV,31.0,34.0,(39.0),26.0,19.0,25.0,17.0,191.0,152.0,27th
SWE,8581,Per-Anders Hallberg,Frank Bach,LjSS/SNN,27.0,31.0,(32.0),30.0,23.0,21.0,25.0,189.0,157.0,28th
SWE,8835,Tomas Franzen,Lars Wester,RJK,29.0,25.0,31.0,20.0,28.0,29.0,(35.0),197.0,162.0,29th
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS,33.0,30.0,19.0,24.0,(34.0),31.0,29.0,200.0,166.0,30th
GER,8915,Davina Schlesiger,Marvin Schlesiger,Mühlenberger Segel Club,30.0,26.0,28.0,35.0,26.0,(38.0),23.0,206.0,168.0,31st
DEN,8472,Lotte Meldgaard Pedersen,Jens Vestergaard,Sorø Sejlforening,26.0,29.0,21.0,29.0,(38.0),28.0,37.0,208.0,170.0,32nd
SWE,8412,David Lawenius,Albert Lawenius,BKSS,23.0,33.0,22.0,32.0,40.0,32.0,(41.0),223.0,182.0,33rd
GER,8964,Iris Anton,Raik Wollenbecker,HSC Hamburg,34.0,32.0,(37.0),33.0,32.0,34.0,26.0,228.0,191.0,34th
SWE,8873,Thomas Lundberg,Oskar Lundberg,S606K,32.0,38.0,36.0,(45.0 DNC),29.0,30.0,28.0,238.0,193.0,35th
SWE,8917,Jesper Fowelin,Ton Törm,ÖLSS/KSSS,36.0,28.0,(41.0),37.0,37.0,35.0,22.0,236.0,195.0,36th
GER,9144,Jürgen Anton,Arne Lanatowitz,HSC,28.0,36.0,34.0,31.0,33.0,33.0,(40.0),235.0,195.0,37th
SWE,8585,Malin Vångfors,Daniel Lundahl,VäSS,37.0,37.0,(40.0),27.0,31.0,39.0,36.0,247.0,207.0,38th
SWE,8257,Fredrik Molander,Tomas Jaxing,LDss/Bmss,35.0,35.0,35.0,(36.0),36.0,36.0,31.0,244.0,208.0,39th
SWE,9107,Sven Flood,Katarina Engström,BKSS,(45.0 DSQ),45.0 DNC,33.0,34.0,41.0,41.0,39.0,278.0,233.0,40th
DEN,9109,Hans Genefke,Finn Angelo,Hellerup,(45.0 DNC),40.0,38.0,38.0,39.0,43.0,43.0,286.0,241.0,41st
SWE,8945,Caroline Lexén,Mattias Stenqvist,Baxvike SS,38.0,39.0,42.0,39.0,43.0,42.0,(44.0),287.0,243.0,42nd
GBR,8867,Patrick McGale,Paul VonGrey,Queen Mary Sailing club,(45.0 DNC),45.0 DNC,45.0 DNC,45.0 DNC,42.0,40.0,38.0,300.0,255.0,43rd
SWE,7343,Gustav Franzén,Andreas Karoliussen,Råå,39.0,(45.0 DNC),45.0 DNC,45.0 DNC,45.0 DNF,45.0 DNF,42.0,306.0,261.0,44th
