Boat,Helm,Crew,Club,1,2,3,4,5,6,7,8,9,Tot.,Plac.
SWE 8585,Jan Eriksson,Johan Arvedson,NHSS,27,11,32,25,20,32,-40,-42,11,158,23
GER 8777,Stefan Schollmayer,Frisco Sanguino,DTYC,16,28,21,-34,33,21,-35,25,18,162,24
DEN 8807,Tom Böjland,Jacob Karbo,FAS,15,37,24,32,34,17,20,-45,(DNF),179,25
AUS 8738,Paul Mitchell,Sam Haines,WSC,43,20,16,17,32,-64,-45,23,40,191,26
AUS 8696,Carter Jackson,Peter Holden,MHYC,-47,(DNS),23,29,30,44,10,37,19,192,27
SUI 8569,René Betschen,Patrick Ducommun,CNB,45,31,26,36,-58,10,37,-59,13,198,28
AUS 8280,Michael Quirk,Angela Stenger,MHYC,22,-51,-50,27,16,35,48,20,33,201,29
ZIM 8445,Patrick McCosh,Dennis Lapham,MSC,38,(DNF),44,43,25,7,-62,38,7,202,30
AUS 8813,Brett Van Munster,Andrew Petch,GSC-A,37,19,22,10,31,47,-55,46,(DNS),212,31
SUI 8729,Florian Stauffer,Philippe Jacot,CVN,-54,18,20,45,39,30,38,29,-49,219,32
GER 8675,Volker Görge,Karsten Morf,TSVS,-52,26,18,24,38,37,39,40,-43,222,33
FIN 8746,Hannu Merikallio,Jarkko Niemi,HSK,-57,57,34,(DNS),41,33,17,30,20,232,34
FIN 8632,Mikko Saarela,Jukka Lindfors,MERE,39,34,38,26,(DSQ),22,-50,39,42,240,35
GER 8692,Nicolai Völckner,Lars Derschotte Dehne,HSC,44,23,12,30,35,63,-77,(DNS),35,242,36
GER 8580,Markus Muehlbauer,Andi Achterberg,DTYC,29,36,27,44,52,-58,26,-68,30,244,37
GBR 8701,Rob Napier,Matthew Bristow,HAY,23,35,35,42,40,53,19,-57,-61,247,38
GER 8730,Jens Hufnagel,Markus Schoener,ScStM,32,17,25,-57,28,54,52,-62,46,254,39
GER 8749,Stephan Krause,Michael Krause,HISC,49,40,43,50,26,-70,25,22,-55,255,40
FRA 8695,Jean-Guy Puissant,Laurent Camusson,CVLTP,41,46,-56,-52,43,27,22,48,29,256,41
AUS 7982,Nigel Lott,Robert Franks,RQYS,48,33,33,31,44,-50,42,-54,25,256,42
GER 8642,Thoralf Greger,Tobias Quadfass,ASV,35,53,30,56,21,-59,36,32,(DNF),263,43
GER 8609,Alexander Holzapfel,Dirk Ipach,PSVK,30,50,-69,40,47,41,-63,24,31,263,44
FIN 8056,Raimo Raita,Antti Raita,V-71,21,-69,(DNS),54,27,46,44,27,45,264,45
SWE 8232,Lars Stugemo,Bo Ringdahl,MKS,33,-73,36,47,42,29,41,-61,37,265,46
GER 8721,Martin Seikel,Norbert Becker,PSVK,36,32,39,35,50,40,-74,-51,36,268,47
DEN 8561,Peter Møller,Uffe Andersson,NSKD,40,49,45,28,53,20,-56,34,(DNS),269,48
GER 8527,Tim Steinert,Jens Steinert,ZSK,25,39,42,38,48,25,-80,-72,53,270,49
GER 8567,Ed Cox,Holger Neuhaus,SKMD,24,41,41,37,36,49,49,-50,-52,277,50
GER 8750,Christian Muellejans,Thomas Jung,GER,34,(DNS),40,41,(OCS),45,27,55,48,290,51
GER 8657,Melanie Oestergaard,Georg Neulen,HSC,-55,38,46,53,45,-62,34,53,34,303,52
AUS 8781,Earle Alexander,Dustin Carlsson,RQYS,66,42,29,39,51,-75,-70,41,51,319,53
GER 8674,Christian Niefert,Thomas Weber,BSV,56,-66,-63,33,55,55,46,26,50,321,54
FRA 8449,Philippe Lucienne,Vivien Lucienne,SRC,53,-65,57,60,37,-65,31,43,44,325,55
FIN 7824,Erkka Ikonen,Juha Nurmela,V-71,58,-64,-70,64,60,48,30,47,32,339,56
GER 8734,Jan Behrendt,Stefan Thurmann,NRV,64,-71,-71,67,61,57,33,35,23,340,57
FIN 8320,Sampsa Hyysalo,Antti Salonen,HSK,51,25,49,-63,46,52,57,60,-64,340,58
RSA 8584,Hans Rogotzki,Peter Roos,PSC,59,43,47,(DNF),49,31,59,-69,58,346,59
GER 8127,Kristine Förster,Thilo König,BSV,42,48,55,46,-59,56,-58,58,41,346,60
FIN 7922,Olle Martonen,Björn Pundars,WSF,-71,56,62,-74,65,26,67,31,47,354,61
FIN 7833,Tomi Laiho,Miika Perden,bsf-F,50,52,61,61,(DSQ),61,53,36,-67,374,62
FIN 7781,Jussi Hämäläinen,Esko Vanninen,KuoPS,-67,61,54,58,54,-67,47,64,39,377,63
BEL 8553,Paul Gorremans,Marie-Pierre Gorremans,SIROC,(DSQ),DSQ,52,DNS,DSQ,28,32,(OCS),27,397,64
SWE 8542,Henrik Gustafsson,Robert Larsson,ÖKF,-60,58,59,55,57,60,-66,56,59,404,65
RSA 8520,Rudolph Holm,Leon Prinsloo,PSC,62,68,(DNS),-73,67,36,72,44,57,406,66
GER 8712,Siegfried Labenz,Christian Labenz,SVWu,63,45,67,51,62,-68,68,52,(DNF),408,67
DEN 8333,Mikkel Christiansen,Mads Christiansen,AS,-75,-72,60,70,56,39,64,63,63,415,68
SWE 8033,Karl Thews,Björn Thews,NHSS,-70,62,68,48,68,(DSQ),60,70,56,432,69
RSA 8789,Tony Murray,Kobus Holtzhausen,PSC,65,55,48,65,(DNS),-74,65,67,71,436,70
SWE 8655,Karl-Otto Strömberg,Fredrik Strömberg,HASS,68,59,(DNF),62,63,71,54,-73,66,443,71
RSA 8121,Albrecht Holm,Warwick Han,PSC,72,60,65,68,70,-77,51,-78,60,446,72
FIN 8582,Arno Parviainen,Antti Jore,HS,61,44,51,76,76,-78,-83,74,68,450,73
GER 8654,Nikolaus Jaegersberg,Wolfgang Hiltscher,SCLW,73,70,64,69,64,(DNS),-76,49,62,451,74
FIN 8180,Kira Maisniemi,Mikko Tähtinen,HSK,-77,54,58,72,-73,73,73,71,54,455,75
GER 8575,Jürgen Waldheim,Martin Maal,PYC,-74,67,-72,66,66,66,61,65,65,456,76
GER 8450,Jürgen Feuerhake,Jonny Rodholm,YC,69,63,(DNS),59,71,-80,75,66,73,476,77
GER 8607,Antje Paulsen,Björn Schaar,BSV,(DNS),74,(DSQ),71,69,72,69,75,74,504,78
GER 8533,Roger Bussenius,Robert Bussenius,SCOH,78,(DNS),(DNS),DNS,78,43,71,79,76,511,79
DEN 8364,Lars Laursen,Erik Laursen,VALL,80,(DNS),75,(DNF),72,79,78,77,69,530,80
SWE 8476,Erik Strandmark,Mats Holmberg,VSS,(DNS),(DNS),66,75,DNF,69,82,76,77,531,81
SWE 8146,Jesper Fowelin,Stig Fagerstĺhl,ÖLSS,76,(DNF),76,77,74,81,-84,80,70,534,82
BEL 8352,Benoit Raucent,Philippe Chevalier,ULYC,(DNS),75,73,79,75,-82,81,81,75,539,83
ITA 8097,Marco Giraldi,Erica Giraldi,UVM,79,(DNF),77,(DNF),77,76,79,82,72,542,84
SWE 7316,Torgny Nordström,Gunnar Henriksson,KSSS,81,76,74,78,DNF,DNF,(DNS),(DNS),DNS,567,85
