Nation,boat,helm,crew,club,Race 1,Race 2,Race 3,Race 4,t,p
GER,8054,Michels,Schmidt,,55,62,68,RET,203,78
SWE,8568,Christian Diebitsch,Howard Roddis,,39,RET,64,83,204,79
SWE,8427,Jan Erikson,Kalle Byrenius,,RET,79,63,48,208,80
AUS,8454,John Whitbread,Murdoch,,71,89,93,32,210,81
GBR,8381,Miles,Geoff Kimber,,48,56,91,DSQ,213,82
DEN,8581,Birgitte Søgård,Carsten Barlebo,,84,41,77,DNC,220,83
GER,8229,Thiemann,Hasse,,83,45,74,90,220,84
IRL,8574,Pank,John Bourke,,64,RET,89,55,226,85
FRA,8031,Veroul,Gallo,,74,72,80,67,231,86
GBR,8540,Scarisbrick,Swainston,,78,61,75,95,232,87
GER,8480,Peters,Schultz,,52,DNS,90,76,236,88
GER,8204,Roos,Labenz,,RET,71,54,94,237,89
GER,8469,Mullejans,Linnemann,,63,DSQ,87,70,238,90
FRA,8541,Francis Doerenbecher,Dorenb.,,82,86,55,84,239,91
GBR,8035,Alan Henderson,Kenyon,,90,87,46,97,241,92
GBR,8474,Chris Thorne,Cooper,,86,77,95,61,242,93
AUS,8501,Martin White,Humphries,,58,83,88,88,247,94
GBR,8490,James Baxter,Ayres,,67,DSQ,85,81,251,95
FRA,8294,Lucienne,Millet,,89,73,99,71,251,96
FRA,7933,Pascal,Trihan,,65,90,96,82,255,97
FRA,8545,Alain Preel,Stephane Pedron,,95,84,101,60,257,98
FRA,8348,Jacques Bochu,Christophe Bochu,,92,95,97,64,269,99
GBR,8532,Jim Berry,Richard Berry,,91,70,DSQ,100,279,100
FRA,7932,Jacques Raguet,Bertrand,,DNS,93,92,96,299,101
FRA,8002,Dominique Rouanne,Jean Blache,,97,85,103,RET,303,102
ZIM,8438,John Wyles,Andrew Chadwick,,93,94,98,98,303,103
RSA,8091,Atherstone,Beaumont,,94,97,100,99,308,104
FRA,8369,Muh,Keraudrent,,DNS,DSQ,94,91,310,105
GBR,8314,Les Everitt,Cook,,96,DNS,102,RET,323,106
