Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Points,Place
GER,8712,Siegfried Labenz,Christian Labenz,,59,35,66 DNC,66 DNC,33,43,302,236,50
GER,8601,Christian Koch,Lars Wrentzel,,51,51,66 DNC,37,66 SCP,44,315,245,51
GBR,8460,Martin Goult,Gordon Russell,,25,30,66 DNC,66 DNC,66 DNC,66 DNC,319,253,52
FRA,8353,Robert Fossard,Thierry Gresle,,55,43,66 DNC,66 DNC,29,66 DNF,325,259,53
FRA,8461,Henri Chemineau,Jean-Claude Ancelot,,66 DNC,66 DNC,33,66 SCP,66 DNC,66 DNC,363,264,54
GBR,8678,Jim Berry,David Barnes,,62,40,66 DNC,66 DNC,31,66 DND,331,265,55
DEN,8364,Bent Lundsager,Uffe Andersen,,47,21,66 DNC,66 DNC,66 DNC,66 DNC,332,266,56
GER,8530,Alexander von Mertens,Pia Wiesbauer,,52,66 OCS,66 DNC,66 DNC,51,37,338,272,57
GER,8772,Ronald Roos,Gerd Linnemann,,66 ZPG,24,66 DNC,66 DNC,66 DNC,66 DNC,354,276,58
GER,8210,Nikolaus Jägersberg,Wolfgang Hiltscher,,66 DNC,54,66 DNC,66 DNC,54,40,346,280,59
GER,8567,Jörg Detmold,Holger Neuhaus,,38,47,66 DNC,66 DNC,66 DNC,66 DNC,349,283,60
FRA,8733,Michel Boiry,Bruno Gallardo,,58,48,66 DNC,66 DNC,46,66 DNF,350,284,61
GER,8533,Roger Bussenius,Robert Bussenius,,61,42,66 DNC,66 DNC,50,66 DNF,351,285,62
GBR,8304,Gregory Mercier,Antoine Victor,,54,53,66 DNC,66 DNC,56,66 DNF,361,295,63
FRA,8688,Robert Lehmann,Richard Wolff,,63,55,66 DNC,66 DNC,66 DNC,66 DNC,382,316,64
GER,8071,Elke Schott,Harald Schott,,66 ZPG,56,66 DNC,66 DNC,66 DNC,66 DNC,386,320,65
