Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
AUS,8891,Damian Carey,Marcus Cooper,,31,28,25,17,31,33,,29
FRA,8321,Bertrand Loyal,Laurant Nevo,,23,25,30,34,29,50,,30
AUS,8840,Kevin Cameron,Jeremy Manders,,59,43,33,23,28,44,,31
USA,8831,Mats Elf,Paul von Grey,,29,35,37,DNF,36,35,,32
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,33,46,27,DNF,38,31,,33
GER,8880,Christian Kellner,Robert Rothe,HSC,12,36,DNF,DNF,8,27,,34
AUS,8890,Malcolm Higgins,Andrew Chisholm,,24,27,DNF,DNF,19,13,,35
AUS,8759,Scott Ovenden,Bryce Penfold,,30,34,39,29,57,46,,36
AUS,8557,Neil Long,Les Evans,,46,33,38,24,52,55,,37
USA,8084,Aaron Ross,Rob Waterman,,43,45,34,25,48,49,,38
AUS,8785,Ian Burford,Wayne Boyd,,44,37,41,DNF,33,45,,39
AUS,8760,Peter Woolman,Phil Webb,,41,32,59,DNF,41,37,,40
GBR,8701,Rob Napier,Pip Pearson,HoL,45,40,61,48,34,43,,41
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley,50,31,18,DNF,DNF,20,,42
AUS,8810,John Jenkins,Steve Sievewright,,34,52,29,39,DNF,60,,43
AUS,8876,Chris Tattersall,Greg Clarke,,39,55,40,38,49,52,,44
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,47,59,51,30,56,40,,45
AUS,8795,Martin Pike,Dan Cowan,,36,DNF,44,31,54,59,,46
AUS,8803,Ian Bryden,James Bryden,,48,42,48,37,66,62,,47
ZIM,8445,Patrick McCosh,David Horsfall,,63,53,54,DNF,39,30,,48
AUS,8648,Jeff Robinson,Mick O'Donnell,,56,51,42,35,55,63,,49
POL,7539,Kuba Pawluk,Piotr Zoltowski,,37,54,DNF,44,46,65,,50
GER,8880,Helen Fischer,Angela Stenger,BYC,35,DNF,43,DNF,37,41,,51
GER,8744,Martin Görge,Hans-Heinrich Rix,TSVS,DNF,DNF,DNF,33,21,10,,52
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,70,60,46,41,64,47,,53
RSA,8520,Rudolph Holm,Dirk Rother,PSC,DNF,41,32,DNF,43,53,,54
AUS,8589,Annabel Jones,Brian Jones,,57,47,52,40,72,67,,55
GER,8675,Volker Görge,Hartwig Friedrichs,TSVS,DNF,DNF,56,32,60,42,,56
AUS,8637,Sam Cronin,Kevin Whitbread,,64,64,57,36,65,69,,57
USA,7873,Mark Dowdy,Jason Bright,,53,61,47,DNF,61,68,,58
AUS,8092,Bill Travis,Warren Cosh,,60,48,45,DNF,77,61,,59
USA,6499,Angus Brackett,Colin Orsini,,52,49,DNF,DNF,47,54,,60
ITA,8817,Marco Gambardella,Gabriele Cortegiani,,65,66,62,DNF,44,66,,61
AUS,8864,Hamish Jarrett,Chris Pearson,,67,63,58,DNF,69,48,,62
AUS,8173,Bob Fussell,Jeremy Fussell,,DNF,58,35,DNF,58,64,,63
AUS,8501,Heath Patten,Nick Merker,,51,57,DNF,DNF,50,57,,64
USA,8786,Hubert Guy,Steve Adolph,,58,62,DNF,DNF,45,51,,65
RSA,8707,Albrecht Holm,Warwick Ham,PSC,66,68,65,49,63,71,,66
DEN,8849,Per Larsen,Andreas Carlsson,Farum,DNF,DNF,55,DNF,42,29,,67
AUS,8796,Jonno Bannister,Matt Burns,,49,39,DNF,DNF,62,77,,68
RSA,8789,Tony Murray,Karl Kuhn,,DNF,71,64,45,70,70,,69
AUS,7830,Jake Flintoff,Jesse Flintoff,,68,DNF,69,42,71,72,,70
AUS,8292,Mark Scrymgour,Liam McMahon,,69,70,66,43,75,76,,71
AUS,7338,Paul Greenhalgh,Jeff Keogh,,71,73,70,50,76,73,,72
AUS,8278,Luke Payne,Ben Davis,,40,DNF,63,DNF,51,DNF,,73
AUS,8765,Greg Illman,Andrew Slater,,62,67,60,DNF,74,78,,74
FIN,8746,Raimo Raita,Juha Nurmela,V-71,61,50,DNF,DNF,59,79,,75
AUS,8884,Chris Went,Mitchell McDonald,,42,65,50,DNF,DNF,DNF,,76
AUS,6765,Peter Croft,Gary Rushton,,DNF,72,67,46,79,80,,77
AUS,8602,Kym Campion,Charlie Longbottom,,55,56,DNF,DNF,68,74,,78
GBR,8869,Martin Wedge,Scott Allen,RBYC,54,DNF,DNF,DNF,53,56,,79
GBR,8885,Ben Iliffe,Simon Lake,,DNF,44,49,DNF,DNF,75,,80
CAN,8755,Brian Trainor,Karl Oswald,,DNF,69,68,47,DNF,DNF,,81
AUS,8894,Chris Nicholson,Darren Nicholson,,DNF,DNF,DNF,DNF,DNF,6,,82
GBR,8907,Jim Berry,Richard Berry,CVSC,DNF,DNF,DNF,DNF,73,58,,83
AUS,8040,Robin Cross,Mark Paparella,,DNF,DNF,53,DNF,DNF,DNF,,84
GER,8728,Meike Schomäker,Rainer Görge,ZSK,DNF,DNF,DNF,DNF,67,DNF,,85
GBR,8435,Patrick McGale,Marcus Korobacz,QMSC,DNF,DNF,DNF,DNF,78,DNF,,86
