Country,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,State,Extra,Total,Netto,Place
AUS,8626,Scott Lidgett,Ben O'Brien,DBYC,[63],35,50,[64],60,54 TLE,41,49,53,VIC,,469,342,55
AUS,8840,Michael Gallagher,Matt Brooman,WSC,48,[55],51,51,[58],44,46,54,50,NSW,,457,344,56
USA,9083,Aaron Ross,Rob Waterman,ABYC,41,48,52,36,51,[71 DNF],[71 DNC],57,60,California,Master Crew,487,345,57
GER,8884,Frank Weigelt,Nathan de Vries,DTYC,55,56,47,57,31,52,[71 DNF],48,[61],Munich,,478,346,58
AUS,8968,Luke Abbott,Kieren Abbott,FSC,58,60,60,[62],57,41,40,[65],45,WA,,488,361,59
AUS,8667,Grant Abbott,Matthew Till,FSC/MOFSC,50,61,56,[66],[64],45,38,61,56,WA,,497,367,60
AUS,9017,Roger Pell,Byron Mavrick,RFBYC/ FSC,[64],47,54,60,[65],50,49,58,57,WA,Master Helm,504,375,61
GER,9074,Mirco Gantenberg,Jacob Niewiarra,SCH,61,64,55,61,42,[71 DNF],[71 DNC],51,47,Herne,,523,381,62
AUS,8739,Richard Batten,Jamie Batten,HSC,57,65,[71 DNF],[69],67,48,50,64,52,VIC,,543,403,63
AUS,9115,Steve Howden,Jeremy Kerrisk,PMYC,59,53,61,65,63,[71 DNF],[71 DNC],60,48,VIC,,551,409,64
AUS,9022,Martin Smith,Sam Byass,HSC,54,67 TLE,59,68,[71] TLE,54 TLE,48,67 TLE,[71 DNF],SA,,559,417,65
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,62,52,58,55,54,[71 DNF],[71 DNC],71 DNC,71 DNC,QLD,Master Helm/Master Crew,565,423,66
AUS,881,Joshua Till,Ashlie Duffield,FSC/SoPYC,67 TLE,62,57,[70],68,49,[71 DNF],62,62,WA,Youth/Mixed,568,427,67
GER,8682,Anna Hauschild,Julia Achterberg,SCSeV,[71 DNF],59,[71 DNS],45,55,71 DNF,71 DNC,71 DNC,71 DNC,Berlin,Women,585,443,68
AUS,8839,Robin Cross,Tim Griffin,BSYC,65,44,[71 NSC],63,59,[71 DNC],71 DNC,71 DNC,71 DNF,SA,Master Helm,586,444,69
AUS,9037,Peter Croft,Gary Rushton,SYC,[71 DNF],[71 DNC],71 DNC,67,66,71 DNF,71 DNC,63,71 DNF,QLD,Master Helm/Master Crew,622,480,70
