Nation,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Netto,Position,
FRA,7139,Gerard Toupet,Fabrice Toupet,SUB,77,49,62,54,55,61,,394,311,63,
GER,6771,Bouchholz,Bolender,DscU,66,60,53,57,51,60,.2.2NEN,385,313,64,
FRA,6731,Philippe Lucienne,Bruno Bonnet,CUBMC,70,47,0,59,48,RET,,403,314,65,
FRA,6961,Gre’,Gauvin,CMIS,74,57,48,64,49,66,,394,314,66,
FRA,7261,Tricard,Piazza,CND,49,53,61,DNC,58,69,LA BOMON,409,320,67,
IRL,6604,Denis O'Sullivan,Dixon,MSC,76,59,58,53,61,63,PANACHE,406,324,68,
FRA,73*,Wattinne,SOLATGES,CNN,39,DNC,CNC,19,DNC,DNC,,426,337,69,
GER,7105,Klemencic,Schenkl,TSVH,73,55,64,65,60,64,WHITE LADY,417,338,70,
FRA,7138,Philippides,Bachet,ACAL,75,DNC,65,63,52,57,,431,342,71,
FRA,7053,Sylvan Pellissier,Margot,YCC,46,DNC,49,58,DNC,DNC,,438,349,72,
GBR,7360,Michael Nott,Furlong,RLYC,64,DNC,RET,62,56,59,RED STREAK,444,355,73,
GER,6535,Ouellma,Rohanus,AsvS,RET,61,57,55,DNC,70,,445,356,74,
GER,6929,Ralf Stoll,Schweig,SCS,72,58,RET,YMP,57,62,SHEISS-VERKEHR,445,356,75,
FIN,5335,Palvimani,Palvihaki,JVS,78,RET,RET,67,59,68,,474,385,76,
SUI,7081,Gregorini,Rathgeb,RCO,26,DNC,DNC,DNC,DNC,DNC,BARCA ROSSA,477,388,77,
SUI,7220,Godet,De Tribolet,,60,DNC,51,DNC,10,DNC,ONIX,479,390,78,
FRA,5803,Christian Marechal,Perrin,XXX,67,DNC,DNC,46,DNC,DNC,,401,392,79,
GER,6942,Hammer,Antoni,SCW,55,DNC,RET,61,RET,DNC,HENTE SLAV 9060,484,395,80,
FRA,7266,Ehrmardt,Weber,OR,RET,DNC,DNC,44,DNC,DNC,,497,406,81,
FRA,7117,Derestrepo,Beltzung,LYVS,56,DNC,DNC,DNC,DNC,DNC,,507,418,82,
