Nation,SAIL,Helmsman,Crew,Club,RACE 1,RACE 2,RACE 3,RACE 4,RACE 5,POINTS,PLACE
GBR,4426,J. Drakeford,G. Cawood,,41,51,57,57,67,206,56
GBR,4772,J. Brin,N. Turner,,68,68,41,32,66,207,57
GBR,4802,M. Patte Rson,J. Wallace,,107.00N,53,53,70,34,210,58
GBR,4798,J. Mitchell,A. Spark,,47,67,45,63,59,214,59
GBR,3990,R. Longworth,A. Longworth,,45,71,77,73,27,216,60=
GBR,4760,T. Wilson,P. Wilson,,103.00R,41,63,35,77,216,60=
GBR,4746,P. Jenkins,B. Bernard,,60,57,51,76,51,219,62
GBR,2549,F. Ingham,C. Henderson,,48,79,66,45,62,221,63=
FRA,5757,H. Dohen,J.P. Noclain,,49,55,67,71,50,221,63=
GBR,5599,R. Robertson,G. Adams,,53,56,56,67,57,222,65
GBR,5406,L. Smart,R. Bell,,103.00R,50,25,51,103.00R,229,66=
GBR,5233,B. Crocker,A.N. Other,,62,83,72,42,53,229,66=
GBR,5272,M. Wilson,I. Stewart,,43,30,54,103.00R,103.00R,230,68
GBR,4527,J. Chorley,J. Clayton,,63,59,79,46,69,237,69
GBR,5040,T. Corfield,R. Furze,,64,47,68,68,107.00N,247,70
GBR,5870,B. Gilliham,S. Curtis,,46,77,65,60,103.00R,248,71
GBR,4671,A. Pettit,Another,,40,103.00R,55,103.00R,54,252,72
GBR,4774,R. Taylor,J. Law,,107.00D,63,70,58,64,255,73
GBR,3748,S. King Cox,R. Knox,,56,74,71,69,63,259,74
GBR,4187,G.Catchpole,H.Walker,,51,75,64,103.00R,70,260,75
GBR,4415,B. Watson,B. Hoult,,69,81,87,75,45,270,76
GBR,4079,R. Wells,C. Hone,,103.00R,65,81,61,65,272,77
GBR,5710,W. Mcintyre,D. Beck,,70,89,82,84,37,273,78
GBR,5264,G. Trout,B. Bailey,,59,91,84,65,74,282,79=
GBR,5288,G. Thomas,K. Norris,,57,19,107.00N,103.00R,103.00R,282,79=
GBR,5451,D. Wood,P. Hyde,,107.00D,64,49,72,103.00R,288,81
