Nation,Boot,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,Platz
GER,8642,Stefan Schollmayer,Franscisco Sanguino-Petersen,SCMSP,15,26,18,44,46,55,20,41,,29
GER,8661,Diethardt Freye,Michael Klügel,BSV,17,58,24,62,32,57,18,5,,30
GER,8609,Christian Müllejans,Thomas Jung,SVWu,16,12,31,58,56,59,17,27,,31
FRA,8565,Valleteau de Moulliac,Yves Scolan,SNBa,51,38,33,47,29,24,37,22,,32
GBR,8708,Martin Wedge,Nick Beloe,RBYC,24,DSQ,29,25,26,30,DSQ,15,,33
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,34,22,25,59,39,61,31,23,,34
GER,8580,Frieder Achterberg,Andréas Achterberg,DTYC,DNC,14,DSQ,12,40,40,19,25,,35
GER,8675,Volker Görge,Marlies Endjer,TSVS,52,46,42,23,10,23,DNC,42,,36
FRA,8491,Frédéric Véroul,Jean Jacques Véroul,CNVa,45,42,35,41,24,32,50,28,,37
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,27,31,27,46,52,34,32,51,,38
FRA,8353,Robert Fossard,Loïc Bleuez,SNBa,43,54,38,32,16,50,43,39,,39
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,61,57,53,36,23,10,57,37,,40
FRA,7940,Guy De Restrepo,Alain Beltzung,CYVStr,22,53,39,67,33,47,24,58,,41
GER,8662,Jan Stölken,Matthias Gotthard,SCU,41,36,37,42,54,36,48,36,,42
FRA,8748,Muriel Jeanne,Gilles Carvallo,CNHS,42,28,47,49,70,45,39,30,,43
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,49,34,54,30,36,39,45,49,,44
FRA,8695,Jean-Guy Puissant,Laurent Camusson,ANPESA,46,25,40,63,41,67,22,54,,45
FRA,8716,Christian Silvestre,Pierre-Yves Partant,CVB,70,47,51,26,13,25,60,DNC,,46
FRA,7941,Véronique Dousselin,Jean-Pierre Peter,ACAL,50,55,57,19,8,48,69,60,,47
GER,8721,Martin Seikel,Norbert Becker,PSVK,23,20,6,38,DNC,44,DNC,DNC,,48
GER,8570,Till Supan,Gregor Dahlem,ETUF,48,DSQ,43,35,62,37,47,32,,49
GBR,8701,Paul Lovesy,John Mildred,StBay,30,DNC,DNC,37,61,DSQ,13,21,,50
FRA,8455,Marcel Buffet,Damien Trouillet,CVP,53,65,48,52,53,35,52,40,,51
DEN,8476,Per Larsen,Stehen Ammentorp,Farum,36,44,DSQ,31,37,21,DNC,DNC,,52
GER,8424,Peter Gerdts,Karsten Lahrs,HSC,67,45,41,69,77,46,26,44,,53
FRA,8509,Pierre Muh,Dominique Keraudren,CNVC,38,33,55,61,58,53,55,53,,54
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,39,52,49,72,34,66,56,50,,55
FRA,8717,Jacob-Antoine Lortat,Eric de Restrepo,CVP,66,35,44,56,59,52,46,55,,56
FRA,8521,Jean-Louis Guibbal,Matthieu Guibbal,CTVP,63,48,50,51,38,54,63,47,,57
SUI,7953,Adrian Zaugg,Yves Reinacher,SVK,40,49,DNC,66,49,56,59,34,,58
FRA,8704,Jean-Baptiste Dupont,Jerome Legeai,AS,65,51,59,33,55,63,41,57,,59
GER,8519,Robert Wisolek,Oliver Paulzen,SCLW,56,DSQ,46,28,47,20,DNC,DNC,,60
FRA,7999,Serge Gubri,Marc Riot,JMIAM,62,41,56,55,57,41,58,DNC,,61
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,57,43,65,54,65,58,49,52,,62
DEN,8364,Bent Lundsager,Uffe Andersen,FAS,54,40,52,45,48,62,DNC,DNC,,63
FRA,8461,Henri Chemineau,Jean-Claude Ancelot,ANSES,DNC,DSQ,DSQ,50,31,60,38,48,,64
GER,8686,Nicolai Völckner,Lars Derschotte Dehne,HSC,47,DSQ,DNC,17,43,DNC,44,DNC,,65
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,59,39,61,64,64,64,62,DNC,,66
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,64,56,58,65,68,68,51,56,,67
GER,8317,Ursula Tetzlaff,Hartwig Friederichs,WSCW,58,60,DNC,57,51,42,DNC,DNC,,68
FRA,8603,Jean-Philippe Chartier,Alain Chartier,CYVP,68,50,62,70,60,73,67,61,,69
FRA,8623,Eric Brun,Dominique Rouanne,YCCav,55,DSQ,60,68,71,69,53,62,,70
FRA,8444,Eric Schaedelin,Nicolas Follioley,SNBand,60,59,DNC,60,66,49,61,DNC,,71
FRA,8359,Frederic Dalle,Laure Dalle,CNBPP,77,61,66,77,67,76,65,43,,72
FRA,7192,Philippe Claraz,Pascal Jullian,TouOAC,71,62,63,73,74,71,70,46,,73
