SAIL,#,Helm,Crew,Helm Club,Race 1,Race 2,Race 3,Race 4,Race 5,SPONSOR/BOAT,Crew Club,CAT,TOTAL points,NET points,Position
GER,9127,Frederik Schaal,Felix Diesch,SMCÜ,8,[27],12,24,24,,WYC,Open,95,68,20
SUI,9096,Cédric Bart,René Betschen,CNB,9,20,[28],26,17,AXOU,CNB,Sr M,100,72,21
GBR,8929,Simon Potts,Rob Allen,Burghfield Sailing Club,14,17,21,20,[DNC 59],,Salcombe Yacht Club,Open,131,72,22
GBR,9232,Robert Gullan,Rob Ashman,Hayling Island Sailing Club,[28],12,27,27,9,SAILOR SWIFT,Hayling Island Sailing Club,Open,103,75,23
GER,9231,Stefan Giesler,Frank Böhm,VSaW,24,[25],19,19,16,,EnSFr,Sr M,103,78,24
GBR,9124,Terry Scutcher,Matthew Hart,Shotley Sailing Club,31,24,[DNC 59],9,20,,Shotley Sailing Club,Open,143,84,25
GER,9258,Alexander Holzapfel,Arne Wittemer,Post-Sportverein Koblenz,27,[32],18,28,19,KALTES KLARES WASSER,Segel-Club Hattingen,Open,124,92,26
GER,9182,Alexander Swade,Patrick Treichel,,[41],21,20,21,31,,,Open,134,93,27
FRA,9147,Hervé de Kergariou,Geraud Lafortune,Ycif,16,30,[DNC 59],23,29,BONNIE AND CLYDE,Ycif,Open,157,98,28
USA,9179,Pierre Jeangirard,Paul von Grey,PCYC,[40],36,24,29,14,,PCYC,Sr M,143,103,29
FRA,22,Ludovic Roblin,Florence le Brun,Asnq,[39],23,33,22,28,,Asnq,OpenMX,145,106,30
USA,9237,Nigel Oswald,Bruce Edwards,NWMA,30,28,[31],31,23,GOING TO CALIFORNIA,Santa Cruz Yacht Club,Open,143,112,31
GER,8669,Lena Stückl,Nils-Henning Hofmann,Deutscher Touring Yacht Club,26,31,[32],32,25,,Düsseldorfer Yachtclub,OpenMX,146,114,32
USA,9210,Jimmy Franzone,Bjorn Antell,St Francis YC,19,33,29,39,[DNC 59],ROCKET SURGERY,St Francis YC,Open,179,120,33
GER,9197,Nicola Birkner,Angela Stenger,VSaW,33,[40],30,34,26,BIKINI ATOLL,MYC,Open W,163,123,34
FRA,9218,Bertrand Commeil,Charles Commeil,,[44],39,23,35,27,,,Open,168,124,35
SUI,9267,Caroline Jacot,Philippe Jacot,CNB,13,29,26,[DNF 59],DNC 59,SLIVE,CNB,Sr Mx,186,127,36
FRA,9045,Nicolas Guillou,Nicolas Radier,SNPH,37,[43],34,37,21,,CN TREGASTEL,Open,172,129,37
GER,9169,Rayan Schöner,Markus Schöner,NRV,36,44,[DNC 59],38,30,FEELS LIKE TEEN SPIRIT,HSC/NRV,Open,207,148,38
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,YCIF,46,41,36,36,[DNC 59],,CVSQ,OpenMX,218,159,39
GBR,9261,Martin Wedge,Graham Elliot,,49,47,35,33,[DNC 59],ERIC,,Sr M,223,164,40
GER,9256,Jens Biederer,Aron Tellen,Kieler Yacht-Club,7,[DNC 59],DNC 59,DNC 59,DNC 59,,Baltische Segler-Vereinigung,Open,243,184,41
AUS,9204,Matthew Hansen,Simon Burt,Fremantle sailing club/Royal Freshwater bay sailing club,32,35,[DNC 59],DNC 59,DNC 59,,Fremantle sailing club/Royal Freshwater bay sailing club,Sr M,244,185,42
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW,35,37,[DNF 59],DNC 59,DNC 59,,SKBUE,Open,249,190,43
FRA,9150,Valentin Dechauffour,Pierre Gendry,,47,38,[DNC 59],DNC 59,DNC 59,,,Open,262,203,44
FRA,8954,Muriel Agrapart,Franck Agrapart,,43,42,[DNC 59],DNC 59,DNC 59,,,OpenMX,262,203,45
ITA,8916,Enrico Ciferri,Marco Giraldi,CV Vernazzolesi,53,34,[DNC 59],DNC 59,DNC 59,,CVLL,Sr M,264,205,46
GER,9032,Klaus Diesch,Thomas Stemmer,Wuerttembergischer Yacht Club,48,45,[DNC 59],DNC 59,DNC 59,,Wuerttembergischer Yacht Club,Sr M,270,211,47
CAN,9200,"Alexander ""Ali"" Meller",Philip Brown,Kingston Yacht Club,38,[DNF 59],DNC 59,DNC 59,DNC 59,,Weston SC,Sr M,274,215,48
FRA,9221,Frédéric Véroul,Verlhac Aubin Véroul,CN VASSIVIERE,50,49,[DNC 59],DNC 59,DNC 59,,CN VASSIVIERE,Open,276,217,49
FRA,8904,Anaïs Dechauffour,Benoît Radier,SNO Nantes,54,46,[DNC 59],DNC 59,DNC 59,,BNIG,OpenMX,277,218,50
GER,8825,Andréas Jungclaus,Katharina Menge,HSC Hamburger Segel-Club,52,48,[DNC 59],DNC 59,DNC 59,,WEISE,OpenMX,277,218,51
GER,9161,Walter Steding,Hans-Werner Steding,HSC,42,[DNC 59],DNC 59,DNC 59,DNC 59,,,Sr M,278,219,52
FRA,8885,Yves Chene Pierre,Julien Chazet,CN Rostiviec,51,52,[DNC 59],DNC 59,DNC 59,AXOLOTL,CN Rostiviec,Open,280,221,53
GBR,9104,Chris Turner,Colin Parke,Hayling Island Sailing Club,45,[DNC 59],DNS 59,DNC 59,DNC 59,ONE WAY OR ANOTHER,Hayling Island Sailing Club,Sr M,281,222,54
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASNQ,56,50,[DNC 59],DNC 59,DNC 59,,ASNQ,Sr Mx,283,224,55
FRA,9019,Véronique Brenet,Jean-Pierre Peter,A.C.A.L.,55,51,[DNC 59],DNC 59,DNC 59,,A.C.A.L.,Sr Mx,283,224,56
GBR,8243,Gary Fowler,Harry Moffatt,Hunts Sailing Club,57,53,[DNC 59],DNC 59,DNC 59,FAST FORWARD,Hunts Sailing Club,Open,287,228,57
SUI,9060,Catherine Houriet,Giles Donzé,CRG,58,[DNC 59],DNC 59,DNC 59,DNC 59,PATIENCE,CRG,Sr Mx,294,235,58
