SailNo,HelmName,CrewName Special,Total,R1,R2,R3,R4,R5,R6,R7,R8,R9,Nett,Special Price,Rank
GER 9090,Christian Kellner,Martin Schöler,267,42*,47*,23,30,26,38,30,11,20,178,,30
FIN 9069,Jari Hamström,Tuomas Laurila,277,29,17,48*,19,29,29,51*,21,34,178,,31
GER 9101,Stefan Giesler,Frank Böhm,280,41,42*,19,11,39,23,24,58*,23,180,,32
SWE 8666,Anders Dahlén,Magnus Nilsson,291,22,44,34,31,7,37,13,45*,58*,188,,33
SWE 8923,Lars Hultgren,Axel Hultgren,305,21,27,41,35,10,27,53*,56*,35,196,,34
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,311,26,30,43*,26,14,43,32,37,60*,208,,35
FIN 8927,Kaj Lindfors,Johan Halonen,301,17,34,39,33,45*,32,22,34,45*,211,,36
GER 9035,Ronald Roos,Kirsten Roos,346,48,21,37,28,36,50*,68*,27,31,228,Mixed,37
GER 8972,Timon Treichel,Morten Roos,357,40,36,32,43,61*,25,57*,35,28,239,Young,38
GER 8975,Alexander Holzapfel,Antoine Godet,337,37,50*,28,39,34,33,39,33,44*,243,,39
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,385,31,26,72*,46,51,35,66*,18,40,247,Mixed,40
GER 9020,Jörn Wille,Martin Bergmann,363,35,56*,49,22,52,56*,21,36,36,251,,41
DEN 8440,Martin Frideichsen,Mads Christiansen,422,38,35,35,37,20,102 DSQ*,36,62*,57,258,,42
GER 9139,Sebastian Bühlar,Dirk Penno,384,44,54*,66*,45,31,40,28,26,50,264,,43
SWE 8586,Galen Mack,Wilhelm Johannisson,416,102 RET*,49*,38,38,41,49,27,39,33,265,,44
GER 8958,Nicholas Melzwig,Axel Priegann,436,68,66,31,79*,79*,20,52,14,27,278,,45
SWE 8655,Kalle Nilsson,Anders Avén,442,23,40,51,60*,58,31,37,40,102 DNF*,280,Senior,46
GER 9006,Welf Rehberg,Michael Rehberg,406,30,46,40,36,50*,67*,46,50,41,289,,47
GER 8903,Steve Kwee,Thorsten Spötter,438,51,16,33,48,54,53,48,61*,74*,303,,48
POL 9132,Jarosław Grabowski,Michał Olko,429,58*,48,50,41,42,62*,44,52,32,309,,49
GBR 9145,Jim McGillivray,Ian McGillivray,447,43,58,44,52,74*,52,40,59*,25,314,,50
GER 8915,Davina Schlesiger,Marvin Schlesiger,477,52,33,55,42,81*,42,72*,44,56,324,Young,51
RSA 8725,Jonathan Ham,Warwick Ham,506,47,60,47,102 DNS*,68*,36,62,29,55,336,,52
SWE 8581,Per-Anders Hallberg,Bach Frank,478,39,45,58,70*,57,55,31,70*,53,338,,53
POL 8909,Karol Milewski,Bartosz Milewski,487,49,41,54,49,49,57,73*,68*,47,346,Senior,54
FRA 9076,Baptiste Galaup,Nicolas des Jamonières,500,65,55,63,55,73*,73*,23,47,46,354,,55
AUS 9028,Earle Alexander,John McLean,516,69,80*,26,75,77*,48,56,42,43,359,,56
FRA 9068,François de Lisle,Emmanuel Boyer,550,62,85*,65,51,38,54,102 DSQ*,55,38,363,,57
SWE 9038,Lars Bjerke,Tore Reinhold,573,64,73,42,102 DNF*,44,46,41,102 DNS*,59,369,Senior,58
GBR 8860,Bobbie Johnson,James King,526,56,74,45,76*,75*,41,54,54,51,375,Mixed,59
GER 9141,Konrad Otto,Martin Lietz,536,73,43,53,74,47,75*,83*,19,69,378,,60
GBR 9104,Harry Briddon,Adam Kenney,572,57,62,73,68,102 DNC*,39,55,74*,42,396,,61
FRA 8677,Riwanon Le Roy,Jean-Claude Ancelot,560,74,81*,60,67,66,58,49,75*,30,404,Mixed,62
SWE 8848,Marcus Haas,Johan Calvert,609,45,102 DNC*,59,62,48,51,38,102 DNC*,102 DNC,405,,63
FRA 8676,Valentin Dechaffour,Pierre Gendry,552,78*,65*,46,58,56,63,64,57,65,409,Young,64
GER 8932,Christian Henge,Katja Henge,572,76,64,82*,56,40,78*,77,38,61,412,Mixed,65
SWE 8917,Jesper Fowelin,Ton Törm,562,61,59,64,53,55,66*,76*,66,62,420,,66
FRA 9084,Jacques Dechaffour,Sabine Dechaffour,596,50,82*,68,57,70,70,85*,60,54,429,Mixed,67
FRA 9045,Nicolas Guillou,Alain Ferec,589,80*,52,74,78*,71,68,61,41,64,431,Senior,68
GER 9144,Jürgen Anton,Arne Lanatowitz,604,86*,67,76,81*,63,47,43,73,68,437,,69
FIN 8466,Hannu Pöyry,Timo Vennonen,586,60,72*,71,61,67,69,65,72*,49,442,Senior,70
GER 9021,Jens Biederer,Hendrik Annighöfer,595,71,63,69,54,60,65,60,80*,73*,442,,71
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,629,81*,51,70,73,46,60,67,79,102 DNF*,446,Mixed,72
GER 9114,Mats Westholm,Pedro Bohneberger,609,46,59,75*,81*,68 OOD,68 OOD,71,70,71,453,Senior,73
SWE 8787,Johan Johansson,Anders Ekberg,605,75*,76*,61,65,65,72,58,63,70,454,,74
FIN 8053,Petri Ebeling,Juhani Heimsch,615,66,68,75*,64,72,59,63,76*,72,464,,75
GER 9123,Martin Bernauer,Enno Wilts,623,77*,57,57,69,76*,76,75,69,67,470,Senior,76
SWE 8585,Malin Vångfors,Daniel Lundahl,641,79,78,62,80*,69,86*,71,64,52,475,Mixed,77
FRA 9086,Elisabeth Neidhart,David De Monteil,699,55,69,56,47,64,102 DNC*,102 DNC*,102 DNC,102 DNC,495,Mixed,78
GER 8531,Anna Hauschild,Katharina Menge,665,82,70,79,59,85*,81,78,48,83*,497,Female,79
GER 8964,Iris Anton,Raik Wollenbecker,663,87*,79*,78,72,62,77,74,71,63,497,Mixed,80
SWE 8419,Leif Danielsson,Axel Danielsson,703,83,53,84,63,53,102 DSQ*,81,102 DNS*,82,499,,81
GBR 9079,Mark Weston,Simon Hawkes,703,63,102 DNF*,67,66,78,64,59,102 DNC*,102 DNC,499,,82
SWE 8412,David Lawenius,Albert Lawenius,714,46,77,77,102 DNS*,102 DNS*,74,82,77,77,510,,83
SWE 8837,Tord Lawner,Tomas Gustafsson,682,70,83*,80,71,83,61,86*,82,66,513,,84
GER 8630,Lars Lankenau,Anna Dorothea Schipler,738,102 DNF*,92*,87,77,84,82,69,67,78,544,Mixed,85
SWE 8257,Fredrik Molander,Thomas Jaxing,753,84,71,83,102 DNF*,59,84,84,84,102 DNF*,549,,86
DEN 8551,Rasmus Andersen,Lars Henrik Andersen,761,89,91*,90*,82,80,80,87,81,81,580,,87
POL 8358,Jan Domański,Patryk Witkowski,792,102 DNF*,90,86,102 DNF*,87,83,88,78,76,588,,88
DEN 9109,Hans Genefke,Finn Angelo,793,85,84,85,102 DNF*,88,87,80,102 DSQ*,80,589,,89
SWE 8945,Caroline Lexén,Mattias Stenqvist,797,102 DNF*,86,88,102 DNF*,86,79,90,85,79,593,Mixed and Young,90
SWE 9107,Sven Flood,Daniel Rodhe,798,88,88,89,83,82,85,79,102 DNC*,102 DNC*,594,,91
POL 8437,Aleksandra Kachlicka,Kacper Kaczmarek,833,102 DNF*,89,102 DNS,102 DNF,89,102 DSQ,89,83,75,629,Mixed and Young,92
SWE 8651,Peter Andersson,Per-Eric Thörnström,842,67,61,102 DNS*,102 DNS*,102 DNS,102 DNC,102 DNC,102 DNC,102 DNC,638,Senior,93
GBR 8867,Patrick McGale,Paul VonGrey,873,72,87,102 DNS*,102 DNS*,102 DNS,102 DNC,102 DNC,102 DNC,102 DNC,669,,94
GBR 9093,Tudor Owen,Tom Bruton,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,,95
FRA 9099,Riwano Le Roy,Alain Karadjian,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,Mixed,95
POL 8802,Mateusz Jura,Bartosz Chroł,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,,95
SWE 8873,Thomas Lundberg,Mathias Lundberg,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,,95
FIN 8127,Raimo Raita,Juha Nurmela,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,,95
GER 9043,Nicola Birkner,Angela Stenger,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,Female,95
GER 9040,Norbert Dasenbrook,Sven Meier,918,102 DNC*,102 DNC*,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,102 DNC,714,,95
