SAIL,NUMBER,Helm,Crew,CLUB/ORG,PRE-WORLDS - RACE 1,PRE-WORLDS - RACE 2,PRE-WORLDS - RACE 3,PRE-WORLDS - RACE 4,PRE-WORLDS - RACE 5,PRE-WORLDS - RACE 6,TOTAL,NET,Place
USA,8576,Mike Punnett,Rich Mundell,SISA,[37],21,17,16,32,23,146,109,21
USA,9184,Eric Schwab,Clark Hayes,Corpus Christi Yacht Club,12,[29],27,23,21,29,141,112,22
AUS,9227,Chris Gregg,Ian Gregg,Darling Point Sailing Squadron (DPSS),20,14,20,33,[36],25,148,112,23
AUS,9202,Kevin Cameron,Sam Heritage,Darling Point Sailing Squadron,16,23,[DNS - 61],21,37,18,176,115,24
CAN,9216,Robert Tennant,Steve Bourdow,Royal Victoria Yacht Club,26,20,14,29,28,[30],147,117,25
USA,8937,Tim Murphy,Ian Mathiesen,US Sailing,[41],24,32,34,17,21,169,128,26
USA,9237,Bruce Edwards,Shane Illidge,StFYC,[43],31,29,30,23,20,176,133,27
USA,8967,James Golden,Caleb Yoslov,Annapolis Yacht Club/ San Francisco Yacht Club,34,[38],31,36,19,17,175,137,28
USA,9095,Macy Nelson,Nate Barton,West River Sailing Club,36,27,25,[41],25,24,178,137,29
USA,9004,Christian Manchester,Andrea Ciccardi,StFYC,27,25,21,32,33,[36],174,138,30
USA,8930,Duane Delfosse,Mike Hull,LSYC,28,30,30,20,[34],32,174,140,31
USA,9027,Pierre Jeangirard,Langdon Junge,PCYC,17,35,33,22,38,[DNF - 61],206,145,32
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club,29,37,24,[38],26,31,185,147,33
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,35,[42],34,31,27,34,203,161,34
GBR,9236,Neil Fulcher,Jim Hunt,Stone Sc,38,26,[RET - 61],19,20,DNS - 61,225,164,35
GER,9230,Nørbert Dasenbrook,Oliver Stieglitz,HSC,23,39,40,37,[41],33,213,172,36
USA,9208,Elsa Balton,Blaine Pedlow,StFYC,39,33,23,24,[RET - 61],RET - 61,241,180,37
CAN,7606,Robert Bartlewski,Alexis Preel,OHCC Toronto,[42],36,38,40,40,39,235,193,38
CAN,7200,Ali Meller,Angela Stenger,Kingston Yacht Club,25,34,35,[RET - 61],43,RET - 61,259,198,39
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,[DNC - 61],DNC - 61,DNC - 61,DNC - 61,14,2,260,199,40
USA,8266,Steve Anderes,Nathan de Vries,IYC/EYC,32,40,43,[46],44,43,248,202,41
USA,9084,Craig Cobbin,Jeff Holder,Black Rock Y C,31,44,39,[RET - 61],49,41,265,204,42
USA,8782,Colin Wahl,Ian Reeves,Bellingham Community Boating Center,[50],41,42,42,42,38,255,205,43
USA,9009,Ben Coker,Charlie Curtis,Davis Island Yacht Club,[49],43,36,44,46,42,260,211,44
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,46,45,37,[48],47,37,260,212,45
AUS,9073,Carter Jackson,Don Smith,Manly Yacht Club,30,[DNS - 61],DNS - 61,35,30,RET - 61,278,217,46
FRA,9147,Herve de Kergariou,Guillaume de Kergariou,Sshr,[DNC - 61],DNC - 61,DNC - 61,28,35,35,281,220,47
USA,7875,Ian O'Leary,Nat Burk,505 association,45,49,44,45,[50],40,273,223,48
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,44,32,28,[DNC - 61],DNC - 61,DNC - 61,287,226,49
CAN,7611,James R. Brown,Ethan Brown,Wabamun Sailing Club,47,[48],45,47,45,45,277,229,50
USA,8207,Ole Eichhorn,Jotham Schwartz,SBYC,[DNS - 61],50,47,49,48,44,299,238,51
CAN,8755,Brian Trainor,Brendan Trainor,Kitsilano Yacht Club,48,47,41,43,[DNS - 61],DNS - 61,301,240,52
GBR,9261,Martin Wedge,John Ironmonger,Carmaux,40,[DNS - 61],DNS - 61,39,DNS - 61,DNS - 61,323,262,53
USA,8908,Antoine Laussu,Alexandre Laussu,PSSA,51,46,46,[DNC - 61],DNS - 61,DNS - 61,326,265,54
USA,8714,Al Sargent,Adam Wyatt,St. Francis YC / Newcastle Cruising YC,[DNC - 61],DNC - 61,DNC - 61,DNS - 61,DNS - 61,27,332,271,55
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,[DNC - 61],DNC - 61,DNC - 61,DNC - 61,39,DNC - 61,344,283,56
CAN,9138,Marek Balinski,Alex Byczko,OHCC,[DNC - 61],DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,366,305,57
GBR,8435,Patrick Mcgale,Chris Pearson,Queen mary sailing club,[DNC - 61],DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,366,305,58
GBR,9229,Michael Wilson,Phil Hardisty,Isle Of Man Yacht Club,[DNC - 61],DNC - 61,DNC - 61,DNC - 61,DNS - 61,DNS - 61,366,305,59
USA,9252,Douglas Hagan,Keahi Ho,None,[DNC - 61],DNC - 61,DNC - 61,DNF - 61,RET - 61,RET - 61,366,305,60
