Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Position
GER,8625,Alex Cross,Falko Braun,,23,23,(31),22,(27),17,15,16,116,23
GER,8747,Martin Kittsteiner,Dr. Oliver Stieglitz,,14,21,(55) DNC,(55) DNC,25,29,21,7,117,24
GER,8874,Norbaert Dasenbrook,Sven Meier,,12,(55) OCS,24,29,21,19,12,(36),117,25
GER,8666,Gunter Peters,Steffen Achenbach,,24,14,19,(32),29,23,(32),17,126,26
GER,8725,Markus Maisenbacher,Lars Kruse,,25,33,27,(39),31,5,(38),6,127,27
DEN,8826,Tom Bojland,Jakob Karbo,,(29),22,15,18,22,27,25,(31),129,28
GER,8609,Alexander Holzapfel,Stefan Worm,,(33),29,26,25,30,(30),19,1,130,29
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,,32,(55) DNC,22,15,26,21,(35),26,142,30
GER,8843,Nicolai Völckner,Lars Dehne,,38,27,25,33,(55) DNC,(55) DNC,7,14,144,31
GER,8933,Franziska Unkelbach,Angela Stenger,,28,31,(43),34,(36),15,10,30,148,32
GER,8599,Florian Duwe,Markus Keding,,(41),26,21,30,35,9,28,(55) DNC,149,33
GER,8522,Thomas Wieting,Hannes Lehning,,20,24,29,35,32,(37),(47),15,155,34
DEN,8440,Mikkel Christiansen,Mads Christiansen,,27,34,28,21,24,(40),31,(35),165,35
GER,8563,Stefan Schmidt,Tim Mütze,,31,25,34,38,(55) DNC,(55) DNC,36,28,192,36
GER,8788,Karsten Lahrs,Peter Gerdts,,37,40,(55) DNC,(55) DNC,10,28,43,40,198,37
FRA,8752,Nicolas Guillou,Benjamin Thomas,,35,38,38,28,39,(44),20,(55) DNC,198,38
GER,8463,Frieder Achterberg,Arne Lanatowitz,,30,(43),32,37,33,(39),33,34,199,39
GER,8758,Christian Meier-Kothe,Ole Raschdorf,,40,36,(55) OCS,24,(42),31,40,32,203,40
SWE,8475,Philipp Frisch,Katharina Berggren,,(44),42,40,27,41,(43),34,29,213,41
ITA,8127,Marco Gambardella,Roberto Candela,,46,(55) OCS,35,40,34,(55) DSQ,37,27,219,42
GER,8433,Jürgen Anton,Ulf Denecke,,36,28,42,(45),40,36,(44),39,221,43
GER,8929,Jürgen Waldheim,Daniel Wehden,,45,37,33,(55) DNC,37,35,(45),37,224,44
GER,8744,Lutz Kandzia,Rainer Lühr,,(49),35,39,42,(45),38,42,42,238,45
GER,8450,Jürgen Feuerhake,Anne Nehrenberg,,(50),44,44,46,46,24,(48),38,242,46
GER,8418,Jan Sell,Wiebke Gewinn,,39,41,36,43,(44),42,(46),43,244,47
GER,8720,Lennart Tasche,Frederik Tasche,,(47),43,(55) OCS,41,38,41,41,41,245,48
FRA,8742,Noclain Philippe,Noclain Jean Pierre,,(48),39,37,44,43,45,39,(55) DNC,247,49
GER,7861,Henning Ries,Katharina Menge,,(52),46,45,47,48,46,(50),46,278,50
GER,8571,Thomas Brodersen,Roland Herrmann,,51,45,41,55 DNC,(55) DNC,(55) DNC,49,44,285,51
GER,7732,Iris Feldmann,Julia Tanner,,53,47,(55) DNC,(55) DNC,47,47,51,45,290,52
GER,8608,Bernd Rasenack,Axel Oetken,,42,55 OCS,55 OCS,36,55 DNC,55 DNC,(55) DNC,(55) DNC,298,53
GER,8580,Andreas Achterberg,Seeger Michael,,55 DNC,55 DNC,55 DNC,55 DNC,55 DNC,55 DNC,(55) DNC,(55) DNC,330,54
