Nation SailNo,HelmName,Name Crew,,,Cannes,Riva del Garda,Kiel,La Rochelle,Total,Nett,Rank
GER,8843,Olivier Kraft,Frank Heimburger,,-40,32,33,,105,65,30th
FRA,9099,Alain Karadjian,Erwan Grossmann,,(113.0 DNC),28,40,,181,68,31st
GER,8672,Karsten Contag,Guido Von Walter,,35,33,(113.0 DNC),,181,68,32nd
FRA,9012,Arnaud Dini,Melissa Ferrois,,41,36,(113.0 DNC),,190,77,33rd
SUI,9060,Catherine Houriet,Gill Donze,,45,34,(113.0 DNC),,192,79,34th
GER,8777,Jens Olbrysch,Konig Ecleot,,39,42,-48,,129,81,35th
FRA,8671,Piacquadio Messina,Andrea Messina,,47,38,(113.0 DNC),,198,85,36th
SUI,8727,Lorenz Nydegger,Martin Nydegger,,52,41,(113.0 DNC),,206,93,37th
GER,8962,Pia Matscheroth Brodwurm,Sebastian Hoering,,59,(113.0 DNC),35,,207,94,38th
FRA,9076,Xavier Broise,Nicolas Des Jamonieres,,2,(113.0 DNC),113.0 DNC,,228,115,39th
USA,9002,Mike Holt,Rob Woelfel,,3,(113.0 DNC),113.0 DNC,,229,116,40th
GBR,9088,Andy Smith,Tim Needham,,5,(113.0 DNC),113.0 DNC,,231,118,41st
USA,9091,Edward Conrads,Brian Haines,,(113.0 DNC),113.0 DNC,7,,233,120,42nd
DEN,8964,Jan Saugmann,Martin Görge,,(113.0 DNC),113.0 DNC,9,,235,122,43rd
GER,8992,Claas Lehmann,Leon Oehme,,(113.0 DNC),113.0 DNC,12,,238,125,44th
USA,9009,Edwards Bruce,Dave Sheltnon,,12,(113.0 DNC),113.0 DNC,,238,125,45th
GER,8929,Tom Gosch,Rolf Meyer,,(113.0 DNC),113.0 DNC,13,,239,126,46th
FRA,9067,Bertrand Loyal,Laurent Nevo,,(113.0 DNC),113.0 DNC,14,,240,127,47th
GBR,9063,Jim Hunt,Norman Byrd,,(113.0 DNC),15,113.0 DNC,,241,128,48th
FRA,9050,Herve De Kergariou,Basile Geron,,15,(113.0 DNC),113.0 DNC,,241,128,49th
DEN,9023,Tom Bøjland,Anders Friis,,17,(113.0 DNC),113.0 DNC,,243,130,50th
GER,8720,Lennart Tasche,Frederik Tasche,,(113.0 DNC),113.0 DNC,18,,244,131,51st
AUS,9036,Michael Quirk,Daryl Roos,,(113.0 DNC),19,113.0 DNC,,245,132,52nd
FRA,8515,Nicolas Croce,Florian Faucheux,,20,(113.0 DNC),113.0 DNC,,246,133,53rd
GBR,8945,Terry Scutcher,Kenney Adam,,(113.0 DNC),22,113.0 DNC,,248,135,54th
GER,8956,Bernd Rasenack,Stefan Brückner,,(113.0 DNC),113.0 DNC,23,,249,136,55th
ITA,8916,Enrico Ciferri,Gabriele Natali,,(113.0 DNC),23,113.0 DNC,,249,136,56th
GER,9100,Hendrik Schultz,Ute Oberlander,,24,(113.0 DNC),113.0 DNC,,250,137,57th
FRA,8948,Nicolas Guillou,Henry Chevet,,25,(113.0 DNC),113.0 DNC,,251,138,58th
GER,8989,Andreas Jungclaus,Eckart König,,(113.0 DNC),26,113.0 DNC,,252,139,59th
FRA,8900,Serge Gubri,Thibault Di Pede,,26,(113.0 DNC),113.0 DNC,,252,139,60th
GBR,9057,Chris Lewns,Dan Parsons,,(113.0 DNC),27,113.0 DNC,,253,140,61st
FRA,8683,Martin Peculier,Geraud Lafortune,,27,(113.0 DNC),113.0 DNC,,253,140,62nd
GER,8972,Ronald Roos,Morten Roos,,(113.0 DNC),113.0 DNC,28,,254,141,63rd
GBR,9079,Tim Rush,Andrew Short,,28,(113.0 DNC),113.0 DNC,,254,141,64th
FRA,8752,Nicolas Martin,Julien Lafortune,,29,(113.0 DNC),113.0 DNC,,255,142,65th
GBR,9006,Vincent Horay,,,(113.0 DNC),30,113.0 DNC,,256,143,66th
GER,9046,Hartwig Friederichs,Antje Gosch,,(113.0 DNC),113.0 DNC,31,,257,144,67th
FRA,8961,Marc Vibert,Bertrand Lapeyre,,31,(113.0 DNC),113.0 DNC,,257,144,68th
GER,8609,Jörn Wille,Martin Bergmann,,(113.0 DNC),113.0 DNC,32,,258,145,69th
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,32,(113.0 DNC),113.0 DNC,,258,145,70th
FRA,9056,Yves Niddam,Alain Tosello,,33,(113.0 DNC),113.0 DNC,,259,146,71st
FRA,9044,Mathieu Devaux,Philippe Dubuc,,34,(113.0 DNC),113.0 DNC,,260,147,72nd
GBR,8881,Roger Deane,Niall Ferguson,,(113.0 DNC),35,113.0 DNC,,261,148,73rd
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,(113.0 DNC),113.0 DNC,36,,262,149,74th
FRA,8909,Francis Doerenbecher,Philippe Wolff,,36,(113.0 DNC),113.0 DNC,,262,149,75th
FRA,8904,Julien Lafortune,Nicolas Martin,,(113.0 DNC),113.0 DNC,37,,263,150,76th
GBR,9093,Tudor Owen,Nolan Forwood,,(113.0 DNC),37,113.0 DNC,,263,150,77th
FRA,8773,Philippe Markt,Gael Conversy,,37,(113.0 DNC),113.0 DNC,,263,150,78th
GER,8437,Davina Schlesiger,Marvin Schlesiger,,(113.0 DNC),113.0 DNC,38,,264,151,79th
FRA,8729,Robert Ronnback,Jordane Lafortune,,38,(113.0 DNC),113.0 DNC,,264,151,80th
GER,8874,Henning Steffen,Tilman Giesen,,(113.0 DNC),113.0 DNC,39,,265,152,81st
BEL,9066,Jourquin Koen,,,(113.0 DNC),39,113.0 DNC,,265,152,82nd
GER,8666,Michael Kurzeja,Julius Jacoby,,(113.0 DNC),40,113.0 DNC,,266,153,83rd
FRA,9068,Francois De Lisle,Hervé Brillaud,,(113.0 DNC),113.0 DNC,41,,267,154,84th
GER,9000,Enno Wilts,Doreen Jäschke,,(113.0 DNC),113.0 DNC,42,,268,155,85th
AUT,8921,Martin Schmidt,Michael Mayrhofer,,42,(113.0 DNC),113.0 DNC,,268,155,86th
GER,8658,Tina Hoell,Alexander Wilhelm,,(113.0 DNC),43,113.0 DNC,,269,156,87th
FRA,7941,Veronique Brenet,Jean-Pierre Peter,,43,(113.0 DNC),113.0 DNC,,269,156,88th
GER,8669,Nils Dageförde,Jens Lücke,,(113.0 DNC),113.0 DNC,44,,270,157,89th
GER,865*,Anna Hoell,Bernd Heinisch,,(113.0 DNC),44,113.0 DNC,,270,157,90th
FRA,8899,Alain Karadjian,Jean Philippe Gastaud,,44,(113.0 DNC),113.0 DNC,,270,157,91st
GER,8392,Konrad Barop,Dirk Barteldt,,(113.0 DNC),113.0 DNC,45,,271,158,92nd
FRA,9081,Robert Lehmann,Bernard Edel,,(113.0 DNC),45,113.0 DNC,,271,158,93rd
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,,(113.0 DNC),113.0 DNC,46,,272,159,94th
GBR,8907,Jim Berry,David Barnes,,(113.0 DNC),46,113.0 DNC,,272,159,95th
FRA,8980,Michel Boiry,Antoine Ratouis,,46,(113.0 DNC),113.0 DNC,,272,159,96th
GER,6817,Ralf Schneidewind,Oliver Schürmann,,(113.0 DNC),113.0 DNC,47,,273,160,97th
GER,8998,Ingo Schneider,Sebastian Hoering,,(113.0 DNC),47,113.0 DNC,,273,160,98th
ITA,8743,Marco Giraldi,Giuseppe Viaroni,,(113.0 DNC),48,113.0 DNC,,274,161,99th
FRA,8362,Mathieu Glade,Olivier Magret,,48,(113.0 DNC),113.0 DNC,,274,161,100th
GER,9026,Dr. Hasso Plattner,Peter Alarie,,(113.0 DNC),113.0 DNC,49,,275,162,101st
FRA,8695,Jean-Guy Puissant,Bernard Le Guen,,49,(113.0 DNC),113.0 DNC,,275,162,102nd
GER,9029,Jürgen Waldheim,Klaus Heeschen,,(113.0 DNC),113.0 DNC,50,,276,163,103rd
FRA,9024,Claude Gachet,Kleber Valery,,50,(113.0 DNC),113.0 DNC,,276,163,104th
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,,(113.0 DNC),113.0 DNC,51,,277,164,105th
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,51,(113.0 DNC),113.0 DNC,,277,164,106th
FRA,8944,Luca Manzi,Filippo Cucasso,,53,(113.0 DNC),113.0 DNC,,279,166,107th
FRA,8711,Jerome Maupay,Francois Caminade,,54,(113.0 DNC),113.0 DNC,,280,167,108th
FRA,8950,Eric Quemard,Antoine Victor,,55,(113.0 DNC),113.0 DNC,,281,168,109th
FRA,4664,Denis David,Gilles Casanova,,56,(113.0 DNC),113.0 DNC,,282,169,110th
GER,8473,Christoph Bokle,Michael Marker,,57,(113.0 DNC),113.0 DNC,,283,170,111th
FRA,9014,Louis Gibert,Edith Castillon,,58,(113.0 DNC),113.0 DNC,,284,171,112th
