Nation,Baot no,Helm,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,FINAL,Pos.
GBR,6977,B. Tucker,,,36,39,41,30,42,94,188,40
GBR,6980,Neil Thomas,,,38,93,95,9,39,12,191,41
GBR,6944,M.R. Wincer,,,95,66,27,28,41,31,193,42
GBR,6551,N. Thornton,,,95,29,17,94,28,26,194,43
GBR,6606,S. Barter,,,32,27,52,40,45,55,196,44
GBR,6562,B.H. Bullen,,,46,40,47,42,35,41,204,45
GBR,6946,D. Banks,,,95,44,24,41,46,57,212,46
GBR,6807,D. Wood,,,25,47,58,57,38,46,213,47
GBR,6687,Jim Berry,,,22,55,63,49,33,70,222,48
GBR,6177,P. Wills,,,95,61,34,67,24,47,233,49
GBR,6865,A. Hampe,,,42,60,42,36,74,61,241,50=
GBR,6440,D.M. Chisholm,,,31,38,83,62,62,48,241,50=
GBR,6515,R.W. Lee,,,51,35,44,53,95,58,241,50=
GBR,6851,J. Hereward,,,40,93,31,94,60,21,245,53
GBR,6649,D. Sallis,,,63,56,55,29,61,45,246,54
GBR,6880,J. Hitchin,,,28,93,54,55,70,44,251,55=
GBR,6522,B. Watson,,,56,74,33,56,52,54,251,55 =
GBR,6446,J.B. Ingram,,,59,49,74,47,54,49,258,57
GBR,6542,J.M. Drakeford,,,95,48,71,59,44,38,260,58=
GBR,6847,P.T. Fisher,,,95,46,57,65,49,43,260,58 =
GBR,5669,D. White,,,61,70,48,69,26,64,268,60
GBR,6849,J. Mitchell,,,49,67,61,51,59,51,271,61
GBR,6362,J. Parker,,,39,93,39,94,48,56,275,62
GBR,5996,I.W. Wright,,,62,68,45,48,53,75,276,63
GBR,6645,G. Coulson,,,95,62,46,50,56,69,283,64
GBR,6857,D. Bell,,,43,53,65,94,75,50,286,65=
GBR,6444,L. Everitt,,,53,34,66,94,95,39,286,65=
GBR,6790,D. Robertson,,,58,51,59,58,63,63,289,67
GBR,6089,David Wansborough,,,95,57,53,52,72,62,296,68
GBR,5731,W. Hartle,,,95,36,69,44,64,94,307,69
GBR,6850,W.A. Culshaw,,,41,82,80,63,65,59,308,70
GBR,4814,J.E. Kobylanski,,,55,58,70,94,66,60,309,71
IRL,6604,D. O'Sullivan,,,57,50,95,64,78,65,314,72
GBR,6504,C. Thomas,,,66,59,77,94,50,66,318,73
GBR,6696,C.G. Thorne,,,45,52,73,61,95,94,325,74
GBR,6676,R.M. Deane,,,65,63,72,60,95,71,331,75
GBR,6959,W.I. Ingram,,,48,54,60,77,93,104,332,76
GBR,5934,P.J. Jones,,,95,73,67,75,58,67,340,77
GBR,6854,C.C. Brown,,,35,93,56,94,95,68,346,78
GBR,6462,S.R. Morley,,,68,65,76,79,69,74,352,79
GBR,6834,C. Bayliss,,,60,64,95,68,71,94,357,80
GBR,6775,I. Boulderson,,,95,78,51,74,77,79,359,81
GBR,6951,N. Faulkner,,,64,72,84,71,76,77,360,82
GBR,6161,R.J. Longworth,,,95,69,75,70,68,80,362,83
GBR,6359,P. Northeast,,,71,76,78,76,67,76,366,84
GBR,6155,J. Reddy,,,95,93,79,66,57,78,373,85=
GBR,6537,R. Rogers,,,95,77,62,73,80,81,373,85=
GBR,6786,R. Cooper,,,95,75,64,72,105,73,379,87=
GBR,5736,P. Hope,,,54,93,81,94,79,72,379,87=
GBR,6243,A. Smith,,,69,79,85,78,73,88,384,89
GBR,6788,T. Hill,,,52,93,95,94,95,53,387,90=
GBR,6217,D. Pendleton,,,70,71,106,81,83,82,387,90=
GBR,5678,A. Draper,,,95,81,86,84,82,83,416,92
GBR,5264,G. Trout,,,96,80,87,85,81,84,417,93
GBR,5347,R.K. Bodenham,,,95,83,88,82,85,85,423,94
GBR,6407,J. Wastall,,,95,93,89,80,84,87,433,95
GBR,5616,C. Dando,,,95,93,95,83,86,86,443,96
