Nr na żaglu,Team,Klub,R,R1,R2,R3,R4,R5,R6,N,Nr
GBR 9125,Roger Deane,Adam Kenny,Rock,71.0,15.0,24.0,22.0,10.0,(31.0),102.0,21
GER 9110,Tim Böger,Markus Schöner,HSC,73.0,(66.0) DNC,28.0 DPI,17.0,17.0,11.0,139.0,22
GER 8992,Claas Lehmann,Leon Oehme,BSC,74.0,19.0,8.0,21.0,26.0,(28.0),102.0,23
GER 8929,Leonie Meyer,Rolf Meyer,NRV,75.0,(39.0),39.0,8.0,18.0,10.0,114.0,24
FIN 9069,Jari Hamström,Tuomas Laurila,KuoPS,81.0,27.0,32.0,10.0,12.0,(66.0) DNC,147.0,25
RSA 8719,Alexander Ham,Warwick Ham,PSC,82.0,26.0,22.0,18.0,(33.0),16.0,115.0,26
GER 9129,Hasso Plattner,Pete Alorce,KYC,87.0,9.0,23.0,26.0,(43.0),29.0,130.0,27
GER 9101,Stefan Giesler,Frank Böhm,VSAW,99.0,22.0,15.0,(66.0) DNC,37.0,25.0,165.0,28
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,105.0,25.0,29.0,33.0,(44.0),18.0,149.0,29
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,106.0,20.0,33.0,32.0,21.0,(40.0),146.0,30
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,SSAV,109.0,37.0,(42.0),23.0,14.0,35.0,151.0,31
RSA 9063,Matthew Rickard,Richard Hutton-Squire,RSA,112.0,(41.0),28.0,39.0,22.0,23.0,153.0,32
GER 8990,Frieder Achterberg,Wolfgang Stückl,DTYC,117.0,35.0,17.0,30.0,35.0,(66.0) DNC,183.0,33
SWE 7017,Galen Mack,Wilhelm Johannisson,KSSS/RFBYC,121.0,24.0,35.0,25.0,(39.0),37.0,160.0,34
GER 9112,Julian Ramm,Oliver Lewin,KYC,125.0,33.0,(43.0),35.0,25.0,32.0,168.0,35
GER 9040,Norbert Dasenbrook,Sven Meier,SKBUe,128.0,32.0,36.0,24.0,(41.0),36.0,169.0,36
AUS 9028,Earle Alexander,Yannek Wloch,Darling Point SS,140.0,13.0,(49.0),40.0,38.0,49.0,189.0,37
GER 8874,Henning Steffen,Andreas Schmidt,SLRV,145.0,45.0,(46.0),45.0,29.0,26.0,191.0,38
GER 8999,Sophie Söllner,Karsten Stümpel,CYC,145.0,42.0,(45.5) ZFP,42.0,28.0,33.0,190.5,39
GER 8744,Lutz Kandzia,John Christiansen,ASV-HBG,146.0,48.0,(66.0) DNF,37.0,42.0,19.0,212.0,40
GER 9020,Joern Wille,Martin Bergmann,SVAOE,146.0,34.0,38.0,31.0,(46.0),43.0,192.0,41
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,147.0,(52.0),31.0,46.0,32.0,38.0,199.0,42
GER 8843,Olivier Kraft,Frank Heimburger,SSCM,152.0,43.0,34.0,41.0,34.0,(66.0) DNC,218.0,43
GER 9077,Kurt Reincke,Carsten Hehl,HSC,158.0,40.0,27.0,52.0,(66.0) DSQ,39.0,224.0,44
FRA 9086,Elisabeth Neidhart,Matthieu Gougeon,YCIF,163.0,46.0,40.0,(50.0),36.0,41.0,213.0,45
GER 8437,Davina Schlesiger,Marvin Schlesiger,MSC,165.0,47.0,45.0,(54.0),31.0,42.0,219.0,46
GER 8619,Matthias Dachs,Jörn Alberts,HSC,172.0,44.0,(50.0),47.0,47.0,34.0,222.0,47
AUS 8901,Peter Nicholas,Luke Payne,RFBYC,173.0,4.0,37.0,(66.0) DNC,66.0 DNC,66.0 DNC,239.0,48
GER 9000,Martin Bernauer,Enno Wilts,OSG,177.0,(49.0),48.0,38.0,45.0,46.0,226.0,49
GER 8991,Stefan Schmidt,Horst Sjuts,SVSS,178.0,36.0,52.0,43.0,(53.0),47.0,231.0,50
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,184.0,(54.0),41.0,49.0,50.0,44.0,238.0,51
DEN 9109,Hans Genefke,Hs,,185.0,51.0,(57.0) DPI,28.0,56.0,50.0,242.0,52
GER 8964,Iris Anton,Bruno Laudage,HSC,196.0,(53.0),51.0,44.0,49.0,52.0,249.0,53
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,SSAV,196.0,50.0,47.0,(53.0),51.0,48.0,249.0,54
GER 8932,Christian Henge,Katja Henge,WSCW,197.0,(55.0),53.0,51.0,48.0,45.0,252.0,55
GER 8721,Daniel Czeninga,Martin Lietz,SVUK,210.0,(56.0),44.0,56.0,55.0,55.0,266.0,56
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,213.0,(57.0),55.0,55.0,52.0,51.0,270.0,57
GER 8730,Marco Misbach,Andreas Dillmann,KYC,217.0,(58.0),58.0,48.0,58.0,53.0,275.0,58
GER 8500,Katharina Menge,Andreas Schlüter,OSG,224.0,59.0,(60.0) DPI,57.0,54.0,54.0,284.0,59
GER 8630,Lars Lankenau,Anna Dorothea Schipler,SFHS,227.0,(60.0),56.0,58.0,57.0,56.0,287.0,60
GER 9135,Stefan Böhm,Gerald Roos,SCV,236.0,38.0,(66.0) DNF,66.0 DNC,66.0 DNC,66.0 DNC,302.0,61
GER 8741,Jürgen Anton,Ulf Denecke,HSC,264.0,(66.0) DNC,66.0 DNF,66.0 DNC,66.0 DNC,66.0 DNC,330.0,62
GER 9090,Christian Kellner,Martin Schöler,HSC,264.0,(66.0) DNC,66.0 DNF,66.0 DNC,66.0 DNC,66.0 DNC,330.0,62
FRA 8969,Thomas Pype,Romain Delmotte,CVV,264.0,(66.0) DNC,66.0 DNF,66.0 DNC,66.0 DNC,66.0 DNC,330.0,62
GER 8052,Jürgen Feuerhake,Anne Nehrenberg,YCSB,264.0,(66.0) DSQ,66.0 DNF,66.0 DNC,66.0 DNC,66.0 DNC,330.0,62
