Numero Nome,Helm,Crew,club,r1,r2,r3,r4,r5,r6,r7,r8,total,place
GBR 8963,Hodgson Martin,Miles Adrian,Stone Sailing Club/,18,27,(28),17,26,23,17,21,149,27
GER 9195,Roos Ronald,Penno Dirk,SVWu/DTYC,30,(32),29,22,27,24,29,24,185,28
GER 9100,Schultz Hendrik,Zeiler Claudius,SCLW/,24,26,31,28,25,(35),30,22,186,29
GER 8669,Hofmann Nils Henning,Lenz Jan-Hendrik,Dusseldorfer Yachtclub/Düssel,29,(40),26,20,33,34,33,32,207,30
AUS 9204,Matthew Hansen,John McLean,Fremantle Sailing Club/,(45),33,34,25,35,30,21,34,212,31
GER 9197,Nici Birkner,Angela Stenger,VSAW/MYC,(DNF),28,40,34,31,36,28,29,226,32
GER 9040,Dasenbrook Norbert,Schatte Joseph,Kanu- und Segelsportverein Wil,36,35,(DNF),33,34,32,31,26,227,33
AUS 9213,Burford Ian,Christie David,Brighton & Seacliff Yacht Club,(DNF),31,30,39,36,38,38,23,235,34
GER 9135,Biederer Jens,Kindermann Johannes,Hamburger Segel-Club e.V./,33,(44),36,40,38,29,25,36,237,35
AUS 9110,Woolman Peter,Pike Martin,BSYC/BSYC,32,34,41,38,(DNF),28,40,31,244,36
GBR 9105,Mcgillivray Jim,Mcgillivray Ian,Prestwick SC/,34,30,39,37,29,(DNF),45,30,244,37
SUI 8961,Toni Utiger,Markus Heilig,CVE/CVE,25,36,(DNF),DNF,37,31,32,35,248,38
FRA 9219,Neidhart Elisabeth,De Monteil David,YCIF/,35,37,32,(DNF),40,37,36,38,255,39
GER 8988,Persson Ola,Mittermayer Georg,SASS/SCLL,41,(46),37,36,39,33,34,37,257,40
AUS 9225,Alexander Earle,Achterberg Julia,Darling Point SS/,38,39,35,(DNF),43,39,41,28,263,41
AUS 9071,Hyde Richard,Lindsay Gilbert,DPCC/Sandgate Club,39,(48),38,32,44,43,35,41,272,42
GER 8580,Roos Maike,Achterberg Jakob,SVWu/DTYC,(DNF),42,33,30,32,42,42,DNF,273,43
GER 8806,Hauschild Anna,Menge Katharina,Segelclub Seddin/WV,44,38,44,43,(45),44,37,39,289,44
SUI 9060,Catherine Houriet,Gil Donze,CRG/,40,41,42,41,(DNF),DNF,43,40,299,45
GER 8934,Beier Frank,Ritter Hubertus,SCLM/,42,45,45,42,(DNF),DNF,39,42,307,46
GER 8990,Breitenfeldt Ralf,Von Puttkamer Thore,HSC/,(DNF),47,43,44,42,40,48,43,307,47
GBR 8970,Murray Colin,Murray Oly,Invergordon boating club/Ulswa,43,(DNF),DNF,35,41,41,44,DNF,308,48
GER 189,Meyer Friederike,Koch Thorsten Koch,SCLW/SCLW,37,43,(bfd),DNF,DNF,DNF,DNF,DNF,340,49
GER 8998,Schneider Ingo,Hoering Sebastian,SCLW/,(DNF),49,DNF,DNF,DNF,DNF,47,44,348,50
GER 8674,Guido Dors,Sanguino-Petersen Frisco,SCLW/,(DNF),DNF,DNF,DNF,DNF,DNF,DNF,DNF,364,51
