Boat,Helm,Crew,Team Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,,R,N,Place
AUS 9105,Marcos Vivian,Reeve Dunne,RFBYC,18,(51) DNC,51 DNC,25,14,23,14,15,14,11,17,,253,202,19
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,SSAV,23,21,(51) DNC,21,17,17,19,18,18,24,25,,254,203,20
DEN 8440,Mikkel Christiansen,Mads Christiansen,AS,24,28,19,19,13,(51) DNC,26,20,21,23,15,,259,208,21
GER 8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,9,11,17,22,24,8,10,(51) DNC,12,51 DNC,51 DNC,,266,215,22
ITA 8916,Ciferri Enrico,Natali Gabriele,U.S. Quarto,28,20,25,16,27,19,23,25,(51) DNC,14,20,,268,217,23
GER 8929,Thomas Gosch,Antje Gosch,ENSFR,25,24,26,23,25,24,30,21,(51) DNC,18,18,,285,234,24
GER 9043,Nicola Birkner,Angela Stenger,VSAW,(33),25,22,28,26,25,29,23,19,21,23,,274,241,25
GER 8903,Steve Kwee,Thorsten Spötter,HSC,26,23,24,29,29,(37),27,24,20,25,26,,290,253,26
GER 9040,Norbert Dasenbrook,Sven Meier,KSW,20,26,31,20,30,13,31,(51) DNC,51 DNC,20,14,,307,256,27
GER 9113,Sophie Heyer,Robert Rothe,JSC,13,(51) DNC,51 DNC,17,21,28,22,26,15,17,51 DNC,,312,261,28
GER 9835,Stefan Giesler,Frank Böhm,VSAW,27,30,13,(51) DNC,51 DNC,26,25,19,51 DNC,13,22,,328,277,29
DEN 9062,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,(51) DNC,51 DNC,2,8,2,7,15,51 DNC,51 DNC,51 DNC,51 DNC,,340,289,30
GER 8609,Jörn Wille,Martin Bergmann,MSC,29,27,29,(51) DNC,51 DNC,51 DNC,33,22,22,19,28,,362,311,31
GER 8437,Davina Schlesiger,Marvin Schlesiger,MSC,31,29,28,32,32,30,28,(51) DNC,51 DNC,27,29,,368,317,32
GER 8730,Iris Anton,Bruno Laudage,HSC,30,35,33,30,34,35,32,29,23,(51) DNC,51 DNC,,383,332,33
GER 9029,Juergen Waldheim,Thomas Jung,PYC,19,22,21,34,23,22,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,,396,345,34
GER 8775,Jan Sell,Wiebke Gewinn,SVWS,(51) DNC,51 DNC,51 DNC,31,33,32,34,51 DNC,51 DNC,12,24,,421,370,35
SUI 9060,Catherine Houriet,Gil Donzé,YCG,32,31,27,40,35,31,37,(51) DNC,51 DNC,51 DNC,51 DNC,,437,386,36
GER 8392,Dirk Barteldt,Georg Mittermayer,SCVP,35,34,34,39,(51) DNC,34,35,27,51 DNC,51 DNC,51 DNC,,442,391,37
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,(51) DNC,33,32,33,31,36,51 DNC,51 DNC,51 DNC,29,51 DNC,,449,398,38
GER 8721,Daniel Czeninga,Martin Lietz,FSV03E.V,34,32,30,37,37,39,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,,464,413,39
FRA 9086,Elisabeth Neidhart,Fabrice Bouton,YCIF,(51) DNC,51 DNC,51 DNC,35,51 DNC,51 DNC,36,28,51 DNC,51 DNC,51 DNC,,507,456,40
GER 8932,Christian Henge,Katja Henge,OSG,(51) DNC,51 DNC,51 DNC,38,36,33,51 DNS,51 DNC,51 DNC,51 DNC,51 DNC,,515,464,41
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,SSAV,(51) DNC,51 DNC,51 DNC,36,38,38,51 DNS,51 DNC,51 DNC,51 DNC,51 DNC,,520,469,42
FRA 8969,Thomas Pype,Romain Delmotte,CVV,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,27,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,537,486,43
DEN 9109,Hans Genefke,Finn Angelo,HS,(51) DNC,51 DNC,51 DNC,41,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,551,500,44
GER 8052,Jürgen Feuerhake,Anne Nehrenberg,YCSB,(51) DNC,51 DNC,51 DNC,42,51 DNF,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,552,501,45
GER 8317,Christina Burger,Alena Wilkens,ZSK,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,561,510,46
DEN 8964,Jan Saugmann,Martin Görge,,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNF,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,561,510,46
GER 8741,Jürgen Anton,Ulf Denecke,HSC,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,561,510,46
GER 8999,Karsten Stümpel,Peter Gerdts,HSC,(51) DNC,51 DNC,51 DNC,51 DNF,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,561,510,46
GER 9023,Ralph Kämmerle,Max Eisenrieder,,(51) DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,51 DNC,,561,510,46
