 Boat No,Helm,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Position
GBR 8745,Chris Pearson,Brendan Brittliffe,Scarlett,66,72,66,79,61,66,54,71,(99 DNC),634,456,73
AUS 7283,David Meehan,Cameron Dibb,Middlesborough Forver,(99 DNF),57,73,(99 DNF),66,68,58,62,74,656,458,74
AUS 8589,Mark Barber,Rob Bate,The Groove,78,(99 DNC),62,58,68,79,83,78,43,648,466,75
AUS 8605,Nick Murray,Matthew Champtaloup,Chips N Gravy,73,59,69,63,88,59,86,80,68,645,471,76
USA 8790,John Wyles,Andrew Chadwick,If Only,(99 DNF),69,84,53,71,76,73,96,55,676,481,77
FRA 8704,Thibault Di Pede,Christian Marteno,FRA8704,(99 DNF),42,83,76,69,74,81,59,83,666,484,78
FRA 8748,Jerome Terrasson,Gilles Carvallo,Loindani,58,(99 DSQ),67,69,87,82,52,83,80,677,491,79
ZIM 8445,Patrick McCosh,George Calder-Potts,Illusion,76,82,89,65,83,63,56,75,75,664,492,80
AUS 8272,Jay Brown,Dave Delaine,Bonita J,63,83,74,64,84,72,77,74,71,662,495,81
AUS 7534,Martin Pike,Paul Sanderco,Mad Womans Breakfast,70,68,85,80,52,83,84,82,63,667,498,82
AUS 8356,Tessa Parkinson,Bronwyn Polkinghorne,Blondes in Space,75,(99 DNF),75,75,64,60,74,84,89,695,507,83
AUS 8756,Ross Brennan,Bill Kennedy,Verve,89DNF),(99 DNF),(99 DNC),68,89,78,61,79,62,724,526,84
AUS 7984,Will Gunzburg,Steve Knuckey,Dash,99DNF),73,(99 DNF),73,76,(99 DNF),75,61,77,732,534,85
AUS 8803,Kate Quinn,Nick Dahl,Black & White Parts,72,60,76,72,93,88,79,(99 DSQ),(99 DNF),738,540,86
AUS 8764,Geoff Holden,John Tyrell,Tigger Time,77,84,77,82,72,87,68,90,(99 DNC),736,547,87
AUS 8558,Richard Hyde,Samuel Hyde,Rage,68,(99 DNC),78,70,91,89,82,85,78,740,550,88
AUS 8606,Adrian Cooper,Amy Cooper,"Bacon & Eggs, Eh!",71,(99 DNF),(99 DNC),66,92,81,89,92,79,768,570,89
AUS 8668,David Perlman,Ian Jenkins,Flight of the Cosmic Hippo,(99 DNF),74,80,71,94,(99 DNF),94,86,76,773,575,90
AUS 8183,Jason Wallington,Chris Carter,Nauticall Girl,(99 DNF),80,87,77,90,84,80,88,81,766,577,91
AUS 8274,John Hands,Peter Readman,Minus 5,61,(99 DNF),82,83,96,94,95,87,82,779,584,92
AUS 8292,Mark Srymgour,Tom Brand,Zooom,80,85,(99 DNF),84,82,85,87,97,88,787,591,93
AUS 7478,Norman Brandon,Darryl Bentley,Swift,74,(99 DNF),79,(99 DSQ),85,92,91,89,86,794,596,94
GBR 8435,Patrick McGale,Michael Nolan,,(99 DNF),86,81,78,86,91,93,91,84,789,597,95
USA 8578,Allan Staley,Paul Von Grey,Buddah,79,(99 DNF),88,81,95,90,90,93,90,805,611,96
ZIM 8481,Kevin O'Connor,Leo Huizenga,Tanga,99DNF),(99 DNF),90,(99 DNC),77,86,88,95,85,818,620,97
CAN 8755,Brian Trainor,Richard McDonald,Banshee,99DNF),99DNF),(99 DNC),(99 DNF),97,93,92,94,87,859,661,98
