Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
AUS,9269,Mark Stowell,Brandon Hargeaves,RFBYC,[37],30,22,14,30,14,147,110,24
GBR,9285,Simon Potts,Rob Allen,Burghfield SC / Netley SC / Salcombe YC,30,22,23,16,[35],21,147,112,25
CAN,9207,Robert Tennant,Stephen Bourdow,Royal Victoria Yacht Club,28,25,[83 DNF],32,14,16,198,115,26
AUS,9194,David Snoad,Heath Belton,Largs Bay SC,38,18,13,40,[42],17,168,126,27
SWE,9181,Malin Broberg,Johan Röök,Bkss,31,[56],27,31,23,23,191,135,28
GBR,9253,Peter Colclough,Alister Morley,Salcombe YC,24,[38],32,34,28,25,181,143,29
GBR,9124,Terry Scutcher,Daniel Martin,Shotley SC,22,27,29,[46],36,31,191,145,30
FRA,9147,Hervé de Kergariou,Valentin Dechauffour,Yacht Club Île de France,36,34,19,25,34,[50],198,148,31
RSA,8955,Peter Funke,Thomas Funke,PYC/Aeolians,33,31,34,27,25,[83 DNC],233,150,32
RSA,8725,Alexander Ham,Warwick Ham,Pretoria Sailing Club,23,36,[83 DNF],33,19,40,234,151,33
USA,9252,Douglas Hagan,Nalu Ho,PCYC,39,15,[83 DNC],5,10,83 DNC,235,152,34
SWE,9171,Martin Fridh,Tore Reinhold,BKSS/LBS,34,[44],25,36,32,28,199,155,35
GER,9185,Stefan Böhm,Gerald Roos,SCV / RCR,29,17,[83 DNC],39,53,19,240,157,36
GBR,9177,Tom Jeffcoate,Tim Hartley,Chew Valley Lake SC,26,37,30,[38],38,27,196,158,37
GER,9231,Stefan Giesler,Frank Böhm,VSaW/SCV,47,32,37,29,15,[83 DNC],243,160,38
USA,9179,Pierre Jeangirard,Paul von Grey,PCYC,32,52,[83 DNF],48,26,18,259,176,39
CAN,9200,"Alexander ""Ali"" Meller",Devlin Lovshin,Kingston Yacht Club,[60],49,36,47,18,34,244,184,40
GBR,9277,Steve Quigley,Jarrod Simpson,Hayling Island SC,16,28,33,[83 RET],31,83 RET,274,191,41
GBR,8991,Nicholas Meadow,Scott Dawson,Warsash SC,45,47,31,42,[58],29,252,194,42
GER,9197,Nicola Birkner,Angela Stenger,VSaW,42,48,47,15,44,[83 RET],279,196,43
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,Royal Swedish Yacht Society,40,42,[56],44,45,36,263,207,44
USA,9210,Jimmy Franzone,Bjorn Antell,St Francis Yacht Club,51,41,28,50,39,[83 RET],292,209,45
FRA,9220,Philippe Boite,Timothée Chiron,Cvsq,17,[83 DNF],83 DNC,83 DNC,22,8,296,213,46
BEL,9163,Pierre Gorremans,Jean Gorremans,Zeilclub NLM,[65],46,44,45,50,35,285,220,47
GBR,8970,Aled Llewellyn-Jones,Arthur Bailey,Oxford Sailing Club,50,[58],48,58,46,30,290,232,48
GBR,8881,Tim Penfold,Matthew Alvarado,Hayling Island SC,41,33,35,41,[83 DNC],83 RET,316,233,49
GBR,9261,Martin Wedge,Graham Elliott,UK 505 Association,52,45,38,[55],54,44,288,233,50
GBR,8964,Holly Mitchell,Adam Aziz,Hayling Island SC,[53],51,39,43,52,48,286,233,51
GBR,8857,Andy Carter,Keith Summersgill,Leigh and Lowton,64,57,49,37,[65],32,304,239,52
GER,9234,Norbert Dasenbrook,Oliver Stieglitz,KSW,46,[60],43,60,51,42,302,242,53
BEL,9121,Paul Gorremans,Capaie Wauka,NLM,[83 DNC],61,41,51,56,37,329,246,54
GER,9169,Rayan Schöner,Markus Schöner,NRV,44,39,40,53,76,[83 DNC],335,252,55
GBR,9238,Chris Turner,Colin Parke,Hayling Island SC,54,53,53,[72],49,43,324,252,56
GBR,8708,Samuel Goult,Alexander Brown,FPSC,49,50,45,52,61,[83 DNC],340,257,57
GBR,8378,Terry Curtis,Peter Greig,Castle Cove SC,56,55,42,65,[71],41,330,259,58
GBR,8514,Ben Townsend,Ed Richardson,Emsworth Sailing Club,57,43,[83 DNC],67,66,33,349,266,59
GBR,9203,Johnny Costard,Simon Childs,Hayling Island SC,55,35,58,[83 DNC],41,83 RET,355,272,60
GBR,9236,Jim Blyth,Darrel Samanjoul,Largo Bay,[83 DNC],83 DNC,83 DNC,28,47,39,363,280,61
RSA,9071,Drew Scott,Tayo Scott,KNYSNA YACHT CLUB,61,66,59,49,[67],46,348,281,62
BEL,9081,Cédric Crets,Lionel Lambert,RCNV,62,63,50,59,[68],47,349,281,63
USA,9228,Brian Haines,Edward Conrads,Tahoe Yacht Club,[83 DNC],83 DNC,83 DNC,26,12,83 RET,370,287,64
AUS,9225,Murray Gilbert,Lindsay Gilbert,Sandgate Yacht Club,59,59,46,61,62,[83 RET],370,287,65
SWE,8926,Ebbe Rosén,Olle Wenrup,Malarhojdens KS [MKS],19,[83 DNF],83 DNC,35,83 DNF,83 DNC,386,303,66
GER,8750,Mirco Gantenberg,Jacob Niewiarra,Segel-Club Hattingen,48,65,[83 DNF],54,64,83 RET,397,314,67
GBR,7144,Richard Gibb,Matthew Gibb,Weston SC,[83 DNF],71,57,73,74,49,407,324,68
FRA,9045,Nicolas Guillou,Nicolas Radier,Sport Nautique et Plaisance du Havre,[83 DNC],83 DNC,83 DNC,62,59,38,408,325,69
GBR,8511,Steve Culpitt,Mark Nicholson,Hayling Island SC,[83 DNC],83 DNC,83 DNC,57,57,45,408,325,70
GER,6815,Andréas Jungclaus,Katharina Menge,Hamburger Segel-Club,68,67,55,64,72,[83 DNC],409,326,71
GBR,8749,Keith McQuillin,John Driscoll,Spinnaker Sailing Club,66,69,54,68,70,[83 DNF],410,327,72
AUS,9257,Nigel Lott,Harry Moffatt,DPSS,[83 DNC],68,52,56,69,83 RET,411,328,73
GBR,800*,Martin Spence,Peter Cowley,USSC,69,70,51,70,[83 DNF],83 DNC,426,343,74
GER,8932,Christian Henge,Katja Henge,WeiSe E.V.,67,64,[83 DNC],66,63,83 DNC,426,343,75
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,Segelsällskapet Åmålsviken,58,54,[83 DNC],83 DNC,83 DNC,83 DNC,444,361,76
USA,8867,Anne Fitzpatrick,Christian Pittack,PCYC,63,62,[83 DNF],83 DNC,83 DNC,83 DNC,457,374,77
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,YCIF,43,[83 DNF],83 DNC,83 DNC,83 DNC,83 DNC,458,375,78
FRA,9221,Frédéric Véroul,Verlhac Aubin Véroul,CN Vassivière,[83 DNC],83 DNC,83 DNC,83 DNC,55,83 DNC,470,387,79
GBR,9168,Miles Odell,Andrew Streeter,Hayling & Northampton,[83 DNC],83 DNC,83 DNC,63,75,83 DNC,470,387,80
FRA,9145,Louis Radier,Arthur Radier,ASPTT VOILE LA ROCHELLE,[83 DNC],83 DNC,83 DNC,83 DNC,60,83 DNC,475,392,81
GBR,8383,Philip Brown,Gareth Thomas,Weston SC,[83 DNC],83 DNC,83 DNC,71,73,83 RET,476,393,82
