Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Netto,Place
GER,8932,Christian Henge,Katja Henge,WeiSe E.V.,79,73,[91 DNF],78,[84],78,70,72,58,72,755,580,81
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,Segelsällskapet Åmålsviken,82,77,61,81,76,[91 DNC],48,74,[91 DNF],91 DNC,772,590,82
GBR,8423,Stuart Doe,Phill Newsom,Thorney Island Sailing Club,71,67,63,72,[85],[86],84,79,82,75,764,593,83
GBR,9238,Chris Turner,Colin Parke,Hayling Island SC,80,79,76,77,78,59,[86],[84],83,66,768,598,84
GER,6815,Andréas Jungclaus,Katharina Menge,Hamburger Segel-Club,78,[91 DNF],74,[82],73,75,78,77,80,65,773,600,85
GBR,8511,Steve Culpitt,Mark Nicholson,Hayling Island SC,76,78,78,80,81,74,83,71,[91 DNC],[91 DNC],803,621,86
GBR,8383,Philip Brown,Gareth Thomas/Martin Spence,Weston SC,84,80,[91 DNF],[91 DNF],87,85,85,81,81,78,843,661,87
GBR,7144,Richard Gibb,Matthew Gibb,Weston SC,83,82,83,84,[89],[87],87,85,85,79,844,668,88
GBR,8793,Gary Fowler,Joe/Sam Fowler,Hunt's SC,85,81,81,83,[88],[88],88,86,84,80,844,668,89
GBR,8591,Martin Spence,Peter Cowley,USSC,[91 DNC],[91 DNC],91 DNC,91 DNC,91 DNC,91 DNC,91 DNC,91 DNC,91 DNC,91 DNC,910,728,90
