C Boat No,Helm,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Position,
AUS 8499,Alexander Meller,Malcolm ‚Pip’ Pearson,Blue Slip,,35( 35),31( 31),14( 14),17( 17),[ 43]( 43),10( 10),27( 27),30( 30),[ 35]( 35),242,164,28
GER 8632,Claas Lehmann,Klaus Stammerjohann,Meister Potter,,[ 45]( 45),23( 23),40( 40),30( 30),[ 42]( 42),24( 24),16( 16),17( 17),16( 16),253,166,29
USA 8012,Henry Amthor,Steve Sparkman,Herk,,23( 23),21( 21),[ 45]( 45),7( 7),27( 27),[ 42]( 42),29( 29),26( 26),34( 34),254,167,30
USA 8643,Barney Harris,Clayton James,Spots Revenge,,37( 37),32( 32),[ 41]( 41),31( 31),[ 48]( 48),18( 18),20( 20),20( 20),26( 26),273,184,31
AUS 8810,David Alexander,Marcus Cooper,GO,,28( 28),28( 28),26( 26),[ 99](DSQ),[ 53]( 53),50( 50),33( 33),16( 16),14( 14),347,195,32
AUS 8710,Justin Mitchell,Ken Mitchell,Mitchell Sails,,43( 43),47( 47),34( 34),25( 25),29( 29),11( 11),[ 99](DNC),25( 25),[ 99](DNF),412,214,33
AUS 8738,Paul Mitchell,Sam Haines,2 Minute Noodle Tour,,[ 99](DNF),18( 18),31( 31),18( 18),[ 51]( 51),44( 44),22( 22),45( 45),41( 41),369,219,34
AUS 8177,Michael Navarro,Simon Wilder,Lock Stock and Two Smokin Barrels,,40( 40),41( 41),33( 33),[ 99](DSQ),5( 5),28( 28),40.5( 40),36( 36),[ 44]( 44),366.5,223.5,35
GBR 8705,Thoralf Greger,Angela Stenger,GBR 8705,,64( 64),[ 64]( 64),42( 42),[ 67]( 67),6( 6),43( 43),25( 25),42( 42),17( 17),370,239,36
GBR 8555,David Smithwhite,Neil Fulcher,,,1( 1),25( 25),25( 25),[ 99](DSQ),58( 58),[ 58]( 58),36( 36),56( 56),46( 46),404,247,37
USA 8731,Thad Lieb,Mike Smith,,,32( 32),[ 49]( 49),47( 47),46( 46),8( 8),39( 39),48( 48),[ 48]( 48),30( 30),347,250,38
AUS 8798,Mark Stowell,Scott Bailey,Blue Lightning,,25( 25),45( 45),[ 72]( 72),28( 28),25( 25),[ 70]( 70),43( 43),57( 57),38( 38),403,261,39
GBR 8419,Stuart Turnbull,Jason Lunn,GBR 8419,,54( 54),46( 46),53( 53),35( 35),21( 21),22( 22),40.5( 40),[ 66]( 66),[ 72]( 72),409.5,271.5,40
GBR 8552,Russel Short,Andrew Short,Rapid Transport,,48( 48),[ 79]( 79),56( 56),48( 48),46( 46),33( 33),23( 23),29( 29),[ 61]( 61),423,283,41
GER 8692,Nicolai Völckner,Johannes Tellen,"Un Homme, Un Bateau",,[ 99](DSQ),52( 52),17( 17),[ 99](DSQ),30( 30),48( 48),35( 35),54( 54),50( 50),484,286,42
GBR 8460,Martin Goult,Gordon Russell,Skippy,,38( 38),[ 66]( 66),43( 43),[ 99](DNC),38( 38),51( 51),39( 39),37( 37),42( 42),453,288,43
AUS 8618,Torvar Mirsky,Bjorn Nielsen,Saltwater Wine,,[ 99](DNF),[ 75]( 75),55( 55),36( 36),49( 49),45( 45),51( 51),33( 33),21( 21),464,290,44
AUS 8759,Scott Ovenden,Bryce Penfold,The Missus,,52( 52),53( 53),44( 44),41( 41),44( 44),[ 53]( 53),[ 99](DNF),35( 35),24( 24),445,293,45
AUS 8547,Anthony Gaunt,Michael Duffield,Angry Dragon,,34( 34),[ 77]( 77),37( 37),29( 29),26( 26),[ 77]( 77),69( 69),63( 63),39( 39),451,297,46
AUS 8223,Steve Kennedy,Luke Patterson,Attack of the Clowns,,42( 42),[ 71]( 71),36( 36),45( 45),50( 50),35( 35),38( 38),[ 68]( 68),51( 51),436,297,47
GBR 8464,David Hitchcock,Ian Nicholson,GBR,,51( 51),30( 30),54( 54),37( 37),[ 70]( 70),[ 64]( 64),44( 44),50( 50),37( 37),437,303,48
AUS 8173,Michael Babbage,Jeremy Fussell,Fussbuss,,[ 59]( 59),[ 70]( 70),46( 46),55( 55),31( 31),41( 41),42( 42),40( 40),48( 48),432,303,49
AUS 8785,Ian Burford,Wayne Boyd,SS Cardsharks,,[ 99](DNF),44( 44),29( 29),54( 54),22( 22),71( 71),[ 71]( 71),53( 53),32( 32),475,305,50
AUS 8501,Stuart Campbell,Ian Pinder,Hot Pursuit,,47( 47),35( 35),[ 71]( 71),44( 44),36( 36),49( 49),46( 46),[ 67]( 67),53( 53),448,310,51
AUS 8506,Mark Robertshaw,Peter Crommelin,Frontier Psychiatry,,24( 24),19( 19),50( 50),38( 38),[ 99](DNF),[ 80]( 80),67( 67),49( 49),69( 69),495,316,52
GBR 8556,Mike Hart,Chris Gowers,Coolio Julio,,33( 33),34( 34),[ 57]( 57),50( 50),56( 56),47( 47),[ 59]( 59),52( 52),45( 45),433,317,53
GER 8777,Stefan Schollmayer,Frisco Sanguino,Strawberry,,57( 57),56( 56),[ 64]( 64),57( 57),45( 45),36( 36),30( 30),[ 58]( 58),40( 40),443,321,54
GBR 8708,Martin Wedge,Scott Allen,,,62( 62),[ 67]( 67),52( 52),61( 61),[ 65]( 65),23( 23),31( 31),41( 41),52( 52),454,322,55
NZL 8044,Ben Duncan,Colin Spence,Narcotic,,29( 29),51( 51),[ 68]( 68),40( 40),[ 67]( 67),57( 57),62( 62),55( 55),28( 28),457,322,56
AUS 8811,Matthew Hansen,Shane Attwell,Crimson Autograph,,44( 44),43( 43),[ 99](DNF),34( 34),47( 47),55( 55),64( 64),39( 39),[ 65]( 65),490,326,57
AUS 8399,Bill Cuneo,Luke White,Spaceframe Buildings,,50( 50),48( 48),49( 49),33( 33),[ 54]( 54),[ 61]( 61),49( 49),51( 51),47( 47),442,327,58
AUS 8739,Ian Dunn,David Horsfall,Show Me the Money,,36( 36),39( 39),48( 48),56( 56),39( 39),[ 65]( 65),57( 57),64( 64),[ 66]( 66),470,339,59
AUS 8588,Murray Smith,Michael Hughes,Project,,55( 55),[ 99](DNF),27( 27),32( 32),[ 81]( 81),40( 40),60( 60),72( 72),58( 58),524,344,60
AUS 8524,Nigel Lott,Ian Gregg,Maroon Magic,,65( 65),40( 40),58( 58),[ 99](DSQ),[ 73]( 73),69( 69),50( 50),43( 43),27( 27),524,352,61
AUS 8345,Renee de Voogd,Anthony Dean,Galaxie,,67( 67),33( 33),65( 65),49( 49),[ 75]( 75),37( 37),[ 78]( 78),47( 47),54( 54),505,352,62
AUS 8628,Brian Robinson,Paul Harris,Grumpy Old Men,,[ 99](DNF),[ 81]( 81),51( 51),52( 52),55( 55),52( 52),37( 37),38( 38),67( 67),532,352,63
AUS 8498,Edward Cox,Brad Clarke,AUS 8498,,46( 46),61( 61),59( 59),42( 42),28( 28),[ 99](DNF),65( 65),[ 69]( 69),59( 59),528,360,64
USA 8808,Evert Meyer,Jeff Nelson,Assegaai,,39( 39),54( 54),[ 99](DSQ),39( 39),35( 35),[ 75]( 75),72( 72),60( 60),70( 70),543,369,65
AUS 8783,Fletcher Kennedy,Ben Greenhough,Lucy Furr,,69( 69),58( 58),[ 86]( 86),51( 51),[ 79]( 79),32( 32),53( 53),46( 46),73( 73),547,382,66
AUS 8781,Earle Alexander,Dustin Carlsson,Audit Services International,,56( 56),55( 55),39( 39),59( 59),[ 74]( 74),[ 67]( 67),55( 55),65( 65),60( 60),530,389,67
AUS 8648,Jeffrey Robinson,Mick O'Donnell,www.watzhout.com.au,,49( 49),63( 63),61( 61),60( 60),62( 62),62( 62),[ 85]( 85),[ 81]( 81),49( 49),572,406,68
GBR 8726,Martin Stainsby,Steve Watson,Black Pig,,[ 99](DNF),76( 76),60( 60),43( 43),60( 60),[ 99](DNF),63( 63),70( 70),57( 57),627,429,69
AUS 8041,Ben Hunter,Ben Amos,Lunarsea,,53( 53),65( 65),63( 63),47( 47),[ 80]( 80),73( 73),66( 66),[ 77]( 77),64( 64),588,431,70
USA 8616,Dave Chatham,Graham Schelter,Pink Taco,,[ 99](DNF),62( 62),[ 99](DNC),62( 62),63( 63),46( 46),70( 70),73( 73),56( 56),630,432,71
USA 7156,Aaron Ross,Nicholas Hancock,Money Shot,,60( 60),78( 78),70( 70),74( 74),[ 78]( 78),38( 38),45( 45),76( 76),[ 99](DNC),618,441,72
GBR 8745,Chris Pearson,Brendan Brittliffe,Scarlett,,66( 66),72( 72),66( 66),[ 79]( 79),61( 61),66( 66),54( 54),71( 71),[ 99](DNC),634,456,73
AUS 7283,David Meehan,Cameron Dibb,Middlesborough Forver,,[ 99](DNF),57( 57),73( 73),[ 99](DNF),66( 66),68( 68),58( 58),62( 62),74( 74),656,458,74
AUS 8589,Mark Barber,Rob Bate,The Groove,,78( 78),[ 99](DNC),62( 62),58( 58),68( 68),79( 79),[ 83]( 83),78( 78),43( 43),648,466,75
AUS 8605,Nick Murray,Matthew Champtaloup,Chips N Gravy,,73( 73),59( 59),69( 69),63( 63),[ 88]( 88),59( 59),[ 86]( 86),80( 80),68( 68),645,471,76
USA 8790,John Wyles,Andrew Chadwick,If Only,,[ 99](DNF),69( 69),84( 84),53( 53),71( 71),76( 76),73( 73),[ 96]( 96),55( 55),676,481,77
FRA 8704,Thibault Di Pede,Christian Marteno,FRA8704,,[ 99](DNF),42( 42),83( 83),76( 76),69( 69),74( 74),81( 81),59( 59),[ 83]( 83),666,484,78
FRA 8748,Jerome Terrasson,Gilles Carvallo,Loindani,,58( 58),[ 99](DSQ),67( 67),69( 69),[ 87]( 87),82( 82),52( 52),83( 83),80( 80),677,491,79
ZIM 8445,Patrick McCosh,George Calder-Potts,Illusion,,76( 76),82( 82),[ 89]( 89),65( 65),[ 83]( 83),63( 63),56( 56),75( 75),75( 75),664,492,80
AUS 8272,Jay Brown,Dave Delaine,Bonita J,,63( 63),[ 83]( 83),74( 74),64( 64),[ 84]( 84),72( 72),77( 77),74( 74),71( 71),662,495,81
AUS 7534,Martin Pike,Paul Sanderco,Mad Womans Breakfast,,70( 70),68( 68),[ 85]( 85),80( 80),52( 52),83( 83),[ 84]( 84),82( 82),63( 63),667,498,82
AUS 8356,Tessa Parkinson,Bronwyn Polkinghorne,Blondes in Space,,75( 75),[ 99](DNF),75( 75),75( 75),64( 64),60( 60),74( 74),84( 84),[ 89]( 89),695,507,83
AUS 8756,Ross Brennan,Bill Kennedy,Verve,,89(DNF),[ 99](DNF),[ 99](DNC),68( 68),89( 89),78( 78),61( 61),79( 79),62( 62),724,526,84
AUS 7984,Will Gunzburg,Steve Knuckey,Dash,,99(DNF),73( 73),[ 99](DNF),73( 73),76( 76),[ 99](DNF),75( 75),61( 61),77( 77),732,534,85
AUS 8803,Kate Quinn,Nick Dahl,Black & White Parts,,72( 72),60( 60),76( 76),72( 72),93( 93),88( 88),79( 79),[ 99](DSQ),[ 99](DNF),738,540,86
AUS 8764,Geoff Holden,John Tyrell,Tigger Time,,77( 77),84( 84),77( 77),82( 82),72( 72),87( 87),68( 68),[ 90]( 90),[ 99](DNC),736,547,87
AUS 8558,Richard Hyde,Samuel Hyde,Rage,,68( 68),[ 99](DNC),78( 78),70( 70),[ 91]( 91),89( 89),82( 82),85( 85),78( 78),740,550,88
AUS 8606,Adrian Cooper,Amy Cooper,"Bacon & Eggs, Eh!",,71( 71),[ 99](DNF),[ 99](DNC),66( 66),92( 92),81( 81),89( 89),92( 92),79( 79),768,570,89
AUS 8668,Dave Perlman,Ian Jenkins,Flight of the Cosmic Hippo,,[ 99](DNF),74( 74),80( 80),71( 71),94( 94),[ 99](DNF),94( 94),86( 86),76( 76),773,575,90
AUS 8183,Jason Wallington,Chris Carter,Nauticall Girl,,[ 99](DNF),80( 80),87( 87),77( 77),[ 90]( 90),84( 84),80( 80),88( 88),81( 81),766,577,91
AUS 8274,John Hands,Peter Readman,Minus 5,,61( 61),[ 99](DNF),82( 82),83( 83),[ 96]( 96),94( 94),95( 95),87( 87),82( 82),779,584,92
AUS 8292,Mark Srymgour,Tom Brand,Zooom,,80( 80),85( 85),[ 99](DNF),84( 84),82( 82),85( 85),87( 87),[ 97]( 97),88( 88),787,591,93
AUS 7478,Norman Brandon,Darryl Bentley,Swift,,74( 74),[ 99](DNF),79( 79),[ 99](DSQ),85( 85),92( 92),91( 91),89( 89),86( 86),794,596,94
GBR 8435,Patrick McGale,Michael Nolan,,,[ 99](DNF),86( 86),81( 81),78( 78),86( 86),91( 91),[ 93]( 93),91( 91),84( 84),789,597,95
USA 8578,Allan Staley,Paul Von Grey,Buddah,,79( 79),[ 99](DNF),88( 88),81( 81),[ 95]( 95),90( 90),90( 90),93( 93),90( 90),805,611,96
ZIM 8481,Kevin O'Connor,Leo Huizenga,Tanga,,99(DNF),[ 99](DNF),90( 90),[ 99](DNC),77( 77),86( 86),88( 88),95( 95),85( 85),818,620,97
CAN 8755,Brian Trainor,Richard McDonald,Banshee,,99(DNF),99(DNF),[ 99](DNC),[ 99](DNF),97( 97),93( 93),92( 92),94( 94),87( 87),859,661,98
