Nation,Boat,Helmsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,No.
GBR,7972,Nick Peters,Ian McGaw,,23,D,R,8,26,N,235,53
GBR,7161,George Thomson,Robert Waughman,,56,52,53,40,48,43,236,54
GBR,7818,Paul Aldridge,Michael Bees,,55,44,42,44,52,R,237,55
GBR,7692,Stephen Northeast,Brian Lomas,,69,57,32,61,56,36,242,56
GBR,7806,Barry Watkin,Andrew Partridge,,73,55,50,50,49,39,243,57
GBR,7541,Simon Jones,Toby Bowen,,50,61,52,57,43,41,243,58
GBR,7914,David Lines,Peter Dawson,,60,36,31,33,R,R,248,59
GBR,7862,Stephen Drakeford,Bob Coles,,67,71,41,67,44,33,252,60
GBR,7379,Ian Wilson,Rodney Collins,,72,42,58,55,58,40,253,61
GBR,6790,John McLeman,A. Stevens,,66,54,57,53,51,44,259,62
GBR,7575,Nick Faulkner,Dave Borret,,70,48,55,48,65,50,266,63
GBR,7845,Philip lnscoe,Michael Geernaert,,48,D,43,65,R,24,268,64
GBR,7898,John Howlett,Ian Jewry,,53,58,20,56,R,R,275,65
GBR,6675,Stuart Goodman,Simon Wood,,64,63,49,64,59,R,299,66
GBR,6873,Diana Hewitt,Adrian Hewitt,,46,62,R,45,68,R,309,67
GBR,7311,Jim Andrew,Stewart Orr,,63,67,59,77,69,51,309,68
GBR,7600,Leslie Everitt,Neil Turner,,59,46,R,70,64,N,327,69
GBR,7505,Peter Lowe,John White,,77,73,R,68,61,53,332,70
GBR,6958,Peter Herd,Guy Spencer,,62,74,R,71,72,54,333,71
GBR,7651,Jim Donaldson,Ali Gordon,,58,64,D,63,63,R,336,72
GBR,7006,Tom Short,Alex MacFadzean,,75,68,R,75,73,47,338,73
GBR,7719,Philip Williams,James Picken,,57,70,D,66,57,R,338,74
GBR,6107,David Bell,Richard Morrell •,,78,60,45,73,R,R,344,75
GBR,6807,I. Kennedy,R. Duckitt,,D,72,R,74,71,52,357,76
GBR,7011,Chris Ferres,Saunders Graham,,71,69,60,R,70,R,358,77
GBR,6514,Mike Barnes,Dave Williamson,,D,65,56,69,R,N,368,78
GBR,8070,David Robertson,Rupert Maynard,,R,66,R,62,67,D,371,79
GBR,5678,Kevin Gallacher,Lee Allen,,80,R,61,72,R,R,389,80
GBR,7303,Michael Anderson,Grant Anderson,,65,56,D,N,N,N,391,81
GBR,7768,Neil Davison,Patrick Maharg,,81,D,R,R,60,R,405,82
GBR,7518,Martin Patchett,Mark Blanchard,,D,76,R,R,66,R,406,83
GBR,7646,Bruce Watson,Craig Evans,,79,75,R,76,R,R,406,84
GBR,7325,Adrian Brunt,Peter Bushnell,,76,77,N,R,N,R,419,85
GBR,7848,Dave Parker,Andy Edmonds,,74,R,R,R,N,N,428,86
GBR,4561,Noel Ensoll,Crispin Ensoll,,R,78,R,R,R,R,430,87
