Event Start Date,Event End Date,Name,English Name,Races,Competitors,City,Organizer,Secretary,Arbiter,Wind direction,Wind power,Post Content,File,Series,On the water of,Country,Added date,Source,Places,,,,,
1972-04-01,1972-04-03,Regates de La Baule,,4,56,La Baule,,,,,,,1972/country/france/1972-04-03.regates-de-la-baule.FRA.csv,,,FRA,2020-11-30,,,,,,,
1972-04-15,1972-04-23,Championnat Régional Atlantique,Regional Atlantic Championship,5,15,,,,,,,,1972/country/france/1972-04-23.regional-atlantic-championship.FRA.csv,,Lac d'Hourtin-Carcans,FRA,2020-11-30,,,,,,,
1972-04-16,1972-04-16,Régate,,,12,Éclaron-Braucourt-Sainte-Livière,Yachting Club du Der,,,,,,1972/country/france/1972-04-16.regate.yachting-club-du-der.FRA.csv,,,FRA,2020-11-30,,,,,,,
1972-04-23,1972-04-23,Régate,,4,7,Nancy,Yachting Club de Nancy,,,,,,1972/country/france/1972-04-23.regate.yachting-club-de-nancy.FRA.csv,,,FRA,2020-11-30,,,,,,,
1972-04-29,1972-05-01,Championnat Régional de Bretagne,Brittany Regional Championship,,22,,,,,,,,1972/country/france/1972-05-01.brittany-regional-championship.FRA.csv,,,FRA,2020-11-30,,,,,,,
1972-04-29,1972-05-01,Championnat Régional Manche,Manche Regional Championship,4,50,,SRCO,,,,,,1972/country/france/1972-05-01.manche-regional-championship.FRA.csv,,,FRA,2020-11-30,,,,,,,
1972-05-11,1972-05-11,Championnat Americano Est,Americano Est Championship,3,15,Gondrexange,ACAL,,,,,,1972/country/france/1972-05-11.americano-est-championship.gondrexange.FRA.csv,,,FRA,2020-12-02,,,,,,,
1972-08-12,1972-08-19,World Championship,,,75,Hanko,,,,,,,1972/world/1972.world-championship.hanko.FIN.csv,World,,FIN,2020-07-26,,,,,,,
1972-10-28,1972-10-29,Championnat Americano Ile De France,Americano Ile De France Championship,,38,,,,,,,,1972/country/france/1972-10-29.americano-ile-de-france-championship.FRA.csv,,,FRA,2024-02-02,,,,,,,
1972-11-04,1972-11-05,La Finale,The Final,3,30,Lavacourt,,,,,,,1972/country/france/1972-11-05.the-finale.lavacourt.FRA.csv,,,FRA,2024-02-02,,,,,,,
1973-01-01,1973-01-01,Australian National Championships,,,,Henley,,,,,,,1973/country/australia/1973.australia-national-championships.henley.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1973-01-01,1973-01-01,Canadian Championship,,,,,,,,,,,1973/country/canada/1973.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1973-07-14,1973-07-15,Coupe Des Alpes - Americano Rhone – Alpes,Alpes Cup - Americano Rhone – Alpes,4,32,Grenoble,I' A.S. du Centre d' Energie Nucléaire de Grenoble,,,,,,1973/country/france/1973-07-15.alpes-alpes-cup.grenole.FRA.csv,,Lake Monteynard,FRA,2020-12-14,,,,,,,
1973-07-20,1973-07-21,Emaine de La Baule,,4,30,La Baule,,,,,,,1973/country/france/1973-07-21.emaine-de-la-baule.la-baule.FRA.csv,,,FRA,2020-12-14,,,,,,,
1973-07-28,1973-07-29,Grand Prix de La Ville de Frejus,,5,,,,,,,,,1973/country/france/1973-07-29.grand-prix-de-la-ville-de-frejus.FRA.csv,,,FRA,2020-12-14,,,,,,,
1973-08-11,1973-08-12,Challenge J. Debarre,,,20,St Jean de Monts,,,,,,,1973/country/france/1973-08-12.challenge-j-debarre.FRA.csv,,,FRA,2020-12-14,,,,,,,
1973-08-18,1973-08-26,European Championship,,6,78,Carnac,,,,,,,1973/continental/1973-08-26.european-championship.carnac.FRA.csv,"Continental,Europe",Baie De Quiberon,FRA,2020-11-16,,,,,,,
1973-09-08,1973-09-08,Championnat de France,French Championship,,50,,,,,,,,1973/country/france/1973-09-08.french-championship.FRA.csv,National,,FRA,2020-12-14,,,,,,,
1973-09-30,1973-09-30,Lemoine Innovent,,4,12,Lavacourt,,,,,,,1973/country/france/1973-09-30.lemoine-innovent.lavacourt.FRA.csv,,,FRA,2020-12-22,,,,,,,
1973-10-06,1973-10-07,Championnat Américano Île-De-France,,3,22,Dammarie,,,,,,,1973/country/france/1973-10-07.championnat-americano-ile-de-france.dammarie.FRA.csv,,,FRA,2020-12-22,,,,,,,
1973-10-22,1973-10-23,Régate d'Automne,Autumn Regatta,,,Saint Quentin,Centre de Voile de l'Etang de Saint Quentin,,,,,,1973/country/france/1973-10-23.autumn-regatta.saint-quentin.FRA.csv,,,FRA,2020-12-22,,,,,,,
1973-11-14,1973-11-28,World Championship,,6,90,Kellett Island,The Royal Hong Kong Yacht Club,Bill Jeffrey,,,,,1973/world/1973-11-28.world-championship.kellett-island-causeway-bay.HKG.csv,World,Causeway Bay,HKG,2020-07-20,,,,,,,
1974-01-01,1974-01-01,Australian National Championships,,,,Canberra,,,,,,,1974/country/australia/1974.australia-national-championships.canberra.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1974-01-01,1974-01-01,Canadian Championship,,,,,,,,,,,1974/country/canada/1974.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1974-01-01,1974-01-01,Championnat de France,French Championship,,,,,,,,,,1974/country/france/1974.french-championship.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1974-01-01,1974-01-01,Coupe des Bruyères,Bruyères Cup,3,31,Bruyères,,,,,,,1974/country/france/1974.bruyeres-cup.bruyeres.FRA.csv,,,FRA,2024-02-15,,,,,,,
1974-07-30,1974-07-30,UK National Championship,,6,,Felixstowe,Felixstowe Ferry,,,,,,1974/country/uk/1974-07-30.uk-national-championship.felixstowe.GBR.csv,National,,GBR,2020-10-25,,,,,,,
1974-08-10,1974-08-24,World Championship,,6,82,Marstrand,Göteborgs Kungliga Segel Sällskap,,,,,,1974/world/1974-08-24.world-championship.marstrand.SWE.csv,World,,SWE,2021-10-28,,,,,,,
1974-09-21,1974-09-21,Au C.V.E.S.Q.,At C.V.E.S.Q.,4,21,,C.V.E.S.Q.,,,,,,1974/country/france/1974-09-21.at-cvesq.FRA.csv,,,FRA,2024-02-07,,,,,,,
1974-11-02,1974-11-02,Prix du Président de la République,President of the Republic Prize,4,17,Boulogne s/Seine,L'ACBB,,,,,,1974/country/france/1974-11-02.president-of-the-republic-prize.boulogne-at-seine.FRA.csv,,,FRA,2024-02-07,,,,,,,
1975-01-01,1975-01-01,Australian National Championships,,,,Port Vincent,,,,,,,1975/country/australia/1975.australia-national-championships.port-vincent.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1975-01-01,1975-01-01,Canadian Championship,,,,,,,,,,,1975/country/canada/1975.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1975-01-01,1975-01-01,Challenge de L' Europe,Europe Challenge,,12,,,,,,,,1975/country/france/1975.europe-challenge.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-01-01,1975-01-01,Championnat de France,French Championship,,,La Baule,,,,,,,1975/country/france/1975.french-championship.la-baule.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1975-01-01,1975-01-01,Coupe du Président,President's Cup,2,10,,,,,,,,1975/country/france/1975.president-s-cup.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-01-01,1975-01-01,Les 6 Heures D' Olgy,6 Hours of Olgy,,12,,,,,,,,1975/country/france/1975.6-hours-of-olgy.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-01-01,1975-01-01,Régional Est,Regional East,3,14,,,,,,,,1975/country/france/1975.regional-east.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-08-10,1975-08-16,European Championship,,6,57,Saint-Moritz,Silvaplana,,,,,,1975/continental/1975-08-16.european-championship.st-moritz.SUI.csv,"Continental,Europe",,SUI,2021-08-28,,,,,,,
1975-09-29,1975-09-29,Fête Du Club De Nancy,Nancy Club Party,,10,,,,,,,,1975/country/france/1975-09-29.nancy-club-party.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-10-04,1975-10-12,World Championship,,6,69,"Hamilton,BER",,,,,,,1975/world/1975-10-12.world-championship.bermuda.csv,World,,BER,2021-10-28,,,,,,,
1975-10-09,1975-10-09,Régate d'Automne,Autumn Regatta,,16,,,,,,,,1975/country/france/1975-10-09.autumn-regatta.FRA.csv,,,FRA,2024-02-15,,,,,,,
1975-10-25,1975-10-26,Spéciale 505,Special 505,1,32,Plobsheim,,,,,,,1975/country/france/1975-10-26.special-505.plobsheim.FRA.csv,,,FRA,2024-02-15,,,,,,,
1976-01-01,1976-01-01,Australian National Championships,,,,Toronto,,,,,,,1976/country/australia/1976.australia-national-championships.toronto.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1976-01-01,1976-01-01,Canadian Championship,,,,,,,,,,,1976/country/canada/1976.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1976-01-01,1976-01-01,Championnat de France,French Championship,,,Port Barcares,,,,,,,1976/country/france/1976.french-championship.port-barcares.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1976-01-01,1976-01-01,UK National Championship,,5,81,Hastings and St. Leonards SC,Hastings and St. Leonards SC,,,,,,1976/country/uk/1976.uk-championship.hastings.GBR.csv,National,,GBR,2021-10-28,,,,,,,
1976-07-17,1976-07-23,European Championship,,6,82,Hayling Island,Hayling Island Sailing Club,,,,,,1976/continental/1976.european-championship.hayling-island.GBR.csv,"Continental,Europe",,GBR,2021-06-03,,,,,,,
1976-11-11,1976-11-19,World Championship,,,65,"Toronto, New South Wales",,,,,,,1976/world/1976-11-19.world-championship.toronto.AUS.csv,World,Lake Macquarie,AUS,2021-10-28,,,,,,,
1977-01-01,1977-01-01,Australian National Championships,,,,Brighton,,,,,,,1977/country/australia/1977.australia-national-championships.brighton.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1977-01-01,1977-01-01,Canadian Championship,,,,,,,,,,,1977/country/canada/1977.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1977-01-01,1977-01-01,Championnat de France,French Championship,,,Cannes,,,,,,,1977/country/france/1977.french-championship.cannes.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1977-01-01,1977-01-01,UK National Championship,,6,126,,,,,,,,1977/country/uk/1977.uk-national-championship.GBR.csv,National,,GBR,2020-11-02,,,,,,,
1977-01-01,1977-01-01,World Championship,,6,87,"La Rochelle, FRA",,,,,,,1977/world/1977.world-championship.la-rochelle.FRA.csv,World,,FRA,2021-10-28,,,,,,,
1978-01-01,1978-01-01,Australian National Championships,,6,,,,,,,,,1978/country/australia/1978.australia-championship.AUS.csv,National,,AUS,2021-02-10,,,,,,,
1978-01-01,1978-01-01,Canadian Championship,,,,,,,,,,,1978/country/canada/1978.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1978-01-01,1978-01-01,Championnat de France,French Championship,,,Binic,,,,,,,1978/country/france/1978.french-championship.binic.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1978-01-01,1978-01-01,North American Championship,,,,,,,,,,,1978/continental/1978.north-american-championship.USA.csv,"Continental,North America",,USA,2022-08-26,,,,,,,
1978-01-01,1978-01-01,UK National Championship,,6,118,Weymouth,,,,,,,1978/country/uk/1978.uk-national-championship.weymouth.GBR.csv,National,,GBR,2020-11-03,,,,,,,
1978-08-18,1978-08-27,World Championship,,5,86,Copenhagen,"Skovshoved Sejlklub,",,,,,,1978/world/1978-08-27.world-championship.copenhagen.DEN.csv,World,,DEN,2020-07-24,,,,,,,
1979-01-01,1979-01-01,Australian National Championships,,,,Pittwater,,,,,,,1979/country/australia/1979.australia-national-championships.pittwater.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1979-01-01,1979-01-01,Canadian Championship,,,,,,,,,,,1979/country/canada/1979.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1979-01-01,1979-01-01,Championnat de France,French Championship,,,Crozon,,,,,,,1979/country/france/1979.french-championship.crozon.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1979-01-01,1979-01-01,UK National Championship,,6,96,Hayling Island,,,,,,,1979/country/uk/1979.uk-national-championship.hayling-island.GBR.csv,National,,GBR,2020-11-03,,,,,,,
1979-05-01,1979-05-08,World Championship,,4,85,Durban,Point Yacht Club,,,,,,1979/world/1979.world-championship.durban.RSA.csv,World,,RSA,2020-07-26,,,,,,,
1979-06-01,1979-06-04,Semaine Internationale de la Voile de La Rochelle,La Rochelle International Sailing Week,5,67,La Rochelle,,,,,,XVI ème,1979/country/france/1979-06-04.la-rochelle-week.FRA.csv,,,FRA,2020-11-06,,,,,,,
1979-07-11,1979-07-15,Svenskt Mästerskap,Swedish Championship,5,21,Västra Lagnö,,,,,,,1979/country/sweden/1979-07-15.swedish-championship.vastra-lagno.SWE.csv,National,,SWE,2021-11-12,,,,,,,
1979-08-03,1979-08-11,European Championship,,6,69,Kiel,Kieler Yacht-Club e.V.,,,,,,1979/continental/1979-08-11.european-championship.kiel.GER.csv,"Continental,Europe",,GER,2020-07-10,,,,,,,
1980-01-01,1980-01-01,Australian National Championships,,,,Henley,,,,,,,1980/country/australia/1980.australia-national-championships.henley.AUS.csv,National,,AUS,2024-02-09,,,,,,,
1980-01-01,1980-01-01,Canadian Championship,,,,,,,,,,,1980/country/canada/1980.canadian-championship.csv,National,,CAN,2024-09-18,,,,,,,
1980-01-01,1980-01-01,Championnat de France,French Championship,,,Carnac,,,,,,,1980/country/france/1980.french-championship.carnac.FRA.csv,National,,FRA,2024-06-22,,,,,,,
1980-01-01,1980-01-01,UK National Championship,,6,76,,,,,,,,1980/country/uk/1980.uk-national-championship.plymount.GBR.csv,National,,GBR,2020-07-30,,,,,,,
1980-01-01,1980-01-01,World Championship,,,85,Hayling Island,,,,,,,1980/world/1980.world-championships.hayling-island.GBR.csv,World,,GBR,2020-07-26,,,,,,,
1981-01-01,1981-01-01,Australian National Championships,,,,Canberra,,,,,,,1981/country/australia/1981.australia-national-championships.canberra.AUS.csv,National,,AUS,2024-02-09,,,,,,,
