Nation,Boat,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Pts.,Pos
SUI,5695,P. Durr,J.-C. Burdet,,,,,,,276,72
GER,6398,H. Franke,Ludwig Groeneveld,,,,,,,277,73
RSA,6644,P. Hishin,W. Angus,,,,,,,280,74
FIN,5317,S. Winqvist,T. Lydman,,,,,,,281,75
FRA,6448,Georges Le Troquer,E. Devaux,,,,,,,284,76
USA,6270,John Brim,T. Hammick,,,,,,,292,77
FRA,5566,A. Ribeaud,Y. Noel,,,,,,,295,78
SUI,6481,W. Moller,H. Stutz,,,,,,,310,79
GER,6500,B. Preuss,R. Bertenrath,,,,,,,319,80
FRA,6094,M. Conan,Conan,,,,,,,320,81
GER,5652,R. Wiedemar,H. W. Sthal,,,,,,,321,82
USA,6446,J. B. Ingram,A. Tristram,,,,,,,343,83
GER,6225,B. Eberl,L. Eberl,,,,,,,347,84
USA,6281,J. Daeschler,M. Arstral,,,,,,,352,85
FIN,5750,Tom Seppänen,Timo Seppänen,,,,,,,355,86
