Country,Boot,Steuermann,Vorschoter,Club,Race1,Race2,Race3,Points,Place
GER,9000,Enno Wilts,Klaus Heeschen,SVBB,55,36,32,123,38
FRA,8683,Antoine Lafortune,Geraud Lafortune,CVSP,57,46,21,124,39
AUS,8797,Peter Nicolas,Luke Payne,,33,47,45,125,40
AUS,8759,Steve McConaghy,Nick Johnstone,,54,53,23,130,41
DEN,8964,Jan Saugmann,Morten Ramsbaek,HiS,17,88,26,131,42
CAN,8970,Bob Tennant,Rich Mundell,,40,45,47,132,43
AUS,8794,Mick Babbage,James McAllister,,12,35,88,135,44
FRA,9050,Herve Dekegariou,Bernadette de Kergariou,,64,64,9,137,45
SWE,8926,Ebbe Rosén,Olle Wenrup,,24,26,88,138,46
AUS,8864,Ed Cox,Cameron McDonald,,46,30,62,138,47
AUS,8644,Brett Beyer,Darren Gilbert,,28,24,88,140,48
AUS,8637,Sam Cronin,Kevin Whitbread,,53,51,36,140,49
GBR,8945,Roger Deane,Adam Kenney,,45,44,54,143,50
DEN,8958,Nikolaj Buhl,Henrik Buhl,,29,88,29,146,51
USA,8084,Aaron Ross,Rob Waterman,,49,50,51,150,52
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,56,60,37,153,53
AUS,9022,Ian Burford,Dave Christie,,58,56,41,155,54
AUS,8920,Jeff Robinson,Neville Kerr,,47,54,56,157,55
AUS,8886,John Paterson,Paul Greenwood,,62,59,39,160,56
AUS,8853,Carter Jackson,Peter Holden,MHYC,10,88,63,161,57
USA,7875,Jeff Miller,Mike Smith,,37,40,88,165,58
CAN,8192,Philip Cragg,Reto Corfu,,48,57,64,169,59
USA,8904,Hubert Guy,Xavier Detappe,,34,52,88,174,60
USA,8960,Bruce Vandeventer,Scott Weiler,,65,65,49,179,61
AUS,8498,Jonathan Ross,Ian Scholes,,67,66,48,181,62
GER,9029,Jürgen Waldheim,Jan-Rolf Schmidt,PYC,43,88,52,183,63
GER,9054,Helen Fischer,Lars Dehne,BYC,59,38,88,185,64
AUS,8628,Peter Croft,Gary Rushton,,60,88,46,194,65
AUS,8185,Nathan Rosenberg,Reeve Dunne,,66,63,66,195,66
AUS,8894,Paul Mitchell,Sam Haines,WSC,88,48,60,196,67
AUS,6819,Ian Taylor,Robin Bath,,88,55,53,196,68
AUS,8638,Claus Ejlertsen,Mick Patrick,,88,23,88,199,69
AUS,8891,Sarah Withall,Robert Gilchrist,,68,67,68,203,70
AUS,8739,John McLean,Dennis Winstanley,,88,62,59,209,71
AUS,8710,Brett Bowden,Bradley Greenrod,,61,61,88,210,72
GER,7206,Christian Pittack,Annie Fitzpatrick,SCLW,88,68,55,211,73
AUS,8554,AJ Crane,David Parker,,88,88,38,214,74
AUS,8784,Gilbert Ford,James Ford,,88,69,58,215,75
AUS,8221,Luke Rhodes,Andrew McCole,,88,88,57,233,76
AUS,8639,Grahame Tindell,David Johnson,,88,88,65,241,77
AUS,8038,Adrian Kiely,Darren Cooney,,88,88,67,243,78
