Country,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Nett,Rank
AUS,8523,Ayden Menzies,Lachlan Hornsby,,27,41,34,41,[86 DNF],86 DNF,35,350,264,44
AUS,8638,Claus Ejlertsen,Mick Patrick,,[54],49,44,48,50,30,49,324,270,45
GER,9043,Nicola Birkner,Angela Stenger,,51,64,38,49,35,34,[86 DNF],357,271,46
AUS,8864,Ed Cox,Cameron McDonald,,57,47,50,[64],21,47,52,338,274,47
AUS,8893,Ryan Menzies,Joel Castle,,36,44,54,42,56,43,[86 DNF],361,275,48
GBR,8945,Roger Deane,Adam Kenney,,35,57,52,65,45,29,[86 DNF],369,283,49
AUS,8968,Matthew Hansen,Anthony Dean,,50,51,48,47,48,[86 DNF],39,369,283,50
AUS,8738,Clint Bowen,Anthony King,,53,55,45,[62],49,39,46,349,287,51
SWE,8926,Ebbe Rosén,Olle Wenrup,,55,[86 DNF],15,35,12,86 DNF,86 DNS,375,289,52
GER,9026,Hasso Plattner,Peter Alarie,,13,37,51,23,[86 DNF],86 DNF,86 DNF,382,296,53
AUS,8637,Sam Cronin,Kevin Whitbread,,61,[62],56,57,30,46,48,360,298,54
CAN,8970,Robert Tennant,Rich Mundell,,[86 DNF],42,86 DNF,60,36,36,38,384,298,55
FRA,9010,Xavier Broise,Gilles Carvallo,,40,43,59,39,[86 DNF],86 DNF,32,385,299,56
AUS,8185,Nathan Rosenberg,Reeve Dunne,,58,59,[62],52,42,48,56,377,315,57
FRA,9050,Hervé de Kergariou,Bernadette de Kergariou,,63,63,[86 DNC],73,52,33,36,406,320,58
FRA,8683,Antoine Lafortune,Geraud Lafortune,,65,[86 DNF],67,56,32,53,50,409,323,59
GER,8777,Stefan Schollmayer,Franscisco Sanguino-Petersen,,52,54,57,51,27,[86 DNF],86 DNF,413,327,60
USA,8904,Hubert Guy,Xavier deTappe,,46,56,53,45,46,[86 DNF],86 DNS,418,332,61
AUS,6819,Ian Taylor,Robin Bath,,[86 DNF],86 DNF,60,59,53,40,45,429,343,62
AUS,9022,Ian Burford,David Christie,,[86 DNS],86 DNF,86 DNS,55,44,31,44,432,346,63
AUS,8739,John McLean,Dennis Winstanley,,59,71,65,[78],55,52,51,431,353,64
AUS,8639,Grahame Tindall,David Johnson,,[86 DNF],69,64,70,58,50,54,451,365,65
AUS,8173,Tom Brewer,Lindsay Whitton,,70,61,66,61,59,51,[86 DNF],454,368,66
AUS,8395,Tim Jeans,Tom Connell,,73,67,[86 DNS],76,61,41,58,462,376,67
AUS,8221,Luke Rhodes,Andrew McCole,,64,72,70,68,62,44,[86 DNF],466,380,68
AUS,8498,Jonathan Ross,Ian Scholes,,69,[86 DNF],86 DNS,72,54,49,55,471,385,69
USA,8792,Carol Buchan,Carl Buchan,,44,33,[86 DNF],53,86 DNF,86 DNF,86 DNF,474,388,70
AUS,8628,Peter Croft,Gary Rushton,,72,58,[86 DNF],74,60,42,86 DNS,478,392,71
DEN,8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,[86 DNF],27,86 DNS,29,86 DNF,86 DNF,86 DNF,486,400,72
AUS,8710,Brett Bowden,Bradley Greenrod,,[86 DNF],86 DNF,55,66,57,86 DNF,53,489,403,73
AUS,8784,Gilbert Ford,James Ford,,66,60,69,71,[86 DNF],86 DNF,57,495,409,74
AUS,8891,Sarah Withall,Robert Gilchrist,,67,65,61,79,63,[86 DNF],86 DNF,507,421,75
AUS,8809,Richie Gallimore,Bryce Penfold,,47,46,[86 DNC],86 DNC,86 DNF,86 DNF,86 DNS,523,437,76
AUS,8759,Stephen McConaghy,Nick Johnstone,,49,52,[86 DNC],86 DNC,86 DNF,86 DNF,86 DNS,531,445,77
GER,9000,Enno Wilts,Klaus Heeschen,,60,[86 DNF],58,75,86 DNF,86 DNF,86 DNS,537,451,78
AUS,8886,John Paterson,Paul Greenwood,,[86 DNF],68,63,63,86 DNF,86 DNF,86 DNF,538,452,79
AUS,8524,Richard McCulloch,Glen Stewart,,62,[86 DNF],68,69,86 DNF,86 DNF,86 DNS,543,457,80
USA,8554,AJ Crane,David Parker,,68,66,[86 DNS],67,86 DNF,86 DNF,86 DNF,545,459,81
USA,8960,Bruce Van Deventer,Scott Weiler,,74,70,[86 DNS],77,86 DNF,86 DNF,86 DNS,565,479,82
GBR,8867,Patrick McGale,Chris Pearson,,71,[86 DNF],86 DNC,86 DNC,86 DNF,86 DNF,86 DNS,587,501,83
USA,7206,Christian Pittack,Annie Fitzpatrick,,75,[86 DNF],86 DNC,86 DNC,86 DNF,86 DNF,86 DNS,591,505,84
AUS,8038,Adrian Kiely,Darren Cooney,,[86 DNS],86 DNF,86 DNC,86 DNC,86 DNF,86 DNF,86 DNS,602,516,85
