Sailno,Name,,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Scores,No
GER,8519,Robert Wisolek,C. Pirker,SCLW,35,22,21,31,45,35,38,34,,32
FRA,8948,Nicolas Guillou,Alain Ferec,SNP,29,43,32,29,20,DNC,29,35,,33
FIN,8768,Nieminen Jukka,Lehtonen Kari,,-51,38,33,32,31,29,31,27,221,34
FIN,8632,Hamstrom Jari,Laurila Tuomas,EMK,28,50,40,26,21,26,37,(dnc),228,35
FIN,8466,Hyysalo Sampsa,Salonen Antti,HSK,39,53,15,36,36,(dnc),28,26,233,36
IRL,7771,Brian Jones,Gary Frost,,45,26,26,45,33,40,34,40,,37
GBR,8497,Roger Deane,Dennis Cartwright,,41,35,36,44,38,39,36,36,,38
FIN,8873,Peltoniemi Ari,Elovirta Tapani,,-49,41,31,42,35,37,35,43,264,39
GBR,8907,Jim Berry,David Barnes,CVSC,42,34,41,38,39,28,43,DNC,,40
FRA,8486,Pascal Viaud,Cyril Thibaud,,44,46,34,39,37,38,46,30,,41
ITA,8671,Roberto Loce,Antonio Binacchi,,38,42,37,40,47,44,40,37,,42
FIN,8320,Lindfors Kaj,Miettinen Tatu,,43,48,29,41,34,31,(dnc),dnc,285,43
GER,8658,Christina Höll,Alexander Wilhelm,HSC,36,49,45,47,42,33,45,38,,44
FRA,8902,Philippe Boite,Fabrice Toupet,CVM,26,3,28,DNC,DNC,DNC,DNC,DNC,,45
GER,8598,Anna Höll,Bernd Heinisch,,46,40,DNC,43,48,34,44,39,,46
FRA,8980,Michel Boiry,Jean Philippe Gastaud,CVP,52,52,48,48,50,42,39,41,,47
GBR,8955,Simon Lake,Alex Barry,P.Cambs,34,32,DNC,DNC,46,36,DNC,DNC,,48
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,53,51,47,51,52,43,41,42,,49
GBR,8867,Patrick McGale,Paul Von Grey,QMSC,37,44,42,49,43,DNC,DNC,DNC,,50
GER,8772,Julia Tanner,Lukas Tanner,HSC,47,45,44,46,51,41,DNC,DNC,,51
FRA,8729,Yves Niddam,Thierry Gresle,,54,DNC,43,52,49,45,47,45,,52
CRO,7801,Slobodan Velikić,Nikola Fabijanić,,48,39,DNC,37,40,RAF,DNC,DNC,,53
ITA,8743,Marco Giraldi,Ingoglia,UVM,48,39,DNC,37,40,RAF,DNC,DNC,,54
FRA,8008,Vincent Dewaele,Rose Marie Savio,,DNF,56,DNC,DNC,DNC,46,48,DNC,,55
IRL,8679,Sandy Rimmington,Abdrew Welland,,55,54,DNC,53,53,DNC,DNC,DNC,,56
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,56,55,DNC,54,DNC,DNC,DNC,DNC,,57
