Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Netto,Nr
AUS 9140,Ian Brown,Henrik Buhl,Hellerup Sejlklub,15,16,(52),17,(49),43,DPI 25,32,37,29,315,214,26
DEN 8440,Jari Hamström,Mads Christiansen,KuoPS,43,(44),21,37,27,19,(48),31,18,20,308,216,27
AUS 9225,Earle Alexander,Finn Böger,Darling Point,21,29,(60),42,(76) DNF,29,27,24,22,25,355,219,28
GER 9057,Dorothea Gebert,Geeske Genrich,JSC,4,36,35,36,40,16,26,36,(76) DNC,(76) DNC,381,229,29
ITA 8916,Enrico Ciferri,Marco Giraldi,CVLL,10,22,34,(76) DNF,37,28,(60),33,39,33,372,236,30
GER 9131,Jörn Wille,Martin Bergmann,MSC,28,(47),27,26,38,42,(43),27,38,18,334,244,31
GBR 9105,James Mcgillivray,John Mclean,Prestwick SC,30,(48),12,29,22,(57),37,38,36,43,352,247,32
GER 8849,Henrik Schade,Sebastian Wiemer,WVW,26,(57),22,30,30,(47),38,44,24,38,356,252,33
GER 9135,Jens Biederer,Johannes Kindermann,HSC,27,30,28.5,RDG 25,31,(59),36,34,(48),42,360.5,253.5,34
GER 9054,Anika Wollenbecker,Raik Wollenbecker,YCBTF,32,25,(44),24,26,37,(54),37,43,30,352,254,35
GER 9171,Stefan Giesler,Frank Böhm,VSAW,13,34,4,22,(76) DNF,52,29,28,(76),DSQ 76 DNS,410,258,36
FRA 9150,Hervé De Kergariou,Arradon,,7,40,16,(76) DNS,34,(62),40,56,45,22,398,260,37
SWE 8926,Ebbe Rosen,Olle Wenrup,MKS,35,20,32,(76) DNF,(76) DNS,10,5,8,76 DNF,76 DNC,414,262,38
GER 9197,Nicola Birkner,Angela Stenger,VSAW,44,24,(55),(49),28,15,39,35,34,46,369,265,39
SUI 8961,Toni Utiger,Markus Heilig,CVE,(69),51,46,32,20,(66),33,54,25,36,432,297,40
GER 9035,Ronald Roos,Kirsten Roos,SVWU,(54),35,10,54,50,35,34,(59),49,34,414,301,41
FRA 9031,Philippe Lucienne,Nicolas Auberger,,40,41,47,(53),33,(48),35,48,29,31,405,304,42
SWE 9038,Mikael Gustavsson,Tore Reinhold,BKSS,63,50,(69),46,18,21,31,43,(76) DNF,40,457,312,43
FRA 9219,Elisabeth Neidhart,David De Monteil,YCIF,(62),45,(61),50,41,46,24,30,42,37,438,315,44
GER 9113,Joseph Schütte,Karsten Stümpel,HSC,61,(63),24,57,(76) DNS,39,32,45,31,35,463,324,45
GER 9195,Dirk Penno,Michael Freitag,DTYC,53,31,56,27,(76) DNS,27,DPI 55,(61),33,44,463,326,46
SWE 9002,Per Wester,Lars Wester,,59,33,25,(76) DNS,52,(76),DSQ 45,40,32,41,479,327,47
GER 8975,Maike Roos,Maren Roos,SVWU,12,42,50,(58),44,36,46,50,(52),48,438,328,48
GER 8806,Anna Hauschild,Katharina Menge,SCS,50,(52),36,41,29,30,49,47,(54),49,437,331,49
FRA 8676,Valentin Dechauffour,Pierre Gendry,ASNQuiberon,55,55,(65),52,35,(68),41,49,27,19,466,333,50
GER 9224,Konrad Otto,Martin Lietz,SG SEEBURG,(67),(67),33,35,45,58,57,39,41,45,487,353,51
GER 9130,Andreas Jungclaus,Ulf Denecke,HSC,46,43,51,38,25,50,53,58,(76) DNS,(76) DNS,516,364,52
SUI 9060,Catherine Houriet,Gil Donzé Crg,,22,38,19,(76) DNF,(76) DNS,56,DPI 56,42,76 DNC,76 DNC,537,385,53
SWE 8586,Galen Mack,Colin Treseler,KSSS,24,53,53,(76) DNF,46,65,50,52,44,(76) DNF,539,387,54
BEL 8613,Kim Van Assche,Lien Van Assche,LZF,42,(65),(62),47,42,51,62,53,47,47,518,391,55
GER 8958,Nicholas Melzwig,Andrew Moakes,LRV,57,62,(63),44,48,53,51,46,40,(76) DNS,540,401,56
SWE 8923,Lars Hultgren,Axel Hultgren,Råå Jolleklubb,36,32,39,(76) DNS,(76) DNS,33,44,71,76 DNC,76 DNC,559,407,57
BEL 8898,Bas Van Assche,Tessa Liebens,LZF,51,58,66,43,(76) DNF,32,47,60,50,(76) DNS,559,407,58
SWE 9092,Knut Hastenpflug,Tom Hastenpflug,SSÅV,31,61,48,48,43,60,59,64,(76) DNC,(76) DNC,566,414,59
GER 9151,Walter Steding,Hans-Werner Steding,HSC,49,28,49,(76) DNF,(76) DNS,24,58,57,76 DNS,76 DNS,569,417,60
FRA 9045,Jean Claude Ancelot,Riwanon Leroy,,70,49,71,31,51,34,66,62,(76) DNC,(76) DNC,586,434,61
DEN 8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,20,39,28,45,(76) DNF,(76) DNC,76 DNC,76 DNC,76 DNC,76 DNC,588,436,62
BEL 8625,Casper Martens,Stijn Oyen,Limburgse Zeilfederatie,66,66,59,34,47,61,52,51,(76) DNS,(76) DNS,588,436,63
SWE 8859,Tomas Franzén,Lars Lindgren,RJK,52,71,43,40,(76) DNS,55,DPI 63,41,(76) DNF,76 DNS,593,441,64
FIN 8466,Hannu Pöyry,Ari Dillemuth,VVK,33,54,57,55,(76) DNS,71,65,66,(76) DNS,76 DNS,629,477,65
GER 8964,Iris Anton,Bruno Laudage,HSC,68,69,37,56,53,73,72,70,(76) DNS,(76) DNS,650,498,66
FRA 9164,Jacques Dechauffour,Sabine Dechauffour,ASNQuiberon,56,68,54,(76) DNS,(76) DNS,38,70,67,76 DNS,76 DNS,657,505,67
GER 8317,Christina Burger,Thorsten Koch,WSCW,60,59,70,(76) DNS,(76) DNS,49,DPI 61,55,76 DNF,76 DNC,658,506,68
GER 8672,Dirk Hütten,Guido Von Walter,SGR,65,60,58,(76),DSQ (76) DNS,64,69,69,53,76 DNS,666,514,69
GER 8932,Christian Henge,Katja Henge,WEISE,71,56,67,(76) DNF,(76) DNS,45,67,68,76 DNS,76 DNS,678,526,70
DEN 8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,73,70,64,(76) DNS,(76) DNS,70,64,65,51,76 DNF,685,533,71
FIN 9212,Thomas Held,,Bss,(76) DNC,(76) DNC,76 DNC,76 DNS,76 DNS,67,68,63,46,76 DNS,700,548,72
SWE 9117,Fredrik Molander,Tomas Jaxing,,64,64,68,(76) DNS,(76) DNS,63,76 DNF,76 DNC,76 DNF,76 DNS,715,563,73
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,74,72,72,(76) DNC,(76) DNC,69,73,76 DNF,76 DNC,76 DNC,740,588,74
GBR 9159,Michael Eller,Ulli Heerdegen,SCLW,72,(76) DNF,(76) DNC,76 DNS,76 DNS,72,71,76 DNF,76 DNC,76 DNC,747,595,75
