Reg,atta Rank,Competitor,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,Σ,
USA,9095,Macy Nelson,Jesse Falsome,41*,32,20,20,18,17,31,39*,19,157,26
USA,8878,Edward Conrads,Blaine Pedlow,36*,29,28,18,25,35*,24,31,13,168,27
USA,8919,Parker Shin,Doug Mckeige,15,41*,RET*,26,32,34,21,27,22,177,28
USA,9041,Amthor,Roney,31,26,23,32,22,30,36*,20,33*,184,29
GER,8990,Achterberg,Stueckl,40*,20,29,25,42*,19,32,37,25,187,30
GER,9110,Böger,Schöner,39*,23,RET*,37,23,25,27,23,31,189,31
GBR,9088,Andy Smith,Alex Davies,30,30,32,19,36*,27,37*,28,27,193,32
GER,8965,Plattner,Alarie,45,18,22,DNF*,34,26,47*,26,23,194,33
GBR,9006,Vincent Horey,Christian Diebitsch,26,35,19,35,37,22,44*,38*,22,196,34
USA,8715,Ethan Bixby,Michael Coe,34,38*,31,31,43*,36,11,29,32,204,35
GER,9011,Daisenberger,Bolduan,37,34,36,41*,33,21,35,24,44*,220,36
GER,9043,Birkner,Stenger,32,13,41,45*,30,41,34,32,DNF*,223,37
SWE,8926,Rosen,Wenrup,23,42,35,21,31,39,RET*,RET*,45,236,38
GER,8940,Norbert Dasenbrook,Oliver Stieglitz,46*,39,37,38,41,31,26,33,DNC*,245,39
CAN,8970,Tennant,Mundell,29,DNF*,38,30,39,RET*,45,40,33,254,40
AUS,9028,Earle Alexander,Paul Ridgeway,28,41,44,34,46*,38,48*,36,35,256,41
GER,9113,Sophie Heyer,Robert Rothe,38,31,49*,48*,40,29,38,43,39,258,42
GBR,8974,David Smithwhite,Neil Fulcher,25,47,33,49*,38,46,39,52*,37,265,43
USA,8814,Lin Robson,Matthias Kennernecht,49*,40,40,48*,44,33,46,46,26,275,44
AUS,8760,Peter Woolman,Philip Scapens,42,43,46*,39,49*,40,43,41,30,278,45
GBR,8906,Harry Briddon,Simon Briddon,48,51,43,DNF*,35,DNF*,42,44,34,297,46
GBR,8905,Stuart Turnbull,Robert Burdekin,43,44,42,54*,50,37,51,45,52*,312,47
GER,9023,Sophie Sollner,Max Eisenrieder,47,37,56*,44,45,RET*,50,42,47,312,48
GBR,9039,Bird,Nurse,54,48,48,55*,51,32,33,47,DNC*,313,49
AUS,8795,Martin Pike,Ben Spyker,53*,45,45,50*,47,44,41,49,42,313,50
GBR,8881,Roger Deane,Nigel Deane,55,60*,39,40,58*,42,56,48,40,320,51
AUS,9022,Burford,Christie,51,55*,54*,46,52,45,49,50,48,341,52
GBR,8925,Martin Wedge,Scott Allen,44,61,52,RET*,48,47,52,DNF*,43,347,53
GER,8775,Sell,Gewinn,56*,49,55,51,59*,48,40,56,53,352,54
AUS,8922,Brett Bowden,David Johnson,58*,50,50,42,53,51,57*,57,49,352,55
GER,9000,Enno Wilts,Neuss,57,52,53,52,DNS*,50,62*,53,50,367,56
GBR,9013,Phil Emery,Dan Spratling,59,54,47,56,60*,57,54,62*,46,373,57
FRA,9050,Herve De Kergariou,Guillaume De Kergariou,60,56,DNF*,28,66*,54,53,59,65,375,58
GBR,9077,Mee,Taylor,50,RET*,58,49,55,53,58,54,DNF*,377,59
GBR,9079,Pickering,Priddle,52,53,64,49,54,49,DNF*,DNF*,59,380,60
AUS,8637,Sam Cronin,John McLean,61,62*,51,53,61,52,DSQ*,51,55,384,61
GBR,8780,Wright,Arthur George,65*,62*,57,60,56,48,60,61,57,399,62
GBR,8432,Wheeler,Marriott,63*,58,59,59,57,55,61*,60,54,402,63
USA,8939,John Wyles,Andreas Schluter,62,64,61,47,65*,DNS*,63,58,56,411,64
GBR,8497,Bill Hooton,Dennis Cartwright,66,DNF*,60,57,62,56,60,55,67*,416,65
GBR,8423,Greenland,Dixon,64,51,65*,63,63,58,65*,64,61,424,66
GBR,8867,Mcgale,Pearson,67,RET*,63,DNF*,67,60,64,DNF,58,457,67
FRA,9067,Dominique Rouanne,Virginie Laurent,69,68,62,DNF*,68,61,66,DNC*,DNC,472,68
GER,8999,Sophie Söllner,Karsten Stümpel,68,DNF*,DNF*,DNF,64,59,59,68,DNC,474,69
BAR,8889,Tindale,Povey,DNC*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,51,519,70
SWE,9038,Hansson,Nilsson,DNF*,DNF*,DNF,DNF,69,DNF,DNF,DNC,DNF,537,71
USA,7206,Fitzpatrick,Pittack,DNC*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
USA,8559,Holt Condon,Dunnes,DNC*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
USA,9082,Jeff Miller,Smith,DNF*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
USA,8830,Pohl,Von Grey,DNC*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
USA,9042,JB Turney,Justin Shaffer,DNF*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
USA,8960,Van Deventer,Henderson,DNF*,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,546,77
