Nat,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Nett,Place
GER,9231,Stefan Giesler,Frank Böhm,VSAW/SCV,26,[56],22,18,36,102,29
RSA,91*,Peter Funke,Thomas Funke,AOLIANS/POINT YC,30,24,29,[96 DSQ],21,104,30
USA,9200,AJ Conrads,Edward Conrads,TAHOE YCHT CLUB,21,28,32,[34],24,105,31
USA,9252,Douglas Hagan,Paul von Grey,PYPC,[57],39,21,14,32,106,32
SWE,9002,Per Wester,Lars Wester,BKSS,24,15,39,[96 DNF],34,112,33
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,HOLBAEK SEJL KLUB,34,26,24,28,[35],112,34
GER,9258,Alexander Holzapfel,Arne Wittemer,POST-SPORTVEREIN KOBLENZ,[46],25,27,31,29,112,35
AUS,9263,Michael Quirk,Cameron McDonald,CVCB,[49],42,37,21,16,116,36
FIN,8927,Kaj Lindfors,Johan Halonen,AIRISTO SEGELSÄLLSKAP [ASS],[51],32,38,26,30,126,37
AUS,8781,Chris Gregg,Ian Gregg,DPSS,[75],68,14,27,19,128,38
FRA,9147,Hervé de Kergariou,Anaïs Dechauffour,YACHT CLUB ILE DE FRANCE,10,5,[69],56,59,130,39
FRA,22*,Ludovic Roblin,Benoît Radier,AAN PORT-BLANC,17,27,[60],53,49,146,40
FIN,9069,Rosemarie Hartman,Tuomas Laurila,MERENKÄVIJÄT/ESPOON MERENKÄVIJÄT,29,45,[50],43,40,157,41
GER,9000,Julia Pösch,Thorsten Pösch,SEGELSCLUB SALZGITTER E.V.,[64],29,51,38,44,162,42
SWE,9259,Mikael Gustafsson,Tore Reinhold,BKSS,[79],58,49,33,25,165,43
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS/EMK,15,[61],61,36,55,167,44
SWE,9222,Tomas Franzén,Lars Lindgren,RJK,47,[70],48,37,38,170,45
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,SEGELSÄLLSKAPET ÅMÅLSVIKEN,39,37,41,[96 DNF],53,170,46
GER,9131,Jörn Wille,Martin Bergmann,MÜHLENBERGER SEGELCLUB,[55],21,53,52,47,173,47
GER,9234,Nørbert Dasenbrook,Sven Meier,KSW/SKBUE,[53],41,40,42,50,173,48
SWE,9171,Martin Fridh,Mats Dahlander,LBS,66,[78],34,23,51,174,49
SWE,9029,Mikael Olesen,Ulf Camitz,VBK,33,46,52,45,[57],176,50
DEN,8232,Jonas Christiansen,Brian Sørensen,HELLERUP SEJLKLUB,56,40,44,[62],41,181,51
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,YCIF,42,[60],43,46,54,185,52
SWE,8923,Lars Hultgren,Axel Hultgren,RÅÅ JOLLE KLUBB,40,33,62,58,[96 DNF],193,53
GBR,9261,Martin Wedge,Graham Elliot,CARMAUX,[71],50,47,49,52,198,54
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS WARSZAWA,60,17,63,[66],66,206,55
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP SZCZECIN,54,53,56,[96 DNF],45,208,56
SWE,9013,Anders Nilsson,Jonas Palmkvist,ABBEKÅS BK,[67],64,54,51,42,211,57
SWE,8586,Galen Mack,Carl Janmark,KSSS,43,[65],58,64,46,211,58
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HELLERUP,13,18,[96 DNF],96 DNS,96 DNS,223,59
FIN,9043,Hannu Pöyry,Matti Dillemuth,VVK,62,55,[65],63,43,223,60
SWE,9187,Matt Hodgson,Francois Etienne,TBC,45,[75],64,54,60,223,61
FRA,9150,Valentin Dechauffour,Pierre Gendry,SNO,69,59,[96 DNF],40,56,224,62
RSA,8725,Drew Scott,Warwick Ham,PRETORIA SAILING CLUB PSC,73,[80],42,47,62,224,63
USA,9210,Jimmy Franzone,Bjorn Antell,ST FRANCIS YC,80,[81],36,48,61,225,64
SWE,8974,Thomas Widstrand,Rolf Mattsson,BKSS,52,52,67,55,[74],226,65
SWE,8807,Didrik Dahlström,Joel Jelf,KSSS,[77],66,46,57,58,227,66
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,28,31,[96 DNF],75,96 DNF,230,67
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,NLM,44,62,[73],65,69,240,68
GER,8975,Maike Roos,Julia Achterberg,SVWU,72,38,[77],70,65,245,69
GER,8806,Anna Hauschild,Anja Stengel,SEGEL-CLUB SEDDIN E.V.,59,[67],66,61,64,250,70
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRC SUD OISE,70,63,68,50,[71],251,71
GER,8750,Mirco Gantenberg,Jacob Nierwarra,SEGEL-CLUB HATTINGEN,[81],76,72,60,48,256,72
DEN,8827,Torben Pihl Andersen,Klaus Søndergaard,HOLBAEK SEJLKLUB,[96 DNF],96 DNS,57,44,63,260,73
GER,9030,Andréas Jungclaus,Katharina Menge,HAMBURGER SEGEL-CLUB E.V.,[83],54,76,69,75,274,74
FRA,9086,Antoine Victor,Pierre Victor,YCIF,38,[84],84 TLE,74,80,276,75
GER,9197,Jens Biederer,Angela Stenger,MÜNCHNER YACHT CLUB,36,49,[96 DNF],96 DNF,96 DNS,277,76
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,68,69,74,[82 TLE],68,279,77
SUI,9060,Catherine Houriet,Giles Donzé,CRG,58,35,[96 DNF],96 DNF,96 DNS,285,78
BEL,9163,Pierre Gorremans,Jean Gorremans,NLM,63,71,81,[84 TLE],70,285,79
GER,9123,Martin Bernauer,Enno Wilts,SEGLERGEMEINSCHAFT AN DER JOLLENSTATION,[84],73,70,67,76,286,80
USA,9179,Pierre Jeangirard,Paul Pihl,PCYC,89,79,31,[96 DNF],96 DNS,295,81
POL,8747,Anna Jabłońska,Andrzej Zdrojek,POLSKIE STOWARZYSZENIE KLASY 5O5,78,82,[86 TLE],72,67,299,82
GER,8947,Ralf Schneidewind,Georg Mittermayer,PRENZLAUER SEGEL CLUB,[93],91,79,59,73,302,83
AUS,9225,Earle Alexander,Hermann Wollenbecker,DARLING POINT SS,65,51,[96 DNF],96 DNF,96 DNS,308,84
FIN,8053,Petri Ebeling,Juhani Heimsch,HELSINGFORS SEGELKLUBB,76,[85],75,80 TLE,81,312,85
CAN,8763,Brian Trainor,Brendan Trainor,KITSILANO YACHT CLUB,92,[94],80,71,72,315,86
FIN,9212,Thomas Held,Timo Vennonen,BSS/HSK,87,86,[88 TLE],68,77,318,87
SWE,9038,Jakob Lindvall,Karl Byrenius,ÅRE SLALOMKLUBB,82,88,55,[96 DNF],96 DNS,321,88
GER,7848,Axel Dierich,Tobias Borchert,MYCVD,86,83,[87 TLE],73,79,321,89
SWE,8917,Jesper Fowelin,Fransisco Martins,ÖLMANÄS SEGELSÄLLSKAP,74,92,71,[96 DNF],96 DNS,333,90
FIN,8741,Taru Karttunen,Mikael Ervamaa,HSS,85,[90],85 TLE,83 TLE,82,335,91
FIN,7922,Olle Martonen,Mikael Nylund,"WASA SEGELFÖRENING, WSF",94,89,78,[96 DNF],78,339,92
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS LASERY ZEGRZE,91,87,[96 DNF],81 TLE,85 TLE,344,93
FIN,8912,Raimo Raita,Juha Nurmela,VENE-71,88,72,[96 DNF],96 DNS,96 DNS,352,94
GER,8932,Christian Henge,Katja Henge,WEISE E.V:,90,93,[96 DNF],96 DNS,96 DNS,375,95
